published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,540.0,575.2,540.0,569.0,5.37,14762.0,8315539.1,1
2025-12-09,569.5,585.9,557.0,575.0,0.97,7963.0,4594571.5,1
2025-12-10,563.5,591.6,563.5,582.9,3.44,13796.0,8057827.8,1
2025-12-11,571.3,589.0,571.3,579.2,1.38,5863.0,3385468.1,1
2025-12-14,567.7,585.0,563.0,575.0,1.29,5450.0,3094953.0,1
2025-12-15,563.5,571.0,554.0,568.0,0.8,13715.0,7702785.0,1
2025-12-16,560.0,575.0,560.0,570.0,1.79,9225.0,5257207.0,1
2025-12-17,560.0,575.0,560.0,574.6,2.61,3642.0,2067401.3,1
2025-12-18,563.2,575.0,560.0,563.0,-0.04,9554.0,5401733.5,-1
2025-12-21,551.8,562.0,550.1,558.0,1.12,2742.0,1519190.2,1
2025-12-22,550.0,551.0,539.0,544.5,-1.0,5439.0,2960388.8,-1
2025-12-23,533.7,549.7,533.7,549.7,3.0,4020.0,2196014.5,1
2025-12-24,538.8,570.0,538.8,552.2,2.49,6137.0,3444808.4,1
2025-12-28,541.2,573.3,541.2,565.0,4.4,3091.0,1744868.3,1
2025-12-29,553.7,562.0,553.7,559.8,1.1,3564.0,1990705.0,1
2025-12-31,550.0,568.9,548.7,548.7,-0.24,1980.0,1091582.0,-1
2026-01-01,546.0,554.8,542.1,545.0,-0.18,7335.0,4008224.8,-1
2026-01-04,537.7,540.1,530.1,535.0,-0.5,8274.0,4440200.8,-1
2026-01-05,545.7,545.7,530.0,545.0,-0.13,11408.0,6132868.0,-1
2026-01-06,535.1,549.0,535.1,545.0,1.85,5719.0,3092607.0,1
2026-01-07,536.0,540.0,534.1,540.0,0.75,5629.0,3019688.9,1
2026-01-08,530.1,539.8,530.1,538.0,1.49,4367.0,2342562.0,1
2026-01-12,545.0,545.0,530.0,533.9,-2.04,9178.0,4937025.6,-1
2026-01-13,544.0,544.0,520.0,533.0,-2.02,9530.0,5047085.2,-1
2026-01-14,525.2,536.0,519.2,519.2,-1.14,7138.0,3762469.0,-1
2026-01-18,515.0,547.9,515.0,535.0,3.88,12552.0,6699554.8,1
2026-01-20,544.0,555.0,540.0,554.0,1.84,14828.0,8145127.0,1
2026-01-21,550.0,553.5,545.1,549.0,-0.18,6489.0,3556288.5,-1
