published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.0,9.3,9.0,9.28,3.11,32450.0,298348.0,1
2025-12-09,9.15,9.33,9.15,9.22,0.77,12400.0,114643.0,1
2025-12-10,9.05,9.1,9.05,9.09,0.44,1500.0,13615.0,1
2025-12-11,9.09,9.2,9.09,9.17,0.88,7800.0,71620.0,1
2025-12-14,9.18,9.3,9.18,9.25,0.76,18600.0,172083.0,1
2025-12-15,9.25,9.52,9.19,9.2,-0.54,7550.0,71218.5,-1
2025-12-16,9.23,9.3,9.23,9.25,0.22,4900.0,45286.0,1
2025-12-17,9.25,9.62,9.25,9.42,1.84,20000.0,189874.17,1
2025-12-18,9.31,9.48,9.3,9.4,0.97,6200.0,58256.0,1
2025-12-21,9.26,9.44,9.13,9.27,0.11,111700.0,1037996.0,1
2025-12-22,9.2,9.35,9.11,9.35,1.63,7000.0,64846.0,1
2025-12-23,9.25,9.35,9.25,9.31,0.65,5050.0,47015.5,1
2025-12-24,9.31,9.35,9.31,9.33,0.21,3500.0,32633.0,1
2025-12-28,9.33,9.49,9.31,9.49,1.71,63550.0,598728.5,1
2025-12-29,9.36,9.53,9.36,9.53,1.82,5550.0,52434.5,1
2025-12-31,9.38,9.57,9.38,9.5,1.28,4300.0,40876.0,1
2026-01-01,9.51,9.68,9.51,9.54,0.32,67643.0,652424.81,1
2026-01-04,9.54,9.71,9.54,9.6,0.63,16000.0,153697.5,1
2026-01-05,9.59,9.59,9.5,9.57,-0.21,23500.0,225116.0,-1
2026-01-06,9.58,9.75,9.58,9.62,0.42,4000.0,38653.0,1
2026-01-07,9.63,9.79,9.63,9.64,0.1,7545.0,72919.2,1
2026-01-08,9.45,9.71,9.45,9.58,1.38,4200.0,40268.0,1
2026-01-12,9.58,9.77,9.58,9.77,1.98,7500.0,72364.0,1
2026-01-13,9.6,9.77,9.6,9.77,1.77,4550.0,43861.5,1
2026-01-14,9.7,9.8,9.62,9.65,-0.52,3250.0,31390.5,-1
2026-01-18,9.46,9.68,9.46,9.68,2.33,4175.0,39837.25,1
2026-01-20,9.52,9.87,9.52,9.63,1.16,21022.0,205834.09,1
2026-01-21,9.55,9.82,9.55,9.72,1.78,5750.0,56247.0,1
2026-01-22,9.91,9.91,9.68,9.73,-1.82,24700.0,244468.0,-1
2026-01-25,9.73,10.0,9.65,9.91,1.85,1004350.0,10042624.05,1
2026-01-26,10.0,10.05,9.81,9.91,-0.9,1936245.0,19368576.0,-1
2026-01-27,9.9,10.1,9.9,10.0,1.01,17600.0,176504.0,1
2026-01-28,9.82,10.17,9.82,10.17,3.56,18660.0,186733.9,1
2026-01-29,10.1,10.19,10.0,10.03,-0.69,30550.0,307716.0,-1
