published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,520.2,520.2,481.0,491.0,-5.61,8506.0,4185432.1,-1
2025-12-09,481.2,497.0,472.5,493.0,2.45,5846.0,2876924.1,1
2025-12-10,483.2,497.6,483.2,492.0,1.82,5721.0,2801559.6,1
2025-12-11,501.8,501.8,482.2,490.0,-2.35,1831.0,889938.0,-1
2025-12-14,481.0,497.6,480.0,480.0,-0.21,3095.0,1502391.0,-1
2025-12-15,475.0,481.9,475.0,476.1,0.23,1664.0,792672.8,1
2025-12-16,475.5,480.0,475.0,480.0,0.95,2478.0,1181280.6,1
2025-12-17,470.4,494.0,470.4,484.9,3.08,1458.0,697756.6,1
2025-12-18,475.3,487.0,475.3,478.0,0.57,2828.0,1350565.6,1
2025-12-21,475.0,475.0,463.0,471.0,-0.84,3998.0,1875386.1,-1
2025-12-22,462.0,464.0,456.0,456.1,-1.28,5743.0,2635958.9,-1
2025-12-23,456.1,456.1,428.6,454.0,-0.46,4887.0,2166359.8,-1
2025-12-24,450.0,472.0,450.0,456.1,1.36,4585.0,2098864.7,1
2025-12-28,450.0,463.0,450.0,458.9,1.98,4830.0,2194925.7,1
2025-12-29,449.8,455.0,447.0,447.0,-0.62,4722.0,2122697.9,-1
2025-12-31,440.0,442.0,426.0,431.1,-2.02,25570.0,11060643.6,-1
2026-01-01,428.0,439.0,424.0,431.5,0.82,8513.0,3672673.2,1
2026-01-04,440.1,440.1,416.7,425.0,-3.43,5855.0,2475381.5,-1
