published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,480.0,494.9,480.0,489.8,2.04,57948.0,28405991.6,1
2025-12-09,485.1,493.0,480.0,484.0,-0.23,26077.0,12671208.7,-1
2025-12-10,476.0,482.0,466.5,466.5,-2.0,17663.0,8331679.6,-1
2025-12-11,465.0,476.0,460.0,474.0,1.94,31947.0,15013255.7,1
2025-12-14,470.1,481.9,465.0,466.0,-0.87,11036.0,5199132.8,-1
2025-12-15,474.8,474.8,452.2,454.0,-4.38,10603.0,4897623.6,-1
2025-12-16,445.0,466.0,445.0,461.0,3.6,14598.0,6727293.8,1
2025-12-17,451.8,479.0,443.0,464.9,2.9,104882.0,49532209.8,1
2025-12-18,460.1,464.0,450.1,459.0,-0.24,36588.0,16722501.3,-1
2025-12-21,449.9,451.1,426.5,439.0,-2.42,45801.0,20105213.6,-1
2025-12-22,440.0,440.0,425.2,430.0,-2.27,34160.0,14639545.8,-1
2025-12-23,422.1,436.0,422.1,430.0,1.87,23716.0,10183942.3,1
2025-12-24,438.0,438.0,424.1,425.0,-2.97,19844.0,8450824.7,-1
2025-12-28,420.0,440.0,420.0,432.3,2.93,18640.0,8079138.3,1
2025-12-29,434.0,440.0,428.0,428.1,-1.36,17542.0,7579538.6,-1
2025-12-31,435.0,450.0,428.0,431.0,-0.92,36017.0,15535844.3,-1
2026-01-01,426.2,437.8,424.0,427.0,0.19,17738.0,7589023.9,1
2026-01-04,427.8,431.9,419.3,423.0,-1.12,19732.0,8412497.9,-1
2026-01-05,430.9,443.8,422.6,441.9,2.55,30027.0,13017915.3,1
2026-01-06,445.0,447.7,433.0,434.0,-2.47,14140.0,6230260.1,-1
2026-01-07,430.0,435.0,427.2,430.0,0.0,12016.0,5182834.9,0
2026-01-08,422.0,431.0,422.0,428.0,1.42,17523.0,7504250.6,1
2026-01-12,421.2,432.0,421.2,423.2,0.47,18960.0,8057028.7,1
2026-01-13,420.0,434.8,420.0,431.9,2.83,17131.0,7394025.2,1
2026-01-14,425.0,432.9,416.5,426.0,0.24,58105.0,24503968.0,1
2026-01-18,423.0,434.8,423.0,428.9,1.39,23194.0,9929143.9,1
2026-01-20,430.1,446.2,430.0,441.0,2.53,69504.0,30578761.3,1
2026-01-21,443.0,448.8,435.0,440.0,-0.68,35630.0,15721726.0,-1
2026-01-22,440.1,449.0,436.2,449.0,2.02,25395.0,11246288.9,1
2026-01-25,441.0,460.0,441.0,455.0,3.17,41698.0,19006368.6,1
2026-01-26,455.0,457.0,442.0,454.0,-0.22,50209.0,22590333.8,-1
2026-01-27,445.1,458.0,436.2,439.5,-1.26,51847.0,23244059.9,-1
2026-01-28,431.0,478.0,431.0,471.3,9.35,91698.0,42152542.9,1
2026-01-29,475.0,479.9,449.0,454.0,-4.42,47239.0,22023941.4,-1
2026-02-01,461.9,464.5,445.0,449.9,-2.6,30411.0,13694049.3,-1
2026-02-02,445.0,456.8,445.0,446.0,0.22,17282.0,7749601.8,1
2026-02-03,440.2,451.8,440.1,444.8,1.04,16834.0,7472702.5,1
2026-02-04,438.2,451.4,438.2,446.0,1.78,19374.0,8642520.0,1
2026-02-05,443.0,462.0,440.2,450.0,1.58,22016.0,10002520.4,1
2026-02-08,458.0,460.0,450.0,450.8,-1.57,21642.0,9842572.1,-1
2026-02-09,458.9,459.0,442.0,452.0,-1.5,22560.0,10088239.0,-1
2026-02-10,458.9,458.9,442.0,454.8,-0.89,19490.0,8805578.8,-1
2026-02-11,461.0,461.0,448.0,453.0,-1.74,10408.0,4716434.9,-1
2026-02-12,445.0,459.0,445.0,453.1,1.82,19184.0,8716427.3,1
2026-02-16,452.0,460.0,450.0,454.0,0.44,35422.0,16102117.7,1
2026-02-17,463.0,463.0,450.0,451.0,-2.59,27145.0,12348482.3,-1
2026-02-22,449.0,455.0,442.1,444.7,-0.96,17282.0,7733168.8,-1
2026-02-23,450.9,450.9,431.0,437.9,-2.88,13788.0,6011149.0,-1
2026-02-24,446.6,446.6,430.1,436.4,-2.28,6185.0,2692807.8,-1
2026-02-25,444.9,448.5,432.1,435.0,-2.23,5937.0,2591637.1,-1
2026-02-26,433.0,445.0,433.0,438.0,1.15,4007.0,1759468.5,1
