published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,283.4,300.0,283.0,286.0,0.92,66718.0,19054089.9,1
2025-12-09,290.0,291.7,285.0,287.0,-1.03,9836.0,2829017.0,-1
2025-12-10,284.2,290.0,281.5,283.8,-0.14,13122.0,3741655.9,-1
2025-12-11,281.7,289.0,280.0,283.0,0.46,31424.0,8899590.5,1
2025-12-14,279.0,286.0,278.0,279.0,0.0,9912.0,2776851.4,0
2025-12-15,279.5,284.0,276.4,278.1,-0.5,10043.0,2801385.5,-1
2025-12-16,272.6,293.0,272.6,281.0,3.08,48498.0,13742846.0,1
2025-12-17,280.0,282.0,275.5,278.5,-0.54,22171.0,6161993.3,-1
2025-12-18,275.0,279.7,270.0,270.1,-1.78,59513.0,16287879.1,-1
2025-12-21,271.5,275.0,255.0,265.0,-2.39,52774.0,13993928.7,-1
2025-12-22,265.0,267.0,261.1,264.0,-0.38,17209.0,4529707.4,-1
2025-12-23,260.1,268.9,260.0,266.0,2.27,17721.0,4643176.1,1
2025-12-24,262.1,267.3,262.1,265.0,1.11,8983.0,2372393.3,1
2025-12-28,264.1,272.0,264.1,272.0,2.99,16062.0,4327127.0,1
2025-12-29,267.0,275.9,267.0,269.9,1.09,14072.0,3809252.6,1
2025-12-31,265.0,279.4,265.0,269.8,1.81,15671.0,4243681.5,1
2026-01-01,268.0,270.0,266.0,267.5,-0.19,17464.0,4666972.1,-1
2026-01-04,265.2,270.0,264.0,265.0,-0.08,8432.0,2237564.6,-1
2026-01-05,265.0,269.5,263.2,266.3,0.49,15811.0,4219022.1,1
2026-01-06,267.8,279.9,267.8,273.0,1.94,37029.0,10181941.3,1
2026-01-07,269.8,272.9,267.0,269.0,-0.3,16095.0,4342597.9,-1
