published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,397.5,399.0,392.1,393.1,-1.11,2911.0,1146898.7,-1
2025-12-09,388.0,409.9,388.0,408.5,5.28,17704.0,7145666.2,1
2025-12-10,410.0,413.4,402.0,402.0,-1.95,13147.0,5360527.7,-1
2025-12-11,394.2,418.0,394.2,417.7,5.96,29668.0,12278607.8,1
2025-12-14,426.0,426.0,403.0,406.2,-4.65,19662.0,8157912.3,-1
2025-12-15,401.0,406.0,399.0,403.0,0.5,4186.0,1677872.0,1
2025-12-16,400.0,419.0,395.0,407.0,1.75,2924.0,1193422.1,1
2025-12-17,400.1,407.0,398.0,399.0,-0.27,8659.0,3474510.0,-1
2025-12-18,398.0,405.9,393.0,394.0,-1.01,7178.0,2854276.1,-1
2025-12-21,392.1,398.0,388.0,388.0,-1.05,10482.0,4107809.5,-1
2025-12-22,393.0,402.9,385.0,388.5,-1.15,2785.0,1083840.9,-1
2025-12-23,380.9,388.0,380.9,384.0,0.81,1815.0,695843.0,1
2025-12-24,391.0,391.0,379.0,382.0,-2.3,5675.0,2163364.7,-1
2025-12-28,382.0,392.9,382.0,392.9,2.85,6687.0,2599559.0,1
2025-12-29,388.2,395.0,388.0,388.0,-0.05,5104.0,1987397.7,-1
2025-12-31,382.1,395.7,382.1,390.0,2.07,12269.0,4761694.2,1
2026-01-01,384.0,396.9,383.8,389.0,1.3,9675.0,3724516.7,1
2026-01-04,382.0,399.0,377.0,386.0,1.05,13014.0,4966115.6,1
2026-01-05,385.0,393.0,378.5,385.2,0.05,11546.0,4411621.5,1
2026-01-06,391.9,400.7,380.0,391.0,-0.23,7014.0,2716600.3,-1
2026-01-07,384.1,397.5,384.1,389.9,1.51,3754.0,1463440.7,1
2026-01-08,384.0,388.9,384.0,384.4,0.1,4470.0,1723219.1,1
2026-01-12,384.4,384.9,378.0,382.9,-0.39,8964.0,3410522.1,-1
2026-01-13,389.0,389.0,373.0,378.0,-2.83,10507.0,3949295.8,-1
2026-01-14,375.0,382.9,375.0,379.9,1.31,7706.0,2904237.7,1
2026-01-18,378.5,382.0,375.0,379.8,0.34,8693.0,3276237.3,1
2026-01-20,385.0,394.9,379.8,382.0,-0.78,21454.0,8207276.4,-1
2026-01-21,375.5,389.0,375.5,384.7,2.45,22644.0,8634011.7,1
2026-01-22,377.6,390.0,377.6,390.0,3.28,11097.0,4273730.5,1
2026-01-25,390.0,404.0,390.0,402.0,3.08,33908.0,13513589.6,1
2026-01-26,406.0,406.0,394.1,398.9,-1.75,33189.0,13229837.1,-1
2026-01-27,392.0,404.9,389.0,394.9,0.74,16833.0,6670546.8,1
2026-01-28,388.0,402.5,387.5,399.5,2.96,16135.0,6373721.5,1
2026-01-29,400.0,412.0,399.9,400.0,0.0,42010.0,17050712.4,0
2026-02-01,398.0,404.0,392.2,392.5,-1.38,5782.0,2294309.8,-1
2026-02-02,392.0,400.0,390.0,392.8,0.2,15414.0,6062797.3,1
2026-02-03,390.0,395.9,388.7,389.0,-0.26,12513.0,4889132.1,-1
2026-02-04,387.0,397.0,387.0,390.2,0.83,12716.0,4985320.5,1
2026-02-05,398.0,398.0,390.1,398.0,0.0,9691.0,3813034.2,0
2026-02-08,395.5,406.0,395.5,397.5,0.51,37143.0,14925823.7,1
2026-02-09,400.0,402.0,392.0,402.0,0.5,20282.0,8081755.3,1
2026-02-10,402.0,403.9,392.1,397.0,-1.24,16748.0,6681562.3,-1
2026-02-11,395.0,400.0,390.0,392.0,-0.76,13277.0,5211601.4,-1
2026-02-12,399.7,407.7,390.2,390.3,-2.35,13919.0,5486479.1,-1
2026-02-16,392.0,395.0,381.1,382.1,-2.53,12107.0,4670227.7,-1
2026-02-17,376.1,384.0,375.1,382.1,1.6,19260.0,7299654.2,1
2026-02-22,382.0,382.1,364.0,364.0,-4.71,16715.0,6188993.6,-1
2026-02-23,364.0,365.0,345.0,347.9,-4.42,33323.0,11771952.8,-1
2026-02-24,347.9,351.9,325.0,343.0,-1.41,44637.0,15061696.4,-1
2026-02-25,343.0,345.4,336.2,337.4,-1.63,22654.0,7696209.0,-1
2026-02-26,337.0,351.8,335.1,350.0,3.86,37604.0,12920280.6,1
2026-03-01,350.0,353.9,335.0,340.0,-2.86,28801.0,9857881.3,-1
2026-03-03,345.0,367.1,345.0,361.0,4.64,39396.0,14057569.7,1
2026-03-09,368.0,382.9,368.0,382.0,3.8,5366.0,2049443.8,1
2026-03-10,389.0,398.0,368.5,392.0,0.77,79017.0,30473552.9,1
2026-03-11,395.0,395.0,380.3,380.6,-3.65,36622.0,14107388.1,-1
2026-03-12,378.0,397.7,376.0,383.0,1.32,27187.0,10423980.6,1
2026-03-15,390.6,390.6,380.0,386.0,-1.18,25471.0,9779941.5,-1
2026-03-16,386.0,389.0,380.0,383.0,-0.78,25898.0,9909345.0,-1
2026-03-17,383.0,388.0,377.0,383.0,0.0,28954.0,11024481.2,0
2026-03-19,380.0,397.0,380.0,393.2,3.47,63786.0,25003977.0,1
2026-03-22,393.2,398.0,390.0,394.0,0.2,30515.0,12002698.1,1
2026-03-23,394.0,394.0,384.1,388.6,-1.37,22206.0,8610756.2,-1
2026-03-24,387.0,394.5,385.5,388.0,0.26,27732.0,10827760.8,1
2026-03-25,388.0,390.0,380.0,383.0,-1.29,22546.0,8686777.8,-1
2026-03-26,385.0,392.7,380.1,390.0,1.3,28331.0,10944212.6,1
2026-03-29,385.0,390.0,380.0,381.0,-1.04,14205.0,5451465.6,-1
2026-03-30,377.1,381.0,366.6,368.0,-2.41,21707.0,8124488.9,-1
2026-03-31,362.0,370.0,354.0,360.0,-0.55,28396.0,10283960.9,-1
2026-04-01,360.0,373.1,359.0,362.0,0.56,22103.0,8084403.5,1
2026-04-02,360.0,365.0,348.0,358.0,-0.56,13717.0,4928363.1,-1
2026-04-05,352.0,354.0,338.1,339.0,-3.69,20201.0,6925495.1,-1
2026-04-06,340.0,363.9,339.3,360.0,5.88,33272.0,11688732.4,1
2026-04-07,367.2,369.0,357.0,360.2,-1.91,13432.0,4865407.3,-1
2026-04-08,367.0,373.3,362.0,372.0,1.36,16881.0,6229011.3,1
2026-04-09,370.0,379.3,366.0,375.0,1.35,8896.0,3315031.6,1
2026-04-10,368.1,371.0,365.0,365.0,-0.84,7907.0,2909597.6,-1
2026-04-13,358.0,374.0,358.0,371.0,3.63,13462.0,4964534.4,1
2026-04-15,372.0,380.0,366.0,377.0,1.34,15133.0,5703095.6,1
2026-04-16,375.0,375.0,367.2,367.2,-2.08,11886.0,4395737.9,-1
2026-04-17,366.0,369.8,363.0,364.0,-0.55,9580.0,3503814.5,-1
2026-04-20,357.2,380.0,357.2,366.0,2.46,6644.0,2421001.1,1
2026-04-21,370.0,370.0,360.0,360.1,-2.68,6729.0,2443191.0,-1
2026-04-22,358.0,358.0,350.5,358.0,0.0,7845.0,2778833.8,0
2026-04-23,350.1,358.9,344.2,353.0,0.83,6181.0,2179494.2,1
2026-04-24,350.0,351.1,343.2,351.0,0.29,9332.0,3256790.0,1
2026-04-27,351.0,355.9,351.0,353.0,0.57,3454.0,1219808.3,1
2026-04-28,353.0,358.0,350.0,358.0,1.42,4948.0,1754396.3,1
2026-04-29,358.0,358.0,348.0,350.0,-2.23,8020.0,2806856.4,-1
2026-04-30,345.0,350.6,335.0,350.6,1.62,7607.0,2598099.5,1
2026-05-04,341.2,350.0,341.2,345.1,1.14,5312.0,1832516.2,1
2026-05-05,345.1,350.0,335.1,344.0,-0.32,3495.0,1200677.0,-1
2026-05-06,335.4,345.1,335.4,345.1,2.89,2074.0,710042.0,1
2026-05-07,340.0,350.0,340.0,342.2,0.65,5571.0,1928385.3,1
2026-05-08,340.0,345.0,340.0,345.0,1.47,3633.0,1243562.5,1
2026-05-11,344.0,358.0,344.0,355.0,3.2,9297.0,3278615.5,1
2026-05-12,338.0,360.0,338.0,348.0,2.96,15702.0,5515963.9,1
2026-05-13,340.1,355.0,340.1,353.5,3.94,1815.0,634718.0,1
2026-05-14,346.0,353.0,346.0,350.0,1.16,1301.0,452520.3,1
2026-05-15,346.0,351.0,346.0,348.4,0.69,2358.0,823757.6,1
2026-05-18,348.1,352.0,348.0,348.0,-0.03,3101.0,1082067.0,-1
2026-05-19,330.6,361.0,330.6,347.0,4.96,4686.0,1631856.0,1
2026-05-20,342.6,354.0,342.6,354.0,3.33,2936.0,1030956.5,1
2026-05-21,343.7,360.4,343.7,353.0,2.71,9226.0,3291237.2,1
2026-05-22,335.4,370.0,335.4,368.9,9.99,15688.0,5738832.4,1
2026-05-25,370.0,372.0,362.0,367.0,-0.81,6214.0,2273907.4,-1
2026-05-26,360.0,364.5,360.0,362.0,0.56,5393.0,1948880.9,1
2026-05-27,358.5,365.0,356.1,360.0,0.42,2517.0,910189.0,1
2026-06-01,360.0,360.5,346.6,350.0,-2.78,3797.0,1342207.0,-1
2026-06-02,350.0,355.0,346.0,353.9,1.11,8121.0,2843622.5,1
2026-06-03,355.0,355.9,348.4,351.9,-0.87,7160.0,2513512.0,-1
2026-06-04,346.0,356.0,346.0,355.0,2.6,3358.0,1176754.3,1
2026-06-05,350.6,355.0,348.0,354.0,0.97,10306.0,3606999.8,1
2026-06-08,336.3,350.0,336.3,346.0,2.88,4856.0,1684089.5,1
2026-06-09,336.0,353.0,336.0,352.0,4.76,4703.0,1609515.0,1
2026-06-10,349.1,359.0,341.5,350.0,0.26,5746.0,2018724.9,1
2026-06-11,359.0,359.0,346.0,346.0,-3.62,3774.0,1321018.4,-1
2026-06-12,355.0,355.0,343.1,347.0,-2.25,1730.0,596613.0,-1
2026-06-15,347.0,350.0,339.6,344.9,-0.61,1197.0,410749.0,-1
2026-06-16,350.0,350.0,340.0,342.3,-2.2,7494.0,2567886.5,-1
2026-06-17,342.3,348.0,340.5,344.7,0.7,2058.0,709284.2,1
2026-06-18,343.5,344.2,337.5,344.0,0.15,15331.0,5197146.3,1
2026-06-19,340.0,349.5,340.0,343.0,0.88,3802.0,1313684.5,1
2026-06-22,343.0,345.0,338.0,344.0,0.29,2788.0,951144.5,1
2026-06-23,353.9,353.9,335.2,343.9,-2.83,5168.0,1754969.7,-1
2026-06-24,349.0,349.0,335.7,335.8,-3.78,4259.0,1435444.4,-1
2026-06-25,335.3,339.9,335.2,339.0,1.1,1611.0,541948.6,1
2026-06-26,339.0,339.0,335.0,335.0,-1.18,2364.0,793107.0,-1
2026-06-29,350.0,350.0,329.0,330.0,-5.71,2934.0,989770.0,-1
2026-06-30,330.0,330.0,325.2,330.0,0.0,4110.0,1343710.7,0
2026-07-01,339.0,339.0,327.0,338.9,-0.03,5068.0,1705998.7,-1
2026-07-02,331.2,337.9,331.2,333.0,0.54,1017.0,340428.7,1
2026-07-03,335.0,335.0,326.5,326.5,-2.54,3413.0,1124921.7,-1
2026-07-06,325.0,332.0,321.1,321.2,-1.17,1568.0,510816.7,-1
2026-07-07,318.1,344.0,318.1,334.0,5.0,4162.0,1366633.2,1
2026-07-08,328.0,330.0,318.2,318.2,-2.99,4284.0,1381369.0,-1
2026-07-09,312.2,321.0,312.2,316.5,1.38,4637.0,1468860.7,1
2026-07-10,317.1,322.0,313.5,317.0,-0.03,1410.0,445182.5,-1
2026-07-13,312.0,316.7,305.0,305.0,-2.24,5193.0,1603976.5,-1
2026-07-14,314.1,314.1,301.0,305.2,-2.83,5302.0,1622689.3,-1
2026-07-15,305.1,310.0,302.0,308.5,1.11,3580.0,1096892.5,1
2026-07-16,307.0,310.0,301.0,309.0,0.65,1625.0,497457.0,1
2026-07-17,312.0,344.1,312.0,329.0,5.45,3917.0,1265475.1,1
2026-07-20,330.0,339.0,322.8,331.9,0.58,5805.0,1931501.0,1
2026-07-21,335.0,339.5,322.0,328.0,-2.09,9465.0,3096640.1,-1
2026-07-22,334.9,334.9,320.0,321.0,-4.15,1792.0,578303.0,-1
2026-07-23,315.5,325.0,315.2,324.0,2.69,3903.0,1252073.0,1
2026-07-24,323.0,331.0,315.3,330.0,2.17,5058.0,1641011.0,1
2026-07-27,325.0,331.5,322.0,326.0,0.31,3106.0,1017117.9,1
2026-07-28,317.0,324.0,311.1,319.0,0.63,10653.0,3365422.2,1
2026-07-29,328.5,328.5,314.1,314.1,-4.38,2486.0,791239.1,-1
2026-07-30,323.0,323.0,313.0,315.2,-2.41,3485.0,1104414.5,-1
