published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,481.0,491.6,480.0,488.8,1.62,14340.0,6990625.1,1
2025-12-09,494.0,494.0,482.3,489.0,-1.01,16409.0,8011608.3,-1
2025-12-10,498.0,498.0,481.1,483.0,-3.01,10098.0,4886909.9,-1
2025-12-11,480.0,489.0,480.0,485.0,1.04,5434.0,2627966.7,1
2025-12-14,477.0,486.5,477.0,479.9,0.61,12951.0,6231019.4,1
2025-12-15,479.9,482.9,474.1,475.7,-0.88,9384.0,4481730.8,-1
2025-12-16,475.7,483.0,474.0,482.0,1.32,7422.0,3565054.9,1
2025-12-17,482.4,488.9,482.4,486.0,0.75,8608.0,4183642.7,1
2025-12-18,481.0,487.9,480.1,480.4,-0.12,14593.0,7052241.5,-1
2025-12-21,488.0,488.0,478.1,479.1,-1.82,9395.0,4504426.9,-1
2025-12-22,473.1,477.0,473.1,475.5,0.51,8373.0,3979506.3,1
2025-12-23,472.1,480.0,472.0,479.8,1.63,6808.0,3229003.3,1
2025-12-24,480.0,483.2,475.0,475.0,-1.04,6260.0,2984903.0,-1
2025-12-28,475.5,488.0,475.1,487.0,2.42,23924.0,11596067.5,1
2025-12-29,486.0,495.0,485.2,487.0,0.21,27201.0,13342715.1,1
2025-12-31,495.9,495.9,487.2,487.2,-1.75,8702.0,4289844.6,-1
2026-01-01,488.0,493.0,480.0,486.0,-0.41,11481.0,5575013.5,-1
2026-01-04,481.0,485.9,481.0,481.3,0.06,9172.0,4429072.9,1
