published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-17,102.00,102.00,101.00,101.00,1.00,1000.00,101770.00,1
2019-06-18,102.00,107.00,101.00,105.00,3.96,3310.00,345210.00,1
2019-06-19,103.00,107.00,103.00,106.00,0.95,3290.00,346550.00,1
2019-06-20,104.00,109.00,102.00,107.00,0.94,2080.00,222040.00,1
2019-06-23,105.00,109.00,105.00,105.00,-1.87,4250.00,452130.00,-1
2019-06-24,104.00,107.00,104.00,104.00,-0.95,730.00,76600.00,-1
2019-06-25,102.00,105.00,102.00,104.00,0.00,570.00,59370.00,0
2019-06-26,102.00,105.00,102.00,105.00,0.96,810.00,83570.00,1
2019-06-27,103.00,105.00,103.00,104.00,-0.95,680.00,70370.00,-1
2019-06-30,102.00,105.00,102.00,103.00,-0.96,580.00,60090.00,-1
2019-07-01,101.00,105.00,101.00,104.00,0.97,1150.00,119390.00,1
2019-07-02,104.00,105.00,103.00,104.00,0.00,570.00,59325.00,0
2019-07-03,103.00,107.00,103.00,106.00,1.92,2290.00,241370.00,1
2019-07-04,104.00,107.00,104.00,107.00,0.94,1020.00,106770.00,1
2019-07-07,105.00,106.00,104.00,104.00,-2.80,770.00,80940.00,-1
2019-07-08,103.00,106.00,102.00,102.00,-1.92,1210.00,126020.00,-1
2019-07-09,102.00,104.00,102.00,104.00,1.96,640.00,66000.00,1
2019-07-10,103.00,105.00,103.00,105.00,0.96,590.00,61760.00,1
2019-07-11,103.00,104.00,102.00,104.00,-0.95,540.00,55740.00,-1
2019-07-14,103.00,104.00,103.00,104.00,0.00,430.00,44670.00,0
2019-07-15,103.00,103.00,103.00,103.00,-0.96,360.00,37080.00,-1
2019-07-16,104.00,107.00,104.00,105.00,1.94,1350.00,142710.00,1
2019-07-17,103.00,109.00,103.00,106.00,0.95,820.00,86370.00,1
2019-07-18,104.00,106.00,104.00,105.00,-0.94,290.00,30350.00,-1
2019-07-21,107.00,107.00,103.00,103.00,-1.90,370.00,38470.00,-1
2019-07-22,103.00,103.00,103.00,103.00,0.00,570.00,58710.00,0
2019-07-23,103.00,103.00,102.00,102.00,-0.97,430.00,44170.00,-1
2019-07-24,103.00,103.00,101.00,101.00,-0.98,1440.00,146800.00,-1
2019-07-25,102.00,106.00,100.00,101.00,0.00,2240.00,226400.00,0
2019-07-28,100.00,101.00,100.00,100.00,-0.99,1380.00,138030.00,-1
2019-07-29,100.00,101.00,100.00,100.00,0.00,400.00,40010.00,0
2019-07-30,100.00,102.00,99.00,100.00,0.00,1940.00,194850.00,0
2019-07-31,99.00,100.00,98.00,99.00,-1.00,540.00,53570.00,-1
2019-08-01,100.00,107.00,99.00,104.00,5.05,3296.00,336696.00,1
2019-08-04,105.00,114.00,105.00,108.00,3.85,9469.00,1031019.00,1
2019-08-05,108.00,108.00,104.00,105.00,-2.78,1110.00,116696.00,-1
