published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,802.8,802.8,772.0,795.0,-0.97,8730.0,6832976.7,-1
2025-12-09,779.3,814.9,764.0,799.9,2.64,2542.0,2030300.6,1
2025-12-10,784.2,815.7,784.2,815.7,4.02,1077.0,858871.0,1
2025-12-11,800.1,832.3,770.3,820.0,2.49,3103.0,2434972.8,1
2025-12-14,804.0,861.0,785.4,803.8,-0.02,2327.0,1879684.4,-1
2025-12-15,819.0,819.0,771.0,791.0,-3.42,870.0,680505.0,-1
2025-12-16,777.0,795.0,777.0,783.1,0.79,1133.0,887575.4,1
2025-12-17,768.1,828.0,768.1,817.0,6.37,6874.0,5521394.4,1
2025-12-18,801.0,824.7,786.0,823.0,2.75,7653.0,6232352.0,1
2025-12-21,808.0,823.9,777.0,809.9,0.24,2743.0,2191048.5,1
2025-12-22,795.0,800.0,779.1,800.0,0.63,1805.0,1424390.0,1
2025-12-23,786.2,798.0,772.0,798.0,1.5,8638.0,6776904.1,1
2025-12-24,783.9,799.5,770.0,788.9,0.64,5880.0,4581866.2,1
2025-12-28,774.5,804.0,773.9,783.0,1.1,5964.0,4728571.1,1
2025-12-29,768.8,800.0,768.8,794.0,3.28,6081.0,4821333.0,1
2025-12-31,779.5,795.6,779.5,785.0,0.71,1030.0,813932.0,1
2026-01-01,770.5,785.0,770.5,771.5,0.13,2944.0,2282823.8,1
2026-01-04,756.6,794.0,756.6,793.0,4.81,1275.0,992604.0,1
2026-01-05,778.5,799.8,778.5,789.0,1.35,4620.0,3637520.5,1
2026-01-06,775.0,821.1,762.1,800.0,3.23,4967.0,3946076.3,1
2026-01-07,785.0,816.0,770.0,783.6,-0.18,2656.0,2106992.4,-1
2026-01-08,768.8,800.0,754.1,800.0,4.06,7895.0,6192895.0,1
2026-01-12,785.6,810.5,771.0,796.0,1.32,8112.0,6400555.0,1
2026-01-13,780.9,795.0,773.1,774.0,-0.88,6350.0,4933393.8,-1
2026-01-14,759.2,834.3,759.2,795.0,4.72,11016.0,8736278.5,1
2026-01-18,780.5,808.0,771.3,800.1,2.51,7961.0,6363373.2,1
2026-01-20,785.6,821.1,784.1,800.0,1.83,5527.0,4423338.5,1
2026-01-21,784.5,816.0,784.5,806.4,2.79,2932.0,2328282.1,1
2026-01-22,791.6,807.4,767.0,792.0,0.05,21515.0,16798510.0,1
2026-01-25,780.0,820.0,780.0,819.9,5.12,25808.0,20857598.1,1
2026-01-26,804.6,836.0,788.6,819.0,1.79,43955.0,35813164.0,1
2026-01-27,803.5,837.0,803.5,836.9,4.16,31068.0,25797541.6,1
2026-01-28,820.6,864.0,807.1,826.0,0.66,25560.0,21121911.0,1
2026-01-29,811.0,881.0,811.0,838.0,3.33,9778.0,8196044.7,1
2026-02-01,822.5,853.0,796.4,819.0,-0.43,23098.0,18839155.8,-1
2026-02-02,803.5,868.0,803.5,839.9,4.53,20431.0,16917630.3,1
2026-02-03,823.9,873.1,808.0,842.5,2.26,9075.0,7524921.5,1
2026-02-04,827.0,893.0,810.5,851.0,2.9,13457.0,11374852.9,1
2026-02-05,835.5,880.0,818.8,865.0,3.53,5937.0,5022354.0,1
2026-02-08,848.5,915.0,832.0,870.0,2.53,15590.0,13358487.0,1
2026-02-09,853.2,887.0,836.5,863.0,1.15,24973.0,21332770.8,1
2026-02-10,847.0,863.0,820.0,823.0,-2.83,22730.0,19207504.5,-1
2026-02-11,807.2,829.0,800.0,816.0,1.09,7400.0,6051500.7,1
2026-02-12,800.0,826.0,800.0,809.0,1.12,21391.0,17173749.0,1
2026-02-16,793.5,825.0,778.1,811.0,2.21,12230.0,9761198.3,1
2026-02-17,795.4,812.0,776.0,800.0,0.58,3765.0,2967620.0,1
2026-02-22,785.0,798.0,770.0,798.0,1.66,385.0,303781.0,1
2026-02-23,782.6,790.0,767.0,770.0,-1.61,26227.0,20362912.4,-1
2026-02-24,760.0,792.0,760.0,764.6,0.61,3510.0,2721248.5,1
2026-02-25,750.0,790.0,750.0,790.0,5.33,2383.0,1825722.0,1
2026-02-26,774.5,790.0,760.0,790.0,2.0,9431.0,7241568.6,1
2026-03-01,775.0,790.5,760.0,790.5,2.0,640.0,497740.0,1
2026-03-03,775.2,800.0,759.7,800.0,3.2,1683.0,1320971.1,1
