published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-08-15,240.00,264.00,244.00,264.00,0.00,112861.00,29763836.00,0
2017-08-16,264.00,274.00,250.00,253.00,0.00,61187.00,15971274.00,0
2017-08-17,253.00,258.00,250.00,255.00,0.00,18577.00,4676837.00,0
2017-08-20,255.00,256.00,245.00,249.00,0.00,12602.00,3132885.00,0
2017-08-21,249.00,251.00,241.00,246.00,0.00,4225.00,1035380.00,0
2017-08-22,246.00,255.00,244.00,248.00,0.00,8606.00,2136528.00,0
2017-08-23,248.00,252.00,244.00,245.00,0.00,6056.00,1488653.00,0
2017-08-24,245.00,249.00,245.00,248.00,0.00,14584.00,3608052.00,0
2017-08-27,248.00,252.00,242.00,245.00,0.00,25857.00,6363209.00,0
2017-08-28,245.00,245.00,234.00,238.00,0.00,20147.00,4772891.00,0
2017-08-30,238.00,242.00,229.00,234.00,0.00,32015.00,7396721.00,0
2017-08-31,234.00,238.00,228.00,230.00,0.00,32649.00,7610522.00,0
2017-09-04,230.00,239.00,225.00,230.00,0.00,124846.00,28215500.00,0
2017-09-06,230.00,235.00,226.00,233.00,0.00,18204.00,4196603.00,0
2017-09-07,233.00,233.00,224.00,227.00,0.00,26831.00,6097873.00,0
2017-09-10,227.00,225.00,218.00,220.00,0.00,23074.00,5135259.00,0
2017-09-11,220.00,225.00,218.00,223.00,0.00,15650.00,3470567.00,0
2017-09-12,223.00,225.00,216.00,219.00,0.00,10514.00,2310297.00,0
2017-09-13,219.00,224.00,218.00,218.00,0.00,10069.00,2214541.00,0
2017-09-14,218.00,230.00,215.00,220.00,0.00,35355.00,7794521.00,0
2017-09-17,220.00,227.00,218.00,225.00,0.00,11085.00,2474327.00,0
2017-09-18,225.00,229.00,220.00,228.00,0.00,12721.00,2846968.00,0
2017-09-20,228.00,224.00,220.00,224.00,0.00,10210.00,2261195.00,0
2017-09-24,224.00,225.00,220.00,222.00,0.00,8815.00,1955925.00,0
2017-09-25,222.00,227.00,220.00,223.00,0.00,6592.00,1464311.00,0
2017-09-26,223.00,227.00,222.00,224.00,0.00,8594.00,1932941.00,0
2017-10-03,224.00,226.00,216.00,226.00,0.00,6800.00,1508670.00,0
2017-10-04,226.00,225.00,222.00,222.00,0.00,3692.00,825219.00,0
2017-10-08,222.00,220.00,215.00,220.00,0.00,24867.00,5442593.00,0
2017-10-09,220.00,219.00,214.00,219.00,0.00,15913.00,3449303.00,0
2017-10-10,219.00,224.00,219.00,220.00,0.00,2470.00,547312.00,0
2017-10-11,220.00,223.00,218.00,218.00,0.00,6723.00,1481172.00,0
2017-10-12,218.00,224.00,216.00,217.00,0.00,10594.00,2304629.00,0
2017-10-15,217.00,225.00,217.00,220.00,0.00,10365.00,2282230.00,0
2017-10-16,220.00,228.00,220.00,227.00,0.00,12111.00,2725318.00,0
2017-10-17,227.00,229.00,219.00,224.00,0.00,10538.00,2371263.00,0
2017-10-18,224.00,228.00,222.00,227.00,0.00,9833.00,2230246.00,0
2017-10-22,227.00,231.00,225.00,227.00,0.00,8875.00,2015735.00,0
2017-10-23,227.00,229.00,223.00,226.00,0.00,9180.00,2089285.00,0
2017-10-24,226.00,227.00,223.00,224.00,0.00,7539.00,1695052.00,0
2017-10-25,224.00,225.00,221.00,223.00,0.00,2109.00,468427.00,0
2017-10-29,223.00,227.00,223.00,224.00,0.00,4374.00,985103.00,0
2017-10-30,224.00,226.00,221.00,223.00,0.00,15472.00,3453495.00,0
2017-10-31,223.00,226.00,221.00,222.00,0.00,5081.00,1129830.00,0
2017-11-01,222.00,225.00,221.00,221.00,0.00,2697.00,598977.00,0
2017-11-02,221.00,224.00,221.00,223.00,0.00,2245.00,498270.00,0
2017-11-05,223.00,225.00,219.00,219.00,0.00,5728.00,1262968.00,0
2017-11-06,219.00,223.00,217.00,218.00,0.00,11221.00,2452899.00,0
2017-11-07,218.00,223.00,218.00,220.00,0.00,5953.00,1305948.00,0
