published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1500.0,1509.0,1482.2,1509.0,0.6,474.0,707850.0,1
2025-12-09,1489.0,1512.0,1487.0,1490.0,0.07,802.0,1198624.0,1
2025-12-10,1519.0,1519.0,1488.9,1490.0,-1.91,310.0,463519.0,-1
2025-12-11,1481.2,1498.0,1475.1,1486.1,0.33,644.0,955676.7,1
2025-12-14,1476.5,1499.0,1461.0,1499.0,1.52,290.0,427953.0,1
2025-12-15,1472.6,1490.0,1472.6,1490.0,1.18,83.0,123024.0,1
2025-12-16,1500.0,1509.9,1490.0,1494.0,-0.4,576.0,860328.9,-1
2025-12-17,1490.0,1500.0,1471.0,1472.2,-1.19,202.0,298020.4,-1
2025-12-18,1463.0,1492.0,1462.0,1487.9,1.7,955.0,1397867.0,1
2025-12-21,1470.0,1609.0,1470.0,1609.0,9.46,759.0,1144189.0,1
2025-12-22,1576.9,1576.9,1456.0,1499.0,-4.94,3019.0,4480302.4,-1
2025-12-23,1469.1,1589.0,1445.0,1466.3,-0.19,4993.0,7342398.7,-1
2025-12-24,1437.0,1523.0,1437.0,1485.0,3.34,297.0,436649.0,1
2025-12-28,1456.0,1497.0,1439.0,1488.0,2.2,2487.0,3618748.3,1
2025-12-29,1468.0,1484.9,1440.0,1440.0,-1.91,805.0,1170027.0,-1
