published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1945.0,2018.0,1945.0,1990.0,2.31,130.0,257046.7,1
2025-12-09,1972.2,2002.0,1971.0,1995.0,1.16,1214.0,2398322.2,1
2025-12-10,1961.0,1999.0,1961.0,1988.0,1.38,674.0,1332083.7,1
2025-12-11,1948.7,1998.9,1948.7,1970.0,1.09,676.0,1339939.6,1
2025-12-14,1950.0,1987.0,1935.0,1987.0,1.9,775.0,1522826.0,1
2025-12-15,1951.0,1989.0,1951.0,1989.0,1.95,105.0,206099.9,1
2025-12-16,1961.1,1984.4,1961.1,1984.4,1.19,276.0,545017.0,1
2025-12-17,1970.0,1984.9,1954.0,1979.9,0.5,1741.0,3419626.0,1
2025-12-18,1970.0,1998.0,1950.4,1989.0,0.96,640.0,1259678.4,1
2025-12-21,2015.0,2015.0,1950.0,1971.0,-2.18,708.0,1382682.5,-1
2025-12-22,1989.0,1989.0,1940.0,1946.0,-2.16,319.0,621134.8,-1
2025-12-23,1930.0,1950.1,1922.2,1931.1,0.06,363.0,701410.6,1
