published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.4,8.6,8.4,8.51,1.31,3490.0,29715.0,1
2025-12-09,8.37,8.7,8.37,8.46,1.08,17556.0,149798.01,1
2025-12-10,8.35,8.71,8.35,8.71,4.31,10550.0,88583.5,1
2025-12-11,8.84,8.84,8.46,8.46,-4.3,4600.0,39576.0,-1
2025-12-14,8.37,8.6,8.37,8.5,1.55,13650.0,116078.5,1
2025-12-15,8.35,8.6,8.35,8.42,0.84,7618.0,64558.9,1
2025-12-16,8.5,8.8,8.36,8.71,2.47,18750.0,158785.5,1
2025-12-17,8.87,8.87,8.53,8.55,-3.61,8005.0,69438.1,-1
2025-12-18,8.4,8.7,8.4,8.48,0.95,19400.0,166092.5,1
2025-12-21,8.42,8.64,8.42,8.64,2.61,6750.0,57677.0,1
2025-12-22,8.5,8.66,8.5,8.66,1.88,22783.0,195362.5,1
2025-12-23,8.67,8.67,8.39,8.55,-1.38,7800.0,66447.0,-1
2025-12-24,8.38,8.63,8.31,8.46,0.95,8795.0,74600.75,1
2025-12-28,8.46,8.84,8.46,8.7,2.84,47391.0,406919.7,1
2025-12-29,8.85,8.85,8.51,8.75,-1.13,9550.0,82712.24,-1
2025-12-31,8.84,8.84,8.52,8.72,-1.36,16903.0,144860.66,-1
2026-01-01,8.72,8.72,8.55,8.6,-1.38,14297.0,123159.84,-1
2026-01-04,8.5,8.71,8.45,8.71,2.47,41600.0,357251.0,1
2026-01-05,8.88,8.88,8.55,8.7,-2.03,10850.0,94131.5,-1
2026-01-06,8.7,8.8,8.61,8.74,0.46,74735.0,655480.4,1
2026-01-07,8.82,8.82,8.51,8.7,-1.36,23841.0,207200.9,-1
2026-01-08,8.6,8.8,8.57,8.57,-0.35,25960.0,225995.8,-1
2026-01-12,8.45,8.77,8.45,8.72,3.2,14200.0,123569.0,1
2026-01-13,8.55,8.72,8.39,8.6,0.58,17000.0,145540.5,1
2026-01-14,8.5,8.77,8.46,8.75,2.94,7711.0,66763.25,1
2026-01-18,8.75,8.85,8.58,8.6,-1.71,19399.0,167105.0,-1
