published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-01-18,157.00,161.00,157.00,161.00,0.00,1200.00,191390.00,0
2012-01-19,161.00,160.00,160.00,160.00,0.00,530.00,84800.00,0
2012-01-22,160.00,160.00,159.00,159.00,0.00,1000.00,159100.00,0
2012-01-23,159.00,157.00,154.00,157.00,0.00,580.00,89980.00,0
2012-01-25,157.00,155.00,154.00,155.00,0.00,140.00,21590.00,0
2012-01-26,155.00,160.00,155.00,157.00,0.00,300.00,47040.00,0
2012-01-29,157.00,165.00,160.00,163.00,0.00,1610.00,262350.00,0
2012-01-31,163.00,166.00,162.00,162.00,0.00,1390.00,227300.00,0
2012-02-01,162.00,165.00,162.00,164.00,0.00,60.00,9820.00,0
2012-02-02,164.00,165.00,162.00,165.00,0.00,620.00,101700.00,0
2012-02-05,165.00,165.00,160.00,165.00,0.00,430.00,69360.00,0
2012-02-06,165.00,165.00,160.00,161.00,0.00,810.00,131090.00,0
2012-02-07,161.00,163.00,161.00,161.00,0.00,510.00,82550.00,0
2012-02-08,161.00,165.00,162.00,162.00,0.00,2320.00,377060.00,0
2012-02-09,162.00,163.00,160.00,162.00,0.00,560.00,90210.00,0
2012-02-12,162.00,161.00,161.00,161.00,0.00,390.00,62790.00,0
2012-02-13,161.00,169.00,160.00,162.00,0.00,290.00,47370.00,0
2012-02-14,162.00,160.00,159.00,159.00,0.00,250.00,39800.00,0
2012-02-15,159.00,162.00,153.00,162.00,0.00,850.00,135530.00,0
2012-02-16,162.00,160.00,159.00,160.00,0.00,730.00,116470.00,0
2012-02-21,160.00,164.00,159.00,164.00,0.00,1940.00,310150.00,0
2012-02-23,164.00,166.00,160.00,160.00,0.00,800.00,130800.00,0
2012-02-26,160.00,162.00,159.00,162.00,0.00,100.00,15960.00,0
2012-02-27,162.00,161.00,160.00,161.00,0.00,1150.00,184240.00,0
2012-02-28,161.00,161.00,160.00,161.00,0.00,60.00,9630.00,0
2012-02-29,161.00,167.00,164.00,167.00,0.00,40.00,6620.00,0
2012-03-01,167.00,165.00,162.00,162.00,0.00,230.00,37860.00,0
2012-03-05,162.00,165.00,163.00,163.00,0.00,340.00,55500.00,0
2012-03-06,163.00,171.00,161.00,171.00,0.00,300.00,50230.00,0
2012-03-11,171.00,174.00,165.00,165.00,0.00,620.00,102630.00,0
2012-03-12,165.00,164.00,162.00,164.00,0.00,30.00,4900.00,0
2012-03-13,164.00,170.00,165.00,170.00,0.00,490.00,82120.00,0
2012-03-14,170.00,173.00,167.00,169.00,0.00,1550.00,260930.00,0
2012-03-15,169.00,172.00,169.00,170.00,0.00,1260.00,215520.00,0
2012-03-18,170.00,171.00,168.00,170.00,0.00,370.00,62930.00,0
2012-03-19,170.00,173.00,170.00,170.00,0.00,60.00,10260.00,0
2012-03-20,170.00,169.00,167.00,168.00,0.00,280.00,47120.00,0
2012-03-21,168.00,171.00,160.00,171.00,0.00,1130.00,190210.00,0
2012-03-25,171.00,168.00,162.00,166.00,0.00,860.00,141720.00,0
2012-03-26,166.00,168.00,167.00,168.00,0.00,190.00,31910.00,0
2012-03-27,168.00,169.00,169.00,169.00,0.00,270.00,45630.00,0
2012-03-28,169.00,170.00,170.00,170.00,0.00,100.00,17000.00,0
2012-03-29,170.00,167.00,167.00,167.00,0.00,120.00,20040.00,0
2012-04-01,167.00,168.00,165.00,168.00,0.00,290.00,47880.00,0
2012-04-02,168.00,171.00,169.00,171.00,0.00,1430.00,242630.00,0
2012-04-03,171.00,172.00,170.00,170.00,0.00,1350.00,230300.00,0
2012-04-04,170.00,176.00,170.00,170.00,0.00,1290.00,219640.00,0
2012-04-05,170.00,169.00,168.00,169.00,0.00,80.00,13480.00,0
2012-04-08,169.00,175.00,170.00,175.00,0.00,700.00,119740.00,0
