published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.7,8.9,8.53,8.88,2.07,39330.0,343973.0,1
2025-12-09,8.75,8.98,8.6,8.98,2.63,8850.0,78557.3,1
2025-12-10,8.98,9.01,8.82,8.88,-1.11,21320.0,190622.14,-1
2025-12-11,8.74,9.01,8.74,8.88,1.6,23190.0,206065.8,1
2025-12-14,8.82,9.05,8.82,9.05,2.61,14300.0,128504.0,1
2025-12-15,8.89,9.07,8.88,9.07,2.02,33675.0,303318.5,1
2025-12-16,8.89,9.02,8.73,8.98,1.01,59752.0,538098.58,1
2025-12-17,9.0,9.07,8.83,8.93,-0.78,85090.0,768984.3,-1
2025-12-18,8.83,9.0,8.83,8.85,0.23,833500.0,7406439.0,1
2025-12-21,8.83,9.0,8.83,8.85,0.23,3300.0,29211.0,1
2025-12-22,8.85,9.04,8.83,9.04,2.15,106400.0,948152.5,1
