published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1138.0,1138.0,1138.0,1138.0,0.0,25.0,28450.0,0
2025-12-18,1145.1,1145.1,1145.1,1145.1,0.0,25.0,28627.5,0
2025-12-22,1168.0,1168.0,1157.0,1157.0,-0.94,50.0,58020.0,-1
2025-12-23,1175.0,1175.0,1175.0,1175.0,0.0,100.0,117500.0,0
2025-12-28,1160.0,1160.0,1160.0,1160.0,0.0,25.0,29000.0,0
2025-12-29,1155.0,1155.0,1155.0,1155.0,0.0,25.0,28875.0,0
2025-12-31,1155.0,1155.0,1155.0,1178.1,2.0,1.0,1178.1,1
2026-01-01,1178.1,1178.1,1178.1,1178.1,0.0,19.0,22383.9,0
2026-01-05,1156.0,1156.0,1156.0,1156.0,0.0,25.0,28900.0,0
2026-01-13,1156.0,1156.0,1156.0,1156.0,0.0,50.0,57800.0,0
2026-01-18,1156.0,1180.0,1156.0,1200.0,3.81,80.0,94339.5,1
2026-01-26,1176.0,1176.0,1176.0,1176.0,0.0,25.0,29400.0,0
2026-02-25,1156.0,1156.0,1156.0,1156.0,0.0,25.0,28900.0,0
2026-02-26,1133.0,1133.5,1133.0,1133.5,0.04,100.0,113325.0,1
2026-03-23,1135.0,1135.0,1135.0,1135.0,0.0,25.0,28375.0,0
2026-03-25,1142.0,1142.0,1142.0,1142.0,0.0,25.0,28550.0,0
2026-04-01,1142.0,1142.0,1142.0,1142.0,0.0,25.0,28550.0,0
2026-04-05,1145.0,1145.0,1145.0,1145.0,0.0,25.0,28625.0,0
2026-04-06,1142.1,1142.1,1142.1,1142.1,0.0,25.0,28552.5,0
2026-04-13,1145.0,1145.0,1145.0,1145.0,0.0,25.0,28625.0,0
2026-04-15,1145.0,1145.0,1145.0,1145.0,0.0,50.0,57250.0,0
2026-04-22,1121.1,1121.1,1121.1,1121.1,0.0,25.0,28027.5,0
2026-04-24,1121.1,1140.0,1140.0,1140.0,1.69,25.0,28500.0,1
2026-04-27,1140.0,1174.0,1174.0,1174.0,2.98,20.0,23480.0,1
2026-04-28,1174.0,1200.0,1200.0,1200.0,2.21,20.0,24000.0,1
2026-04-30,1200.0,1200.0,1129.9,1135.0,-5.42,54.0,61144.7,-1
2026-05-04,1135.0,1135.0,1135.0,1105.0,-2.64,5.0,5525.0,-1
2026-05-06,1130.0,1130.0,1130.0,1130.0,0.0,50.0,56500.0,0
2026-05-26,1130.0,1150.0,1130.0,1150.0,1.77,50.0,57000.0,1
2026-05-27,1133.1,1133.1,1133.1,1133.1,0.0,25.0,28327.5,0
2026-06-05,1152.0,1152.1,1152.0,1152.1,0.01,28374.0,32689682.8,1
2026-06-19,1157.9,1157.9,1157.9,1157.9,0.0,33708.0,39030493.2,0
2026-06-22,1125.0,1125.0,1125.0,1125.0,0.0,25.0,28125.0,0
