published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,760.0,771.0,756.0,764.0,0.53,1165.0,885610.0,1
2025-12-09,764.0,765.6,764.0,764.0,0.0,1855.0,1418037.0,0
2025-12-10,756.5,770.0,756.5,769.0,1.65,1401.0,1069855.3,1
2025-12-11,775.0,775.0,758.0,767.0,-1.03,1316.0,1000399.0,-1
2025-12-14,770.0,789.0,770.0,786.0,2.08,9456.0,7380494.0,1
2025-12-15,800.0,801.5,780.0,793.9,-0.76,4857.0,3833931.5,-1
2025-12-16,795.0,795.0,790.0,790.0,-0.63,1779.0,1413020.0,-1
2025-12-17,795.0,800.0,785.0,789.5,-0.69,4278.0,3402435.0,-1
2025-12-18,790.0,792.0,761.0,788.0,-0.25,4174.0,3256484.3,-1
2025-12-21,775.1,800.0,760.0,800.0,3.21,3351.0,2597527.1,1
2025-12-22,785.0,794.0,761.1,794.0,1.15,3402.0,2649177.8,1
2025-12-23,780.0,800.0,770.1,800.0,2.56,4339.0,3408638.1,1
2025-12-24,800.0,800.0,775.0,790.0,-1.25,3345.0,2623424.1,-1
2025-12-28,795.0,813.9,790.0,813.9,2.38,5166.0,4147881.4,1
2025-12-29,813.9,817.0,801.2,811.0,-0.36,3488.0,2820085.1,-1
2025-12-31,818.0,819.0,811.0,817.9,-0.01,1435.0,1169870.2,-1
2026-01-01,820.1,826.0,800.0,820.0,-0.01,4588.0,3697505.8,-1
2026-01-04,808.0,810.0,787.6,810.0,0.25,2951.0,2365068.6,1
2026-01-05,795.0,820.0,795.0,810.0,1.89,3953.0,3190320.5,1
2026-01-06,801.1,817.0,801.0,811.0,1.24,2374.0,1918578.0,1
2026-01-07,808.0,814.9,800.1,810.0,0.25,1479.0,1189726.0,1
2026-01-08,804.0,812.0,796.0,808.0,0.5,5098.0,4095531.5,1
2026-01-12,808.0,816.0,800.0,803.0,-0.62,1678.0,1350859.0,-1
2026-01-13,790.7,801.0,787.0,787.0,-0.47,1482.0,1172968.8,-1
2026-01-14,782.0,810.0,782.0,795.2,1.69,406.0,320543.0,1
2026-01-18,811.0,820.0,801.1,816.9,0.73,4371.0,3530463.3,1
2026-01-20,816.9,831.0,816.2,828.9,1.47,2686.0,2213468.8,1
