published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.3,9.35,9.25,9.35,0.54,154204.0,1434097.2,1
2025-12-09,9.3,9.42,9.21,9.35,0.54,115510.0,1077415.6,1
2025-12-10,9.25,9.45,9.2,9.45,2.16,163100.0,1510118.0,1
2025-12-11,9.63,9.63,9.2,9.2,-4.47,132070.0,1219641.63,-1
2025-12-14,9.12,9.44,9.12,9.43,3.4,131300.0,1237648.0,1
2025-12-15,9.36,9.4,9.36,9.38,0.21,19200.0,180060.0,1
2025-12-16,9.4,9.51,9.4,9.45,0.53,85000.0,806753.0,1
2025-12-17,9.63,9.63,9.47,9.51,-1.25,14093.0,134118.79,-1
2025-12-18,9.53,9.53,9.5,9.5,-0.31,1500.0,14270.0,-1
2025-12-21,9.42,9.69,9.42,9.5,0.85,1500.0,14286.0,1
2025-12-22,9.5,9.5,9.38,9.38,-1.26,10100.0,95338.0,-1
2025-12-23,9.5,9.5,9.5,9.5,0.0,400.0,3800.0,0
2025-12-24,9.6,9.69,9.5,9.5,-1.04,3400.0,32348.0,-1
2025-12-28,9.32,9.58,9.31,9.58,2.79,30427.0,284084.95,1
2025-12-29,9.41,9.55,9.41,9.45,0.43,47875.0,450525.75,1
2025-12-31,9.63,9.69,9.31,9.51,-1.25,33060.0,315663.56,-1
2026-01-01,9.5,9.59,9.5,9.59,0.95,580.0,5544.2,1
2026-01-04,9.55,9.59,9.5,9.5,-0.52,6265.0,59562.35,-1
2026-01-05,9.69,9.69,9.55,9.55,-1.44,4774.0,45618.7,-1
2026-01-06,9.41,9.5,9.41,9.45,0.43,2460.0,23227.4,1
2026-01-07,9.62,9.62,9.62,9.62,0.0,1700.0,16354.0,0
2026-01-08,9.5,9.55,9.46,9.46,-0.42,18000.0,171295.2,-1
2026-01-12,9.51,9.62,9.51,9.51,0.0,3500.0,33395.0,0
2026-01-13,9.52,9.65,9.52,9.64,1.26,105720.0,1019896.2,1
2026-01-14,9.49,9.65,9.49,9.57,0.84,2760.0,26504.0,1
2026-01-18,9.38,9.56,9.38,9.42,0.43,7900.0,74564.0,1
2026-01-20,9.37,9.58,9.36,9.58,2.24,18200.0,173542.9,1
2026-01-21,9.41,9.77,9.41,9.77,3.83,3000.0,28695.0,1
2026-01-22,9.58,9.77,9.58,9.77,1.98,7555.0,73306.35,1
2026-01-25,9.58,9.76,9.58,9.61,0.31,5400.0,52638.0,1
2026-01-26,9.58,9.8,9.58,9.6,0.21,5450.0,52283.0,1
2026-01-27,9.45,9.88,9.45,9.8,3.7,66464.0,651091.95,1
2026-01-28,9.61,9.62,9.61,9.62,0.1,2000.0,19221.0,1
2026-01-29,9.6,9.81,9.6,9.79,1.98,3200.0,31273.0,1
2026-02-01,9.7,9.9,9.7,9.9,2.06,1300.0,12805.0,1
2026-02-02,9.75,9.75,9.75,9.75,0.0,400.0,3900.0,0
2026-02-03,9.7,9.75,9.56,9.62,-0.82,9796.0,94161.52,-1
2026-02-04,9.5,9.65,9.5,9.65,1.58,3799.0,36421.36,1
2026-02-05,9.6,9.84,9.6,9.84,2.5,3800.0,37156.0,1
2026-02-08,9.67,9.91,9.67,9.83,1.65,18100.0,177632.7,1
2026-02-09,9.65,9.72,9.5,9.72,0.73,105890.0,1006873.5,1
2026-02-10,9.8,9.8,9.58,9.58,-2.24,56232.0,540441.2,-1
2026-02-11,9.55,9.77,9.55,9.68,1.36,5000.0,48445.0,1
2026-02-12,9.87,10.1,9.83,9.85,-0.2,102500.0,1031008.0,-1
2026-02-16,9.8,9.99,9.61,9.61,-1.94,60360.0,601850.6,-1
2026-02-17,9.61,9.8,9.61,9.62,0.1,9039.0,87171.25,1
2026-02-22,9.8,9.8,9.53,9.6,-2.04,18900.0,181727.0,-1
2026-02-23,9.77,9.77,9.5,9.61,-1.64,2450.0,23731.5,-1
2026-02-24,9.5,9.8,9.5,9.61,1.16,11871.0,113858.68,1
2026-02-25,9.51,9.7,9.51,9.7,2.0,21600.0,207556.0,1
2026-02-26,9.88,9.88,9.63,9.65,-2.33,12740.0,123449.01,-1
2026-03-01,9.8,9.8,9.48,9.53,-2.76,22900.0,218466.0,-1
2026-03-03,9.53,9.72,9.53,9.72,1.99,3046.0,29464.33,1
2026-03-09,9.89,9.89,9.89,9.89,0.0,5000.0,49450.0,0
