published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1481.0,1530.0,1481.0,1510.0,1.96,1850.0,2783687.7,1
2025-12-09,1502.0,1525.0,1502.0,1525.0,1.53,301.0,456239.6,1
2025-12-10,1525.0,1535.0,1501.6,1501.6,-1.53,184.0,279660.2,-1
2025-12-11,1500.2,1525.0,1500.0,1525.0,1.65,695.0,1045604.1,1
2025-12-14,1502.0,1515.0,1476.0,1493.9,-0.54,1565.0,2341790.1,-1
2025-12-15,1480.0,1518.9,1480.0,1518.9,2.63,458.0,688638.0,1
2025-12-16,1501.0,1539.0,1501.0,1515.0,0.93,538.0,819440.4,1
2025-12-17,1515.0,1530.0,1490.0,1497.0,-1.19,806.0,1209632.0,-1
2025-12-18,1526.9,1526.9,1480.0,1480.1,-3.07,1435.0,2134246.0,-1
2025-12-21,1481.8,1500.0,1451.1,1500.0,1.23,997.0,1467869.8,1
2025-12-22,1470.0,1470.0,1444.2,1451.0,-1.29,2073.0,3011530.5,-1
2025-12-23,1430.0,1460.0,1430.0,1450.0,1.4,1005.0,1460432.0,1
2025-12-24,1431.3,1479.0,1431.3,1477.0,3.19,1040.0,1527961.2,1
2025-12-28,1480.0,1489.0,1465.0,1473.5,-0.44,1085.0,1596395.7,-1
2025-12-29,1470.3,1490.0,1470.0,1479.0,0.59,2830.0,4180787.5,1
2025-12-31,1508.0,1508.0,1477.0,1495.0,-0.86,401.0,593525.6,-1
2026-01-01,1524.0,1524.0,1470.0,1491.0,-2.17,633.0,938452.4,-1
2026-01-04,1480.0,1495.0,1475.0,1494.8,1.0,474.0,703966.6,1
2026-01-05,1480.1,1499.0,1480.0,1499.0,1.28,951.0,1416591.9,1
2026-01-06,1483.0,1519.0,1483.0,1519.0,2.43,1132.0,1698729.8,1
2026-01-07,1547.0,1547.0,1493.3,1510.0,-2.39,800.0,1204427.3,-1
2026-01-08,1490.0,1500.0,1481.0,1499.9,0.66,737.0,1096190.5,1
2026-01-12,1485.0,1492.0,1480.1,1482.0,-0.2,541.0,803009.7,-1
2026-01-13,1482.0,1504.0,1476.0,1500.0,1.21,3299.0,4941313.2,1
2026-01-14,1481.3,1507.0,1481.3,1507.0,1.73,1025.0,1526790.7,1
2026-01-18,1520.0,1537.0,1505.0,1534.8,0.97,4442.0,6771914.4,1
2026-01-20,1558.0,1558.0,1530.0,1557.9,-0.01,8058.0,12417720.8,-1
2026-01-21,1585.5,1585.5,1526.8,1565.0,-1.29,872.0,1358140.0,-1
2026-01-22,1591.0,1591.0,1550.0,1570.0,-1.32,2672.0,4228645.0,-1
2026-01-25,1594.0,1600.0,1540.1,1600.0,0.38,2757.0,4363153.3,1
2026-01-26,1625.0,1625.0,1568.0,1580.0,-2.77,2053.0,3240191.8,-1
2026-01-27,1580.0,1580.0,1548.0,1568.0,-0.76,2685.0,4176541.2,-1
2026-01-28,1540.0,1564.0,1540.0,1564.0,1.56,503.0,780076.2,1
2026-01-29,1535.0,1550.0,1520.0,1539.0,0.26,2363.0,3609620.7,1
2026-02-01,1509.0,1536.0,1500.0,1505.0,-0.27,2068.0,3120092.9,-1
2026-02-02,1501.0,1525.0,1475.0,1525.0,1.6,1967.0,2923206.1,1
2026-02-03,1548.9,1549.0,1494.5,1516.0,-2.12,645.0,976360.1,-1
2026-02-04,1533.0,1533.0,1490.0,1516.0,-1.11,1061.0,1598692.9,-1
2026-02-05,1529.9,1539.0,1500.0,1529.9,0.0,2112.0,3196424.0,0
2026-02-08,1559.0,1559.0,1475.0,1526.9,-2.06,2236.0,3365630.7,-1
2026-02-09,1530.0,1539.0,1513.0,1524.0,-0.39,1742.0,2644417.3,-1
2026-02-10,1524.0,1547.3,1513.0,1523.0,-0.07,3744.0,5677517.3,-1
2026-02-11,1550.0,1550.0,1500.4,1528.0,-1.42,2698.0,4085217.8,-1
2026-02-12,1500.0,1520.0,1500.0,1519.0,1.27,647.0,975723.8,1
2026-02-16,1519.0,1535.0,1505.3,1528.0,0.59,754.0,1146636.6,1
2026-02-17,1500.0,1519.0,1500.0,1515.0,1.0,894.0,1344392.9,1
2026-02-22,1505.0,1529.0,1495.0,1500.0,-0.33,1459.0,2194774.6,-1
2026-02-23,1500.0,1505.0,1490.0,1500.0,0.0,1507.0,2259874.8,0
2026-02-24,1485.0,1515.0,1485.0,1514.5,1.99,710.0,1068466.4,1
2026-02-25,1510.0,1529.0,1505.0,1529.0,1.26,1977.0,3008424.7,1
2026-02-26,1503.0,1545.3,1503.0,1545.3,2.81,1733.0,2665190.5,1
2026-03-01,1514.4,1553.9,1514.4,1541.0,1.76,1407.0,2168728.7,1
2026-03-03,1560.0,1560.0,1530.0,1545.0,-0.96,448.0,687670.1,-1
2026-03-09,1575.9,1607.4,1575.9,1607.4,2.0,20.0,31833.0,1
2026-03-10,1639.5,1671.0,1575.0,1600.0,-2.41,3505.0,5631021.5,-1
2026-03-11,1625.0,1625.0,1581.3,1598.0,-1.66,677.0,1084747.6,-1
2026-03-12,1625.0,1625.0,1570.0,1597.0,-1.72,1652.0,2614995.9,-1
2026-03-15,1625.0,1625.0,1578.0,1595.0,-1.85,2420.0,3854651.0,-1
2026-03-16,1619.8,1619.8,1547.0,1589.4,-1.88,8783.0,13646127.0,-1
2026-03-17,1590.0,1590.0,1550.0,1575.0,-0.94,370.0,579116.8,-1
2026-03-19,1599.0,1600.0,1556.5,1600.0,0.06,3322.0,5281554.8,1
2026-03-22,1631.9,1658.0,1586.0,1645.0,0.8,5236.0,8553310.4,1
2026-03-23,1677.9,1677.9,1620.0,1649.9,-1.67,3125.0,5129153.1,-1
2026-03-24,1682.0,1682.0,1617.0,1637.9,-2.62,1460.0,2377598.3,-1
2026-03-25,1665.0,1665.0,1569.0,1600.0,-3.9,2503.0,3975212.3,-1
2026-03-26,1623.0,1630.0,1591.2,1605.0,-1.11,2514.0,4045205.9,-1
2026-03-29,1637.0,1637.1,1572.4,1589.0,-2.93,2431.0,3854389.5,-1
2026-03-30,1619.0,1619.0,1552.4,1600.0,-1.17,1588.0,2492021.3,-1
2026-03-31,1570.2,1610.0,1560.2,1600.0,1.9,3028.0,4798140.3,1
2026-04-01,1568.2,1598.9,1553.2,1577.0,0.56,436.0,682464.4,1
2026-04-02,1570.0,1590.0,1551.0,1585.0,0.96,2049.0,3227701.7,1
2026-04-05,1575.0,1580.0,1507.0,1537.0,-2.41,5377.0,8276562.6,-1
2026-04-06,1560.0,1580.0,1507.0,1548.4,-0.74,3358.0,5222123.5,-1
2026-04-07,1570.0,1570.0,1538.6,1570.0,0.0,2372.0,3698584.2,0
2026-04-08,1595.0,1595.0,1539.0,1575.0,-1.25,1502.0,2346756.4,-1
2026-04-09,1600.0,1600.0,1550.0,1594.0,-0.38,1404.0,2220606.1,-1
2026-04-10,1620.0,1620.0,1546.0,1572.0,-2.96,493.0,772457.1,-1
2026-04-13,1550.1,1579.9,1550.1,1579.9,1.92,565.0,878779.0,1
2026-04-15,1555.0,1600.0,1555.0,1599.0,2.83,740.0,1176913.6,1
2026-04-16,1570.1,1579.0,1567.0,1579.0,0.57,1400.0,2196711.6,1
2026-04-17,1555.0,1569.0,1552.0,1554.0,-0.06,1149.0,1793432.5,-1
2026-04-20,1530.0,1598.9,1520.0,1548.9,1.24,1560.0,2390946.2,1
2026-04-21,1530.0,1550.1,1515.9,1539.0,0.59,1464.0,2228758.3,1
2026-04-22,1520.0,1548.0,1494.0,1548.0,1.84,1156.0,1747933.4,1
2026-04-23,1561.0,1561.0,1521.0,1550.0,-0.7,785.0,1199578.3,-1
2026-04-24,1588.0,1588.0,1503.5,1538.0,-3.15,1226.0,1872724.5,-1
2026-04-27,1538.0,1569.9,1505.1,1569.9,2.07,545.0,836663.7,1
2026-04-28,1569.9,1558.0,1530.0,1558.0,-0.76,940.0,1450032.1,-1
2026-04-29,1558.0,1540.0,1515.0,1539.8,-1.17,1185.0,1816814.0,-1
2026-04-30,1510.0,1540.0,1510.0,1538.0,1.85,1253.0,1894798.0,1
2026-05-04,1510.0,1538.0,1510.0,1530.0,1.32,3893.0,5913682.6,1
2026-05-05,1510.0,1545.0,1502.3,1534.9,1.65,1076.0,1646017.3,1
2026-05-06,1514.1,1543.0,1514.1,1539.0,1.64,143.0,219111.0,1
2026-05-07,1515.0,1560.0,1514.0,1538.0,1.52,649.0,992430.0,1
2026-05-08,1512.0,1538.0,1512.0,1537.0,1.65,297.0,453911.0,1
2026-05-11,1550.0,1599.9,1532.5,1568.9,1.22,1947.0,3013854.9,1
2026-05-12,1537.0,1544.0,1537.0,1544.0,0.46,285.0,439084.0,1
2026-05-13,1520.0,1545.0,1520.0,1525.0,0.33,742.0,1136925.5,1
2026-05-14,1525.0,1540.0,1514.0,1540.0,0.98,455.0,695389.2,1
2026-05-15,1520.0,1536.0,1513.0,1533.0,0.86,859.0,1310715.8,1
2026-05-18,1513.0,1525.0,1513.0,1516.0,0.2,296.0,449267.8,1
2026-05-19,1508.4,1529.0,1508.3,1528.0,1.3,494.0,747165.7,1
2026-05-20,1510.0,1536.0,1510.0,1536.0,1.72,259.0,394758.6,1
2026-05-21,1507.0,1524.9,1507.0,1524.9,1.19,133.0,201747.1,1
2026-05-22,1512.0,1524.0,1505.0,1524.0,0.79,703.0,1069705.1,1
2026-05-25,1535.1,1569.0,1535.0,1550.0,0.97,1243.0,1927103.2,1
2026-05-26,1540.0,1557.0,1539.9,1557.0,1.1,1766.0,2725335.0,1
2026-05-27,1565.0,1565.0,1532.0,1563.0,-0.13,386.0,594677.6,-1
2026-06-01,1526.1,1560.0,1525.3,1560.0,2.22,236.0,361573.5,1
2026-06-02,1525.0,1576.9,1525.0,1575.0,3.28,255.0,395456.0,1
2026-06-03,1532.0,1568.9,1525.0,1540.0,0.52,1108.0,1697775.7,1
2026-06-04,1530.0,1535.0,1528.1,1535.0,0.33,47.0,71938.1,1
2026-06-05,1550.0,1550.0,1526.4,1540.0,-0.65,351.0,541139.4,-1
2026-06-08,1540.0,1548.0,1525.2,1548.0,0.52,850.0,1306660.9,1
2026-06-09,1525.1,1564.0,1525.1,1564.0,2.55,1841.0,2841857.5,1
2026-06-10,1567.0,1567.0,1530.1,1555.0,-0.77,153.0,235738.5,-1
2026-06-11,1550.0,1560.0,1550.0,1550.1,0.01,1910.0,2965557.1,1
2026-06-12,1568.0,1585.0,1546.1,1560.0,-0.51,1419.0,2237717.5,-1
2026-06-15,1550.0,1560.0,1528.2,1555.0,0.32,1080.0,1669730.8,1
2026-06-16,1526.1,1560.0,1520.1,1559.9,2.21,363.0,562284.6,1
