published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-11-21,253.00,252.00,247.00,251.00,0.00,1680.00,421170.00,0
2017-11-22,251.00,264.00,254.00,254.00,0.00,580.00,149730.00,0
2017-11-23,254.00,259.00,251.00,252.00,0.00,420.00,106030.00,0
2017-11-26,252.00,277.00,251.00,265.00,0.00,1430.00,374900.00,0
2017-11-27,265.00,271.00,254.00,265.00,0.00,2928.00,776420.00,0
2017-11-28,265.00,265.00,260.00,265.00,0.00,376.00,98410.00,0
2017-11-29,265.00,270.00,260.00,260.00,0.00,1820.00,486270.00,0
2017-11-30,260.00,264.00,259.00,261.00,0.00,2930.00,763880.00,0
2017-12-04,261.00,261.00,252.00,255.00,0.00,600.00,153420.00,0
2017-12-05,255.00,254.00,251.00,253.00,0.00,420.00,106220.00,0
2017-12-06,253.00,255.00,249.00,255.00,0.00,430.00,108220.00,0
2017-12-10,255.00,251.00,250.00,250.00,0.00,2287.00,572130.00,0
2017-12-11,250.00,249.00,245.00,245.00,0.00,240.00,58980.00,0
2017-12-12,245.00,253.00,241.00,253.00,0.00,160.00,38950.00,0
2017-12-13,253.00,255.00,242.00,246.00,0.00,843.00,206545.00,0
2017-12-14,246.00,242.00,240.00,240.00,0.00,70.00,16830.00,0
2017-12-17,240.00,242.00,236.00,240.00,0.00,220.00,52540.00,0
2017-12-18,240.00,241.00,235.00,235.00,0.00,110.00,25980.00,0
2017-12-19,235.00,236.00,232.00,232.00,0.00,210.00,49240.00,0
2017-12-20,232.00,232.00,228.00,229.00,0.00,500.00,115660.00,0
2017-12-21,229.00,229.00,226.00,226.00,0.00,240.00,54310.00,0
2017-12-24,226.00,227.00,218.00,221.00,0.00,1195.00,263165.00,0
2017-12-26,221.00,217.00,213.00,215.00,0.00,1570.00,336890.00,0
2017-12-27,215.00,211.00,203.00,207.00,0.00,100.00,20610.00,0
2017-12-28,207.00,207.00,203.00,206.00,0.00,280.00,57550.00,0
2017-12-31,206.00,215.00,200.00,211.00,0.00,940.00,198530.00,0
2018-01-01,211.00,217.00,211.00,217.00,0.00,80.00,17150.00,0
2018-01-02,217.00,221.00,213.00,218.00,0.00,130.00,28400.00,0
2018-01-03,218.00,216.00,214.00,216.00,0.00,40.00,8610.00,0
2018-01-04,216.00,217.00,212.00,217.00,0.00,50.00,10670.00,0
2018-01-07,217.00,220.00,216.00,220.00,0.00,160.00,35160.00,0
2018-01-08,220.00,229.00,220.00,229.00,0.00,270.00,60960.00,0
2018-01-09,229.00,229.00,227.00,229.00,0.00,110.00,25080.00,0
2018-01-10,229.00,229.00,221.00,229.00,0.00,90.00,20220.00,0
2018-01-14,229.00,230.00,222.00,222.00,0.00,90.00,20100.00,0
2018-01-16,222.00,218.00,215.00,215.00,0.00,90.00,19420.00,0
2018-01-17,215.00,219.00,213.00,216.00,0.00,423.00,92247.00,0
2018-01-21,216.00,218.00,212.00,215.00,0.00,220.00,47410.00,0
2018-01-22,215.00,218.00,211.00,216.00,0.00,120.00,25910.00,0
2018-01-23,216.00,214.00,212.00,213.00,0.00,110.00,23410.00,0
2018-01-24,213.00,220.00,214.00,220.00,0.00,340.00,74270.00,0
2018-01-25,220.00,220.00,216.00,216.00,0.00,90.00,19550.00,0
2018-01-28,216.00,215.00,212.00,215.00,0.00,100.00,21350.00,0
2018-01-29,215.00,218.00,213.00,215.00,0.00,250.00,53850.00,0
2018-01-31,215.00,213.00,208.00,210.00,0.00,160.00,33860.00,0
2018-02-01,210.00,207.00,206.00,207.00,0.00,70.00,14480.00,0
2018-02-04,207.00,209.00,207.00,207.00,0.00,300.00,62310.00,0
2018-02-05,207.00,206.00,204.00,204.00,0.00,70.00,14300.00,0
2018-02-06,204.00,204.00,204.00,204.00,0.00,40.00,8160.00,0
2018-02-07,204.00,208.00,204.00,207.00,0.00,880.00,179800.00,0
2018-02-08,207.00,209.00,202.00,207.00,0.00,70.00,14350.00,0
2018-02-11,207.00,211.00,208.00,211.00,0.00,140.00,29400.00,0
2018-02-12,211.00,208.00,208.00,208.00,0.00,30.00,6240.00,0
2018-02-14,208.00,215.00,200.00,215.00,0.00,330.00,69390.00,0
2018-02-15,215.00,222.00,216.00,218.00,0.00,190.00,41580.00,0
2018-02-18,222.00,222.00,211.00,211.00,-3.21,520.00,112990.00,-1
2018-02-20,210.00,214.00,210.00,212.00,0.47,130.00,27570.00,1
2018-02-21,208.00,214.00,208.00,214.00,0.94,100.00,20950.00,1
2018-02-22,210.00,214.00,210.00,213.00,-0.47,540.00,115310.00,-1
2018-02-25,210.00,210.00,203.00,210.00,-1.41,160.00,33470.00,-1
2018-02-26,213.00,213.00,205.00,206.00,-1.90,50.00,10460.00,-1
2018-02-27,206.00,206.00,206.00,206.00,0.00,10.00,2060.00,0
2018-02-28,202.00,205.00,202.00,203.00,-1.46,70.00,14180.00,-1
2018-03-04,199.00,199.00,196.00,196.00,-3.45,170.00,33700.00,-1
2018-03-06,199.00,199.00,187.00,190.00,-3.06,220.00,42580.00,-1
2018-03-07,187.00,196.00,184.00,196.00,3.16,70.00,13270.00,1
2018-03-11,194.00,197.00,194.00,194.00,-1.02,1866.00,364304.00,-1
2018-03-12,197.00,198.00,194.00,198.00,2.06,130.00,25640.00,1
2018-03-13,199.00,199.00,199.00,199.00,0.51,10.00,1990.00,1
2018-03-14,199.00,199.00,199.00,199.00,0.00,10.00,1990.00,0
2018-03-15,196.00,196.00,195.00,195.00,-2.01,40.00,7810.00,-1
2018-03-18,192.00,196.00,189.00,189.00,-3.08,110.00,21130.00,-1
2018-03-19,186.00,187.00,186.00,186.00,-1.59,80.00,14890.00,-1
2018-03-20,183.00,184.00,180.00,180.00,-3.23,80.00,14640.00,-1
2018-03-21,180.00,180.00,177.00,180.00,0.00,80.00,14340.00,0
2018-03-22,177.00,180.00,177.00,180.00,0.00,70.00,12570.00,0
2018-03-26,180.00,180.00,177.00,180.00,0.00,30.00,5370.00,0
2018-03-27,177.00,180.00,174.00,180.00,0.00,70.00,12340.00,0
2018-03-28,180.00,180.00,180.00,180.00,0.00,30.00,5400.00,0
2018-03-29,180.00,183.00,180.00,183.00,1.67,170.00,30990.00,1
2018-04-01,183.00,192.00,183.00,189.00,3.28,280.00,52210.00,1
2018-04-02,186.00,189.00,185.00,189.00,0.00,70.00,13090.00,0
2018-04-03,192.00,192.00,190.00,192.00,1.59,160.00,30640.00,1
2018-04-04,195.00,195.00,192.00,195.00,1.56,60.00,11630.00,1
2018-04-05,192.00,196.00,189.00,191.00,-2.05,150.00,28840.00,-1
2018-04-08,188.00,193.00,188.00,193.00,1.05,180.00,34330.00,1
2018-04-09,192.00,198.00,189.00,189.00,-2.07,710.00,135240.00,-1
2018-04-10,186.00,190.00,184.00,190.00,0.53,280.00,51900.00,1
2018-04-11,192.00,202.00,192.00,202.00,6.32,250.00,49070.00,1
2018-04-12,199.00,200.00,195.00,195.00,-3.47,350.00,68840.00,-1
2018-04-15,192.00,192.00,189.00,190.00,-2.56,80.00,15250.00,-1
2018-04-16,190.00,191.00,188.00,189.00,-0.53,190.00,35990.00,-1
2018-04-17,190.00,199.00,190.00,195.00,3.17,100.00,19490.00,1
2018-04-18,192.00,208.00,190.00,204.00,4.62,140.00,27710.00,1
2018-04-19,204.00,214.00,202.00,214.00,4.90,250.00,51920.00,1
2018-04-22,218.00,218.00,210.00,210.00,-1.87,100.00,21160.00,-1
2018-04-23,214.00,215.00,206.00,210.00,0.00,180.00,37900.00,0
2018-04-24,208.00,208.00,204.00,205.00,-2.38,540.00,111250.00,-1
2018-04-25,201.00,205.00,201.00,201.00,-1.95,190.00,38280.00,-1
2018-04-26,197.00,197.00,195.00,196.00,-2.49,200.00,39200.00,-1
2018-04-29,193.00,195.00,193.00,195.00,-0.51,60.00,11640.00,-1
