published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.38,8.38,8.38,8.38,0.0,1400.0,11732.0,0
2025-12-09,8.39,8.53,8.39,8.53,1.67,2200.0,18524.0,1
2025-12-10,8.36,8.7,8.36,8.69,3.95,10400.0,90149.0,1
2025-12-11,8.69,8.69,8.69,8.69,0.0,100.0,869.0,0
2025-12-14,8.6,8.65,8.6,8.6,0.0,12500.0,107570.0,0
2025-12-15,8.5,8.6,8.5,8.6,1.18,5450.0,46825.0,1
2025-12-16,8.5,8.72,8.5,8.71,2.47,14710.0,127984.0,1
2025-12-17,8.54,8.76,8.54,8.65,1.29,9900.0,85928.0,1
2025-12-18,8.6,8.64,8.6,8.6,0.0,800.0,6884.0,0
2025-12-21,8.51,8.75,8.5,8.6,1.06,13560.0,117797.05,1
2025-12-22,8.5,8.68,8.5,8.55,0.59,1600.0,13728.0,1
2025-12-23,8.4,8.65,8.4,8.5,1.19,6400.0,55274.0,1
2025-12-24,8.5,8.51,8.33,8.51,0.12,10700.0,89737.0,1
2025-12-28,8.68,8.68,8.51,8.54,-1.61,4340.0,37370.2,-1
2025-12-29,8.7,8.7,8.53,8.7,0.0,1200.0,10383.0,0
2025-12-31,8.53,9.04,8.41,9.0,5.51,55275.0,493453.0,1
2026-01-01,8.82,8.99,8.82,8.84,0.23,10270.0,91609.8,1
2026-01-04,8.8,8.84,8.69,8.69,-1.25,2500.0,22077.0,-1
2026-01-05,8.86,8.86,8.8,8.8,-0.68,2430.0,21504.0,-1
2026-01-06,8.97,9.1,8.91,8.91,-0.67,34965.0,313869.6,-1
2026-01-07,8.8,9.2,8.8,9.02,2.5,118805.0,1088244.0,1
2026-01-08,8.88,9.05,8.88,8.97,1.01,1425.0,12866.85,1
2026-01-12,8.97,9.0,8.9,8.9,-0.78,2500.0,22346.0,-1
2026-01-13,9.05,9.07,8.95,8.96,-0.99,13900.0,125680.0,-1
2026-01-14,8.82,9.01,8.67,9.01,2.15,4890.0,43357.9,1
2026-01-18,8.83,9.07,8.83,9.07,2.72,1700.0,15279.0,1
2026-01-20,8.89,9.06,8.88,9.06,1.91,3790.0,34185.0,1
2026-01-21,8.88,9.05,8.81,8.81,-0.79,2100.0,18650.0,-1
2026-01-22,8.98,9.07,8.76,8.9,-0.89,17000.0,151779.0,-1
2026-01-25,9.06,9.06,8.91,8.95,-1.21,3300.0,29470.0,-1
2026-01-26,8.9,9.1,8.9,9.01,1.24,10460.0,94356.8,1
2026-01-27,9.0,9.26,8.91,9.26,2.89,113500.0,1038548.2,1
2026-01-28,9.15,9.44,9.0,9.25,1.09,105572.0,977510.8,1
2026-01-29,9.2,9.2,9.03,9.06,-1.52,18480.0,167647.4,-1
2026-02-01,8.94,9.65,8.94,9.65,7.94,238210.0,2243452.84,1
2026-02-02,9.46,9.46,9.28,9.3,-1.69,59000.0,556894.0,-1
2026-02-03,9.12,9.3,9.12,9.12,0.0,3950.0,36129.0,0
2026-02-04,9.02,9.66,9.02,9.2,2.0,12500.0,117728.0,1
2026-02-05,9.1,9.65,9.1,9.65,6.04,173805.0,1635910.75,1
2026-02-08,9.46,9.64,8.74,9.63,1.8,47800.0,437456.0,1
2026-02-09,9.44,9.82,9.31,9.82,4.03,4177.0,40238.23,1
2026-02-10,9.63,10.21,9.4,10.21,6.02,12680.0,125731.8,1
2026-02-11,10.21,11.03,9.8,9.8,-4.02,50800.0,534812.0,-1
2026-02-12,9.7,9.7,9.51,9.52,-1.86,3050.0,29349.0,-1
2026-02-16,9.33,9.33,9.33,9.33,0.0,900.0,8397.0,0
2026-02-17,9.15,9.5,8.46,9.5,3.83,71300.0,611652.0,1
2026-02-22,9.31,9.88,9.31,9.88,6.12,3460.0,33191.5,1
2026-02-23,10.0,10.86,9.51,9.65,-3.5,87150.0,916266.0,-1
2026-02-24,9.46,9.46,9.28,9.46,0.0,400.0,3766.0,0
2026-02-25,9.29,9.29,9.28,9.28,-0.11,200.0,1857.0,-1
2026-02-26,9.28,9.3,9.12,9.16,-1.29,1131.0,10438.3,-1
2026-03-01,8.98,9.71,8.24,9.71,8.13,33000.0,280519.0,1
2026-03-03,9.65,9.9,9.42,9.9,2.59,21540.0,209642.15,1
2026-03-10,10.09,10.3,9.34,10.3,2.08,13350.0,133155.0,1
2026-03-11,10.1,10.92,9.71,9.9,-1.98,45285.0,479974.0,-1
2026-03-12,9.9,9.9,9.52,9.55,-3.54,8110.0,78098.2,-1
2026-03-15,9.37,9.55,9.37,9.39,0.21,16708.0,156954.96,1
2026-03-16,9.44,9.44,9.23,9.43,-0.11,23490.0,219565.6,-1
2026-03-17,9.43,9.46,9.25,9.46,0.32,19290.0,181940.6,1
