published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.29,8.45,8.29,8.34,0.6,3845.0,32109.3,1
2025-12-09,8.34,8.34,8.3,8.32,-0.24,1900.0,15822.0,-1
2025-12-10,8.18,8.46,8.18,8.4,2.69,15400.0,129349.0,1
2025-12-11,8.3,8.4,8.21,8.4,1.2,10400.0,87014.0,1
2025-12-14,8.3,8.55,8.3,8.33,0.36,6535.0,54741.5,1
2025-12-15,8.26,8.49,8.26,8.35,1.09,5794.0,48306.56,1
2025-12-16,8.2,8.5,8.2,8.37,2.07,900.0,7515.0,1
2025-12-17,8.31,8.51,8.31,8.4,1.08,50336.0,426879.43,1
2025-12-18,8.36,8.53,8.36,8.4,0.48,7159.0,60676.0,1
2025-12-21,8.39,8.5,8.39,8.5,1.31,1700.0,14366.0,1
2025-12-22,8.5,8.59,8.24,8.33,-2.0,19265.0,162657.8,-1
2025-12-23,8.19,8.32,8.19,8.32,1.59,2200.0,18251.0,1
2025-12-24,8.18,8.49,8.18,8.48,3.67,5150.0,43317.5,1
2025-12-28,8.35,8.57,8.35,8.42,0.84,9921.0,83700.71,1
2025-12-29,8.31,8.57,8.31,8.46,1.81,87690.0,742702.4,1
2025-12-31,8.35,8.79,8.35,8.6,2.99,109250.0,939844.25,1
2026-01-01,8.6,8.76,8.53,8.6,0.0,15649.0,135358.61,0
2026-01-04,8.51,8.65,8.5,8.65,1.65,47510.0,409962.5,1
2026-01-05,8.48,8.63,8.48,8.62,1.65,34550.0,297474.3,1
2026-01-06,8.6,8.78,8.6,8.66,0.7,25150.0,217293.5,1
2026-01-07,8.6,8.76,8.6,8.6,0.0,6145.0,52965.0,0
2026-01-08,8.6,8.7,8.6,8.65,0.58,1700.0,14706.0,1
2026-01-12,8.5,8.75,8.5,8.62,1.41,8750.0,75767.5,1
2026-01-13,8.6,8.75,8.6,8.75,1.74,8300.0,72064.0,1
2026-01-14,8.6,8.68,8.55,8.68,0.93,217038.0,1878041.5,1
2026-01-18,8.68,8.8,8.68,8.7,0.23,215770.0,1897227.68,1
2026-01-20,8.87,9.0,8.7,8.8,-0.79,218320.0,1962157.0,-1
2026-01-21,8.65,8.82,8.61,8.75,1.16,50640.0,441583.7,1
2026-01-22,8.61,8.7,8.61,8.64,0.35,4210.0,36441.4,1
2026-01-25,8.52,8.98,8.52,8.81,3.4,47621.0,421302.58,1
2026-01-26,8.85,9.13,8.68,8.98,1.47,171833.0,1558132.76,1
2026-01-27,8.85,9.15,8.85,9.15,3.39,103800.0,948824.0,1
2026-01-28,8.97,9.3,8.8,9.2,2.56,11070.0,101525.5,1
2026-01-29,9.02,9.1,8.92,8.92,-1.11,15840.0,142602.5,-1
2026-02-01,8.85,9.24,8.56,8.73,-1.36,918100.0,8095460.0,-1
2026-02-02,8.9,9.24,8.73,9.06,1.8,191671.0,1746312.6,1
2026-02-03,8.88,9.41,8.88,9.23,3.94,174697.0,1617565.41,1
2026-02-04,9.41,9.41,9.2,9.37,-0.43,508700.0,4688333.21,-1
2026-02-05,9.55,9.55,9.1,9.15,-4.19,8800.0,81125.0,-1
2026-02-08,9.33,9.33,9.11,9.11,-2.36,6300.0,57850.0,-1
2026-02-09,8.97,9.29,8.97,9.22,2.79,2500.0,22897.0,1
2026-02-10,9.4,9.4,9.05,9.28,-1.28,6000.0,55471.0,-1
2026-02-11,9.46,9.46,9.0,9.09,-3.91,3700.0,33930.0,-1
2026-02-12,9.27,9.45,9.09,9.26,-0.11,2900.0,26864.0,-1
2026-02-16,9.26,9.4,9.05,9.23,-0.32,6300.0,57590.0,-1
2026-02-17,9.41,9.41,8.94,9.12,-3.08,5250.0,48066.5,-1
2026-02-22,9.3,9.3,9.02,9.2,-1.08,3112.0,28267.52,-1
2026-02-23,9.3,9.3,8.91,9.25,-0.54,10960.0,98955.0,-1
2026-02-24,9.43,9.43,8.81,9.25,-1.91,26780.0,240434.3,-1
2026-02-25,9.3,9.3,9.08,9.13,-1.83,5743.0,52846.79,-1
2026-02-26,9.3,9.3,9.0,9.05,-2.69,1800.0,16448.0,-1
2026-03-01,9.2,9.37,9.05,9.28,0.87,7012.0,64412.2,1
2026-03-03,9.11,9.2,9.11,9.2,0.99,6088.0,55536.56,1
2026-03-09,9.38,9.38,9.38,9.38,0.0,100.0,938.0,0
2026-03-10,9.56,9.56,9.12,9.36,-2.09,6600.0,61748.0,-1
2026-03-11,9.54,9.54,9.2,9.47,-0.73,16720.0,155648.4,-1
2026-03-12,9.65,9.79,9.35,9.6,-0.52,213600.0,2046067.08,-1
2026-03-15,9.5,9.87,9.29,9.32,-1.89,15010.0,141441.0,-1
2026-03-16,9.5,9.5,9.22,9.22,-2.95,3900.0,36709.0,-1
