published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.33,8.5,8.19,8.28,-0.6,24400.0,203379.32,-1
2025-12-09,8.3,8.44,8.3,8.36,0.72,2700.0,22660.0,1
2025-12-10,8.36,8.51,8.26,8.33,-0.36,8200.0,69518.0,-1
2025-12-11,8.4,8.49,8.24,8.39,-0.12,14400.0,120905.75,-1
2025-12-14,8.29,8.55,8.29,8.35,0.72,18800.0,158325.0,1
2025-12-15,8.35,8.51,8.28,8.46,1.32,4365.0,36320.35,1
2025-12-16,8.3,8.44,8.28,8.38,0.96,5100.0,42362.0,1
2025-12-17,8.27,8.44,8.27,8.34,0.85,20560.0,173042.4,1
2025-12-18,8.23,8.42,8.23,8.34,1.34,3100.0,25844.0,1
2025-12-21,8.25,8.5,8.25,8.44,2.3,37500.0,314029.0,1
2025-12-22,8.44,8.6,8.44,8.6,1.9,11448.0,97660.0,1
2025-12-23,8.49,8.5,8.49,8.5,0.12,2900.0,24625.0,1
2025-12-24,8.49,8.49,8.42,8.42,-0.82,1000.0,8446.25,-1
2025-12-28,8.31,8.45,8.31,8.42,1.32,5050.0,42261.5,1
2025-12-29,8.42,8.58,8.42,8.58,1.9,21196.0,181040.68,1
2025-12-31,8.46,8.69,8.46,8.56,1.18,3330.0,28681.7,1
2026-01-01,8.6,8.72,8.44,8.61,0.12,70000.0,597358.0,1
2026-01-04,8.46,8.65,8.46,8.65,2.25,1200.0,10259.0,1
2026-01-05,8.65,8.68,8.5,8.67,0.23,2050.0,17698.0,1
2026-01-06,8.5,8.7,8.4,8.7,2.35,11950.0,103369.0,1
2026-01-07,8.53,8.8,8.53,8.64,1.29,15840.0,138156.5,1
2026-01-08,8.65,8.78,8.63,8.63,-0.23,13890.0,121191.1,-1
2026-01-12,8.5,8.77,8.5,8.5,0.0,1800.0,15495.0,0
2026-01-13,8.41,8.62,8.41,8.57,1.9,6280.0,53843.6,1
2026-01-14,8.41,8.6,8.41,8.6,2.26,1650.0,13979.0,1
2026-01-18,8.45,8.69,8.45,8.68,2.72,23400.0,201892.0,1
2026-01-20,8.85,8.85,8.7,8.85,0.0,42208.0,371874.44,0
2026-01-21,8.68,8.85,8.62,8.64,-0.46,6750.0,58875.5,-1
2026-01-22,8.5,8.81,8.5,8.7,2.35,30600.0,268024.5,1
2026-01-25,8.86,9.07,8.86,8.95,1.02,174727.0,1571179.09,1
2026-01-26,8.78,9.0,8.78,8.93,1.71,91850.0,819968.5,1
2026-01-27,8.85,9.42,8.85,9.1,2.82,103920.0,958514.6,1
2026-01-28,9.2,9.3,9.08,9.23,0.33,187531.0,1738547.48,1
2026-01-29,9.05,9.59,9.05,9.4,3.87,123910.0,1167875.9,1
2026-02-01,9.22,9.4,9.11,9.11,-1.19,8825.0,81684.54,-1
2026-02-02,8.95,9.18,8.95,9.18,2.57,2860.0,25917.8,1
2026-02-03,9.36,9.54,9.02,9.54,1.92,68214.0,643219.17,1
2026-02-04,9.73,9.73,9.05,9.33,-4.11,10900.0,101079.0,-1
2026-02-05,9.51,9.8,8.95,9.8,3.05,129092.0,1226367.07,1
2026-02-08,9.61,9.8,9.25,9.25,-3.75,25400.0,239906.0,-1
2026-02-09,9.1,9.29,9.07,9.29,2.09,2150.0,19745.5,1
2026-02-10,9.29,9.31,9.13,9.31,0.22,2000.0,18529.0,1
2026-02-11,9.13,9.31,9.02,9.15,0.22,5240.0,47705.0,1
2026-02-12,9.2,9.3,9.12,9.15,-0.54,10315.0,94738.5,-1
2026-02-16,9.02,9.17,9.02,9.08,0.67,4470.0,40461.4,1
2026-02-17,8.91,9.26,8.17,9.26,3.93,40600.0,345184.0,1
2026-02-22,9.26,9.57,9.23,9.57,3.35,27455.0,259246.65,1
2026-02-23,9.74,10.52,9.02,9.11,-6.47,43330.0,432610.7,-1
2026-02-24,9.02,9.2,9.02,9.03,0.11,4400.0,39912.0,1
2026-02-25,8.85,9.21,8.85,9.03,2.03,4360.0,39372.3,1
2026-02-26,9.0,9.21,9.0,9.04,0.44,3650.0,33485.0,1
2026-03-01,8.94,9.22,8.91,9.22,3.13,9390.0,85697.3,1
2026-03-03,9.05,9.25,9.05,9.11,0.66,2500.0,22955.5,1
