published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1079.0,1090.0,1079.0,1090.0,1.02,250.0,271475.0,1
2025-12-09,1095.0,1096.0,1091.0,1091.0,-0.37,125.0,136725.0,-1
2025-12-10,1091.1,1101.0,1091.1,1101.0,0.91,225.0,247477.5,1
2025-12-14,1099.0,1099.0,1086.0,1086.0,-1.18,1215.0,1334960.0,-1
2025-12-15,1070.0,1090.0,1070.0,1090.0,1.87,105.0,113475.0,1
2025-12-17,1073.0,1073.0,1073.0,1073.0,0.0,35.0,37555.0,0
2025-12-18,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0
2025-12-21,1061.0,1082.2,1061.0,1082.0,1.98,100.0,107685.0,1
2025-12-22,1090.1,1092.2,1090.1,1090.1,0.0,300.0,327082.5,0
2025-12-23,1075.0,1090.0,1075.0,1090.0,1.4,125.0,134750.0,1
2025-12-24,1100.0,1100.0,1100.0,1100.0,0.0,125.0,137500.0,0
2025-12-28,1080.0,1080.0,1080.0,1080.0,0.0,25.0,27000.0,0
2025-12-29,1098.0,1101.6,1098.0,1101.0,0.27,610.0,671826.0,1
2025-12-31,1079.0,1079.0,1071.0,1071.0,-0.74,50.0,53790.0,-1
2026-01-01,1090.0,1090.0,1081.0,1081.0,-0.83,100.0,108550.0,-1
2026-01-04,1085.0,1102.6,1070.0,1102.6,1.62,151.0,165087.5,1
2026-01-07,1081.0,1081.0,1081.0,1081.0,0.0,10.0,10810.0,0
2026-01-08,1080.0,1080.0,1072.0,1072.0,-0.74,50.0,53800.0,-1
2026-01-12,1073.1,1093.0,1073.0,1073.3,0.02,105.0,113276.0,1
2026-01-13,1073.3,1094.0,1073.3,1094.0,1.93,75.0,81472.5,1
2026-01-14,1073.1,1073.4,1073.1,1073.4,0.03,50.0,53662.5,1
2026-01-18,1055.0,1055.0,1043.0,1043.0,-1.14,300.0,313830.0,-1
2026-01-20,1048.0,1058.0,1048.0,1055.1,0.68,1075.0,1135267.5,1
2026-01-21,1056.0,1056.0,1056.0,1056.0,0.0,25.0,26400.0,0
2026-01-22,1055.0,1060.0,1055.0,1060.0,0.47,120.0,126700.0,1
2026-01-25,1071.0,1071.0,1060.0,1060.0,-1.03,1015.0,1086790.0,-1
2026-01-26,1041.1,1045.3,1041.1,1045.3,0.4,65.0,67776.5,1
