published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.62,8.98,8.62,8.98,4.18,13100.0,116726.0,1
2025-12-09,8.9,8.91,8.9,8.91,0.11,5910.0,52610.0,1
2025-12-10,8.76,8.9,8.76,8.81,0.57,21970.0,194062.3,1
2025-12-11,8.8,8.9,8.8,8.84,0.45,11600.0,102435.0,1
2025-12-14,8.81,8.9,8.66,8.8,-0.11,2000.0,17497.0,-1
2025-12-15,8.63,8.8,8.63,8.72,1.04,1500.0,13087.0,1
2025-12-16,8.75,8.92,8.75,8.92,1.94,34700.0,309109.0,1
2025-12-17,8.75,9.08,8.58,9.08,3.77,3000.0,26080.0,1
2025-12-18,8.9,9.1,8.9,9.1,2.25,68852.0,619851.0,1
2025-12-21,8.95,9.0,8.95,8.95,0.0,1900.0,17017.0,0
2025-12-22,8.78,8.9,8.7,8.89,1.25,17150.0,152299.5,1
2025-12-23,8.72,8.89,8.72,8.74,0.23,16500.0,146440.0,1
2025-12-24,8.74,8.78,8.74,8.78,0.46,1550.0,13584.0,1
2025-12-28,8.78,8.97,8.78,8.97,2.16,25475.0,227772.25,1
2025-12-29,8.8,9.1,8.8,8.87,0.8,1800.0,16028.0,1
2025-12-31,8.8,8.91,8.8,8.91,1.25,1025.0,9088.75,1
2026-01-01,8.89,8.93,8.89,8.92,0.34,1100.0,9807.0,1
2026-01-04,8.92,9.0,8.81,8.84,-0.9,1050.0,9339.0,-1
2026-01-05,8.67,8.85,8.67,8.85,2.08,7300.0,64431.0,1
2026-01-06,8.8,9.2,8.8,9.2,4.55,14700.0,134404.0,1
2026-01-07,9.02,9.02,8.85,8.91,-1.22,17700.0,159469.0,-1
2026-01-08,8.74,8.76,8.74,8.76,0.23,400.0,3500.0,1
2026-01-12,8.76,8.82,8.76,8.82,0.68,7800.0,68446.0,1
2026-01-13,8.7,8.9,8.7,8.9,2.3,8695.0,76658.9,1
2026-01-14,8.73,9.02,8.67,8.85,1.37,3150.0,27758.5,1
2026-01-18,8.71,9.02,8.71,8.88,1.95,3600.0,31873.0,1
2026-01-20,8.88,9.12,8.78,9.1,2.48,12400.0,112746.0,1
2026-01-21,9.2,9.28,9.2,9.27,0.76,179710.0,1662521.5,1
2026-01-22,9.09,9.28,9.09,9.1,0.11,7100.0,65330.0,1
2026-01-25,9.0,9.45,8.98,9.03,0.33,2900.0,26331.0,1
2026-01-26,9.21,9.21,9.04,9.1,-1.19,3000.0,27260.0,-1
2026-01-27,9.1,9.14,8.96,9.14,0.44,6287.0,57248.7,1
2026-01-28,9.0,9.2,9.0,9.13,1.44,3650.0,33293.0,1
2026-01-29,9.01,9.2,9.01,9.15,1.55,3100.0,28114.0,1
2026-02-01,9.01,9.1,9.01,9.1,1.0,2950.0,26662.5,1
2026-02-02,8.96,9.18,8.96,9.11,1.67,4500.0,40810.0,1
2026-02-03,8.97,9.1,8.97,9.1,1.45,2000.0,18108.0,1
2026-02-04,9.0,9.2,9.0,9.15,1.67,9400.0,86173.0,1
2026-02-05,9.0,9.28,9.0,9.16,1.78,40800.0,373359.0,1
2026-02-08,9.0,9.48,9.0,9.19,2.11,2700.0,24821.0,1
2026-02-09,9.1,9.17,9.1,9.16,0.66,2300.0,21039.0,1
2026-02-10,9.1,9.2,9.1,9.15,0.55,5500.0,50275.0,1
2026-02-11,9.0,9.17,9.0,9.16,1.78,4200.0,38297.0,1
2026-02-12,9.0,9.28,9.0,9.16,1.78,3600.0,32769.5,1
2026-02-16,9.0,9.2,9.0,9.2,2.22,3110.0,28424.0,1
2026-02-17,9.16,9.2,9.16,9.2,0.44,3300.0,30271.0,1
2026-02-22,9.17,9.2,9.16,9.16,-0.11,45250.0,415095.5,-1
2026-02-23,9.03,9.2,9.03,9.16,1.44,13350.0,122365.0,1
2026-02-24,9.02,9.2,9.02,9.2,2.0,1300.0,11790.0,1
2026-02-25,9.3,9.38,9.13,9.2,-1.08,8300.0,76984.0,-1
2026-02-26,9.3,9.48,9.12,9.46,1.72,36907.0,345519.96,1
2026-03-01,9.28,9.44,9.1,9.44,1.72,1000.0,9308.0,1
2026-03-03,9.26,9.62,9.26,9.62,3.89,27023.0,255388.78,1
2026-03-09,9.81,9.81,9.81,9.81,0.0,200.0,1962.0,0
2026-03-10,9.8,9.8,9.35,9.35,-4.59,3600.0,34343.0,-1
2026-03-11,9.19,9.44,9.19,9.42,2.5,3400.0,31710.0,1
2026-03-12,9.6,9.6,9.24,9.5,-1.04,5700.0,53831.0,-1
2026-03-15,9.69,9.69,9.3,9.5,-1.96,46860.0,445477.0,-1
2026-03-16,9.32,9.51,9.32,9.51,2.04,5100.0,48214.0,1
2026-03-17,9.35,9.5,9.35,9.4,0.53,2400.0,22567.5,1
2026-03-19,9.35,9.69,9.35,9.43,0.86,10747.0,101791.21,1
2026-03-22,9.31,9.7,9.31,9.63,3.44,23970.0,230359.1,1
2026-03-23,9.46,9.7,9.46,9.63,1.8,4400.0,42183.5,1
2026-03-24,9.48,9.69,9.48,9.69,2.22,2340.0,22426.0,1
2026-03-25,9.53,9.7,9.53,9.7,1.78,4590.0,44169.5,1
2026-03-26,9.54,9.89,9.54,9.8,2.73,13850.0,135491.0,1
2026-03-29,9.61,9.79,9.61,9.66,0.52,19430.0,187750.0,1
2026-03-30,9.47,9.66,9.47,9.52,0.53,3000.0,28511.0,1
2026-03-31,9.5,9.6,9.5,9.6,1.05,8905.0,84678.5,1
2026-04-01,9.51,9.55,9.36,9.36,-1.58,11500.0,109330.0,-1
2026-04-02,9.27,9.3,9.27,9.3,0.32,1700.0,15791.0,1
2026-04-05,9.15,9.47,9.15,9.33,1.97,18819.0,175584.93,1
2026-04-06,9.15,9.33,9.0,9.31,1.75,5981.0,55503.73,1
2026-04-07,9.31,9.31,9.23,9.3,-0.11,7450.0,69033.5,-1
2026-04-08,9.17,9.48,9.17,9.39,2.4,3550.0,33388.5,1
2026-04-09,9.21,9.5,9.21,9.5,3.15,8100.0,76536.0,1
2026-04-10,9.41,9.78,9.41,9.45,0.43,10693.0,102710.52,1
2026-04-13,9.45,9.5,9.45,9.5,0.53,54826.0,519747.5,1
2026-04-15,9.34,9.52,9.34,9.52,1.93,8720.0,82772.4,1
2026-04-16,9.36,9.52,9.35,9.36,0.0,2700.0,25309.0,0
2026-04-17,9.33,9.51,9.33,9.45,1.29,3700.0,34864.0,1
2026-04-20,9.33,9.5,9.33,9.4,0.75,6750.0,63241.0,1
2026-04-21,9.33,9.5,9.33,9.39,0.64,9700.0,91552.0,1
2026-04-22,9.33,9.34,9.33,9.34,0.11,1900.0,17743.0,1
2026-04-23,9.33,9.5,9.33,9.5,1.82,5900.0,55126.0,1
2026-04-24,9.5,9.29,9.02,9.2,-3.16,1100.0,10078.0,-1
2026-04-27,9.2,9.32,9.0,9.26,0.65,2000.0,18398.0,1
2026-04-28,9.26,9.27,9.1,9.27,0.11,2200.0,20231.0,1
2026-04-29,9.27,9.27,9.0,9.27,0.0,1700.0,15690.0,0
2026-04-30,9.0,9.25,9.0,9.18,2.0,7550.0,69465.5,1
2026-05-04,8.97,9.43,8.97,9.15,2.01,9200.0,85309.0,1
2026-05-05,9.1,9.44,8.97,9.25,1.65,1600.0,14613.0,1
2026-05-06,9.11,9.52,9.11,9.4,3.18,1450.0,13428.5,1
2026-05-07,9.13,9.67,9.12,9.27,1.53,5895.0,54908.7,1
2026-05-08,9.2,9.5,9.2,9.4,2.17,1400.0,13144.0,1
2026-05-11,9.21,9.57,9.21,9.57,3.91,5250.0,49342.0,1
2026-05-12,9.3,9.57,9.3,9.4,1.08,1910.0,17942.4,1
2026-05-13,9.21,9.38,9.04,9.38,1.85,2000.0,18514.0,1
2026-05-14,9.17,9.52,9.17,9.34,1.85,12400.0,117288.0,1
2026-05-15,9.6,9.6,9.23,9.32,-2.92,700.0,6536.0,-1
2026-05-18,9.15,9.4,9.15,9.4,2.73,3700.0,34248.0,1
2026-05-19,9.18,9.26,9.18,9.26,0.87,1335.0,12304.3,1
2026-05-20,9.15,9.53,9.15,9.35,2.19,6800.0,64247.0,1
2026-05-21,9.27,9.54,9.27,9.4,1.4,4450.0,41632.0,1
2026-05-22,9.15,9.57,9.15,9.4,2.73,18150.0,171603.0,1
2026-05-25,9.17,9.53,9.17,9.5,3.6,2250.0,20970.0,1
2026-05-26,9.27,9.55,9.27,9.55,3.02,4000.0,37828.0,1
2026-05-27,9.35,9.59,9.32,9.59,2.57,12400.0,116759.0,1
2026-06-01,9.35,9.4,9.34,9.34,-0.11,1600.0,14966.5,-1
2026-06-02,9.2,9.5,9.2,9.3,1.09,2250.0,20966.5,1
2026-06-03,9.22,9.5,9.2,9.5,3.04,6550.0,61883.0,1
2026-06-04,9.5,9.5,9.5,9.5,0.0,3900.0,37050.0,0
2026-06-05,9.5,9.54,9.2,9.54,0.42,3450.0,32483.0,1
2026-06-08,9.26,9.5,9.26,9.3,0.43,600.0,5596.0,1
2026-06-09,9.57,9.57,9.3,9.5,-0.73,3900.0,36595.0,-1
2026-06-10,9.22,9.6,9.22,9.35,1.41,3650.0,34138.5,1
2026-06-11,9.35,9.51,9.23,9.25,-1.07,3300.0,30993.0,-1
2026-06-12,9.25,9.34,9.25,9.26,0.11,2400.0,22222.0,1
2026-06-15,9.0,9.44,9.0,9.4,4.44,3205.0,29964.2,1
2026-06-16,9.4,9.45,9.39,9.39,-0.11,15930.0,149612.5,-1
2026-06-17,9.39,9.45,9.39,9.45,0.64,6870.0,64623.3,1
2026-06-18,9.39,9.67,9.39,9.39,0.0,2100.0,19747.0,0
2026-06-19,9.39,9.4,9.2,9.32,-0.75,14450.0,135584.5,-1
2026-06-22,9.21,9.4,9.2,9.33,1.3,2750.0,25479.0,1
2026-06-23,9.3,9.33,9.22,9.23,-0.75,2600.0,24123.0,-1
2026-06-24,8.97,9.34,8.97,9.27,3.34,1900.0,17434.0,1
2026-06-25,9.1,9.42,9.1,9.4,3.3,16495.0,154931.65,1
2026-06-26,9.14,9.26,9.14,9.26,1.31,600.0,5502.0,1
2026-06-29,9.1,9.1,9.04,9.07,-0.33,3750.0,34074.0,-1
2026-06-30,9.02,9.28,9.01,9.1,0.89,2950.0,26947.5,1
2026-07-01,8.99,9.35,8.99,9.35,4.0,3100.0,28628.0,1
2026-07-02,9.3,9.45,9.3,9.45,1.61,4600.0,43445.0,1
2026-07-03,9.17,9.4,9.17,9.4,2.51,1430.0,13253.5,1
2026-07-06,9.4,9.4,9.12,9.39,-0.11,32500.0,303886.0,-1
2026-07-07,9.17,9.35,9.17,9.35,1.96,14000.0,130440.0,1
2026-07-08,9.24,9.36,9.24,9.36,1.3,5500.0,51423.0,1
2026-07-09,9.26,9.38,9.26,9.37,1.19,12800.0,119951.0,1
2026-07-10,9.14,9.6,9.14,9.6,5.03,2750.0,25382.5,1
2026-07-13,9.32,9.32,9.15,9.16,-1.72,1800.0,16727.0,-1
2026-07-14,9.17,9.18,9.17,9.17,0.0,2600.0,23844.0,0
2026-07-15,9.17,9.49,9.17,9.49,3.49,17270.0,162646.3,1
2026-07-16,9.5,9.5,9.0,9.06,-4.63,2340.0,21409.98,-1
2026-07-17,8.8,9.35,8.8,9.1,3.41,900.0,8236.0,1
2026-07-20,9.1,9.37,8.93,9.3,2.2,1500.0,13800.0,1
2026-07-21,9.5,9.5,9.03,9.03,-4.95,68780.0,652724.0,-1
2026-07-22,9.0,9.27,9.0,9.27,3.0,1600.0,14700.0,1
2026-07-23,9.02,9.1,9.02,9.1,0.89,900.0,8154.0,1
2026-07-24,9.1,9.45,9.1,9.2,1.1,10500.0,99127.0,1
2026-07-27,9.01,9.46,9.0,9.46,4.99,23850.0,224580.51,1
2026-07-28,9.2,9.22,9.11,9.22,0.22,1700.0,15618.0,1
2026-07-29,9.2,9.2,9.1,9.12,-0.87,4172.0,38047.64,-1
2026-07-30,9.05,9.28,9.03,9.28,2.54,3100.0,28134.5,1
2026-07-31,9.3,9.3,9.03,9.1,-2.15,1850.0,16845.5,-1
