published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,514.0,520.1,513.0,518.0,0.78,5211.0,2690846.1,1
2025-12-09,518.0,526.5,513.5,520.0,0.39,17729.0,9259970.7,1
2025-12-10,515.3,520.0,515.2,516.0,0.14,4398.0,2272195.2,1
2025-12-11,515.2,519.9,515.2,516.2,0.19,3302.0,1703350.7,1
2025-12-14,516.2,519.0,511.0,512.9,-0.64,11681.0,5998547.9,-1
2025-12-15,511.0,518.0,510.1,516.0,0.98,6852.0,3516910.9,1
2025-12-16,526.3,526.3,506.0,517.0,-1.77,3913.0,2019572.4,-1
2025-12-17,527.3,536.0,510.0,519.7,-1.44,10477.0,5403172.6,-1
2025-12-18,530.0,530.0,509.0,514.9,-2.85,21501.0,11009254.1,-1
2025-12-21,514.0,514.0,505.0,505.0,-1.75,7336.0,3723659.8,-1
2025-12-22,510.9,510.9,500.2,502.0,-1.74,5647.0,2836534.6,-1
2025-12-23,502.0,502.5,496.2,501.7,-0.06,11889.0,5939684.4,-1
2025-12-24,501.0,506.0,500.1,504.9,0.78,8774.0,4397023.5,1
2025-12-28,505.0,513.8,505.0,510.0,0.99,14349.0,7283665.9,1
2025-12-29,517.0,517.0,499.9,501.5,-3.0,21896.0,11033800.4,-1
2025-12-31,508.0,510.9,504.5,506.0,-0.39,9047.0,4597808.9,-1
2026-01-01,508.0,508.0,500.0,500.2,-1.54,6941.0,3488262.2,-1
2026-01-04,507.7,507.7,496.0,498.9,-1.73,8376.0,4169217.8,-1
2026-01-05,500.0,501.0,493.0,500.0,0.0,23959.0,11953348.8,0
2026-01-06,505.9,510.0,502.0,504.3,-0.32,20276.0,10271176.7,-1
2026-01-07,505.0,507.8,500.0,504.0,-0.2,12794.0,6444098.6,-1
2026-01-08,504.0,507.0,500.0,502.0,-0.4,7528.0,3788213.2,-1
2026-01-12,500.0,503.0,499.0,501.1,0.22,12775.0,6399881.8,1
2026-01-13,500.0,506.9,497.0,498.1,-0.38,22834.0,11412962.3,-1
2026-01-14,503.0,509.0,498.1,509.0,1.19,18294.0,9182194.5,1
2026-01-18,518.0,518.0,504.0,506.0,-2.32,12058.0,6135181.9,-1
2026-01-20,512.9,517.0,510.0,515.0,0.41,18705.0,9626863.7,1
2026-01-21,518.0,520.0,514.0,514.0,-0.77,17452.0,9026870.7,-1
2026-01-22,521.0,521.0,510.1,513.0,-1.54,10800.0,5538676.5,-1
2026-01-25,520.0,540.5,513.2,531.0,2.12,30490.0,16050609.2,1
2026-01-26,538.0,538.8,525.0,527.1,-2.03,24446.0,12989064.0,-1
2026-01-27,525.0,532.0,514.6,514.6,-1.98,24988.0,13010179.3,-1
2026-01-28,506.0,515.0,506.0,513.2,1.42,10149.0,5202213.2,1
2026-01-29,505.0,518.0,505.0,511.1,1.21,14820.0,7602911.2,1
2026-02-01,514.0,514.0,509.4,512.1,-0.37,11554.0,5913617.5,-1
2026-02-02,519.0,519.0,508.1,508.1,-2.1,8091.0,4127130.4,-1
2026-02-03,515.0,515.0,504.1,505.0,-1.94,16740.0,8471327.0,-1
2026-02-04,503.0,512.5,500.2,504.7,0.34,13186.0,6648683.9,1
2026-02-05,504.7,513.0,502.0,511.9,1.43,17758.0,9035977.4,1
2026-02-08,515.0,517.9,507.0,510.0,-0.97,16255.0,8303724.1,-1
2026-02-09,510.0,510.0,499.0,499.0,-2.16,27146.0,13632148.3,-1
2026-02-10,508.0,508.0,489.1,499.0,-1.77,43828.0,21665746.6,-1
2026-02-11,501.0,508.9,486.0,495.0,-1.2,46327.0,22778243.8,-1
2026-02-12,500.0,500.0,491.1,496.0,-0.8,13107.0,6481808.6,-1
2026-02-16,495.1,502.0,495.1,499.0,0.79,8976.0,4473513.2,1
2026-02-17,500.0,500.0,488.0,490.0,-2.0,19935.0,9830003.0,-1
2026-02-22,490.0,491.3,483.0,485.6,-0.9,16981.0,8243765.7,-1
2026-02-23,483.1,490.0,483.0,487.9,0.99,5138.0,2497959.5,1
2026-02-24,485.0,490.0,485.0,487.0,0.41,11765.0,5728075.4,1
2026-02-25,496.0,496.0,484.3,487.0,-1.81,15723.0,7694790.4,-1
2026-02-26,487.0,495.9,487.0,492.0,1.03,9918.0,4891792.2,1
2026-03-01,489.0,497.0,488.0,494.1,1.04,7496.0,3700212.5,1
2026-03-03,493.6,502.0,490.0,501.9,1.68,17306.0,8638660.8,1
2026-03-09,511.9,532.5,511.9,532.5,4.02,140.0,72180.0,1
2026-03-10,543.0,543.0,515.1,522.5,-3.78,44871.0,23579166.6,-1
2026-03-11,523.0,525.0,515.0,516.3,-1.28,20766.0,10770843.8,-1
2026-03-12,516.0,522.0,510.7,520.1,0.79,24232.0,12520042.5,1
2026-03-15,527.0,527.0,515.0,516.5,-1.99,19942.0,10325953.1,-1
2026-03-16,519.0,519.0,514.1,515.9,-0.6,20380.0,10524665.6,-1
2026-03-17,516.0,517.4,513.0,515.0,-0.19,19027.0,9803422.7,-1
2026-03-19,523.0,526.0,516.0,525.0,0.38,48744.0,25463217.5,1
2026-03-22,535.0,553.0,529.8,550.2,2.84,84685.0,45941654.5,1
2026-03-23,559.0,559.0,543.0,549.9,-1.63,40842.0,22468764.0,-1
2026-03-24,559.9,559.9,545.0,547.1,-2.29,35419.0,19448721.0,-1
2026-03-25,542.0,552.8,538.0,540.0,-0.37,43009.0,23299827.2,-1
2026-03-26,537.0,543.7,536.2,541.9,0.91,15430.0,8316540.6,1
2026-03-29,552.7,552.7,530.1,530.2,-4.07,35923.0,19135851.1,-1
2026-03-30,520.0,531.0,515.6,520.5,0.1,24197.0,12645945.7,1
2026-03-31,529.0,529.0,510.1,520.9,-1.53,19349.0,9952351.2,-1
2026-04-01,525.0,525.0,503.0,509.0,-3.05,16083.0,8185395.9,-1
2026-04-02,500.0,511.0,498.9,509.0,1.8,35935.0,18116029.4,1
2026-04-05,500.0,502.5,487.1,487.9,-2.42,35428.0,17519800.2,-1
2026-04-06,487.0,506.0,479.0,501.8,3.04,25851.0,12881527.7,1
2026-04-07,501.8,519.5,499.0,501.0,-0.16,15177.0,7634317.9,-1
2026-04-08,501.0,509.9,491.2,507.8,1.36,30074.0,15131761.5,1
