published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,554.0,573.2,545.0,573.2,3.47,12338.0,6898723.6,1
2025-12-09,582.8,582.8,549.0,577.8,-0.86,10596.0,5996303.7,-1
2025-12-10,566.5,570.0,559.0,563.0,-0.62,6009.0,3384890.1,-1
2025-12-11,565.0,569.8,555.4,563.0,-0.35,4313.0,2414142.7,-1
2025-12-14,552.0,574.0,552.0,557.7,1.03,9793.0,5446834.2,1
2025-12-15,552.0,562.0,548.0,557.0,0.91,23681.0,13034856.3,1
2025-12-16,546.0,560.0,546.0,548.0,0.37,14783.0,8142304.7,1
2025-12-17,537.1,558.7,537.1,555.0,3.33,12313.0,6818112.2,1
2025-12-18,555.0,555.0,544.3,546.0,-1.62,20393.0,11173161.6,-1
2025-12-21,546.0,547.0,540.0,546.0,0.0,12230.0,6631228.4,0
