published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.5,8.72,8.39,8.72,2.59,25301.0,215045.5,1
2025-12-09,8.6,8.63,8.6,8.62,0.23,1700.0,14658.0,1
2025-12-10,8.62,8.67,8.5,8.56,-0.7,64875.0,562249.25,-1
2025-12-11,8.4,8.56,8.4,8.46,0.71,7600.0,64789.0,1
2025-12-14,8.39,8.8,8.38,8.63,2.86,54960.0,483087.0,1
2025-12-15,8.65,8.65,8.53,8.54,-1.27,3800.0,32556.0,-1
2025-12-16,8.55,8.71,8.55,8.56,0.12,3839.0,32876.69,1
2025-12-17,8.39,8.5,8.39,8.43,0.48,3200.0,27009.0,1
2025-12-18,8.5,8.77,8.5,8.7,2.35,71850.0,621094.0,1
2025-12-21,8.55,8.96,8.55,8.55,0.0,106151.0,934987.5,0
2025-12-22,8.5,8.67,8.5,8.5,0.0,2719.0,23354.4,0
2025-12-23,8.5,8.53,8.26,8.53,0.35,2300.0,19512.0,1
2025-12-24,8.65,8.8,8.47,8.8,1.73,1900.0,16332.0,1
2025-12-28,8.65,8.8,8.51,8.8,1.73,7625.0,65456.0,1
