published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-03-15,548.00,557.00,528.00,537.00,2.68,807526.00,436221809.00,1
2021-03-16,550.00,550.00,530.00,533.00,-0.74,317765.00,170266454.00,-1
2021-03-17,532.00,540.00,527.00,530.00,-0.56,378017.00,200488423.00,-1
2021-03-18,530.00,535.00,525.00,525.00,-0.94,409283.00,216695278.00,-1
2021-03-21,525.00,534.00,525.00,528.00,0.57,401215.00,211838748.00,1
2021-03-22,530.00,537.00,522.00,524.00,-0.76,375082.00,197703100.00,-1
2021-03-23,524.00,550.00,520.00,540.00,3.05,973981.00,526094572.00,1
2021-03-24,545.00,588.00,545.00,581.00,7.59,1140973.00,651501695.00,1
2021-03-25,600.00,631.00,585.00,608.00,4.65,1488090.00,910880719.00,1
2021-03-29,615.00,622.00,603.00,606.00,-0.33,724630.00,443165363.00,-1
2021-03-30,606.00,611.00,591.00,592.00,-2.31,802167.00,480094271.00,-1
2021-03-31,592.00,604.00,590.00,593.00,0.17,508187.00,302623446.00,1
2021-04-01,615.00,615.00,588.00,595.00,0.34,96466.00,57480193.00,1
2021-04-04,595.00,600.00,577.00,581.00,-2.35,814795.00,475699499.00,-1
2021-04-05,581.00,588.00,574.00,576.00,-0.86,500352.00,289463828.00,-1
2021-04-06,604.00,606.00,572.00,606.00,5.21,672591.00,398057236.00,1
2021-04-07,606.00,612.00,591.00,592.00,-2.31,468589.00,280491735.00,-1
2021-04-08,621.00,621.00,588.00,589.00,-0.51,432501.00,255524149.00,-1
2021-04-12,590.00,590.00,580.00,584.00,-0.85,377732.00,221197570.00,-1
2021-04-13,586.00,589.00,580.00,585.00,0.17,361253.00,211026053.00,1
2021-04-15,585.00,604.00,580.00,594.00,1.54,835570.00,498734273.00,1
2021-04-18,623.00,623.00,581.00,585.00,-1.52,476981.00,279856434.00,-1
2021-04-19,600.00,600.00,579.00,581.00,-0.68,411738.00,239360841.00,-1
2021-04-20,580.00,584.00,575.00,578.00,-0.52,343512.00,198672665.00,-1
2021-04-21,581.00,581.00,560.00,572.00,-1.04,444290.00,254598639.00,-1
2021-04-22,572.00,572.00,561.00,562.00,-1.75,457462.00,258748348.00,-1
2021-04-25,565.00,570.00,537.00,541.00,-3.74,723657.00,395252640.00,-1
2021-04-26,540.00,541.00,520.00,526.00,-2.77,476237.00,252981740.00,-1
2021-04-27,520.00,548.00,517.00,547.00,3.99,392155.00,211677436.00,1
2021-04-28,550.00,555.00,532.00,545.00,-0.37,209761.00,114641622.00,-1
2021-04-29,545.00,549.00,534.00,542.00,-0.55,210781.00,114279443.00,-1
2021-05-02,542.00,545.00,535.00,542.00,0.00,448160.00,242246556.00,0
2021-05-03,542.00,554.00,542.00,544.00,0.37,368189.00,201660082.00,1
2021-05-04,560.00,560.00,541.00,544.00,0.00,302660.00,164860071.00,0
2021-05-05,544.00,544.00,539.00,540.00,-0.74,230204.00,124601784.00,-1
2021-05-06,540.00,540.00,531.00,532.00,-1.48,282014.00,150756153.00,-1
2021-05-09,530.00,535.00,520.00,528.00,-0.75,297827.00,157395044.00,-1
2021-05-10,528.00,540.00,525.00,534.00,1.14,182691.00,97261154.00,1
2021-05-11,540.00,543.00,530.00,537.00,0.56,216667.00,116713070.00,1
2021-05-12,511.00,545.00,511.00,534.00,-0.56,167760.00,89849014.00,-1
2021-05-13,534.00,537.00,525.00,531.00,-0.56,256911.00,136794532.00,-1
2021-05-16,535.00,549.00,526.00,547.00,3.01,546356.00,294990546.00,1
2021-05-17,555.00,560.00,545.00,546.00,-0.18,331567.00,182353256.00,-1
2021-05-18,546.00,553.00,542.00,544.00,-0.37,314084.00,171339779.00,-1
2021-05-19,544.00,552.00,537.00,538.00,-1.10,323110.00,175636344.00,-1
2021-05-20,560.00,560.00,530.00,537.00,-0.19,371438.00,199767111.00,-1
2021-05-23,537.00,543.00,529.00,538.00,0.19,362473.00,194864909.00,1
2021-05-24,539.00,545.00,535.00,536.00,-0.37,344835.00,185478431.00,-1
2021-05-25,555.00,555.00,532.00,534.00,-0.37,261918.00,139992847.00,-1
2021-05-27,534.00,536.00,529.00,530.00,-0.75,391248.00,207873796.00,-1
2021-05-30,530.00,545.00,528.00,530.00,0.00,522428.00,277933295.00,0
2021-05-31,530.00,535.00,526.00,526.00,-0.75,332230.00,175793236.00,-1
2021-06-01,526.00,532.00,523.00,525.00,-0.19,285458.00,150125522.00,-1
2021-06-02,525.00,528.00,523.00,524.00,-0.19,312966.00,164348306.00,-1
2021-06-03,525.00,540.00,525.00,533.00,1.72,618859.00,331386774.00,1
2021-06-06,542.00,581.00,542.00,578.00,8.44,1478885.00,839044067.00,1
2021-06-07,590.00,599.00,566.00,572.00,-1.04,805770.00,466288021.00,-1
2021-06-08,578.00,578.00,560.00,561.00,-1.92,588485.00,333115109.00,-1
2021-06-09,561.00,568.00,547.00,549.00,-2.14,466594.00,258073985.00,-1
2021-06-10,560.00,560.00,540.00,541.00,-1.46,444293.00,242045120.00,-1
2021-06-13,541.00,548.00,534.00,537.00,-0.74,419915.00,225843331.00,-1
2021-06-14,540.00,565.00,539.00,550.00,2.42,577558.00,316920942.00,1
2021-06-15,563.00,563.00,539.00,539.00,-2.00,320786.00,174565620.00,-1
2021-06-16,525.00,536.00,523.00,534.00,-0.93,483442.00,256301694.00,-1
2021-06-17,534.00,535.00,525.00,529.00,-0.94,464954.00,245450708.00,-1
2021-06-20,520.00,537.00,520.00,523.00,-1.13,388678.00,203801916.00,-1
2021-06-21,523.00,526.00,509.00,510.00,-2.49,420675.00,216499879.00,-1
2021-06-22,515.00,524.00,505.00,524.00,2.75,402416.00,207335025.00,1
2021-06-23,529.00,533.00,511.00,512.00,-2.29,201087.00,103528587.00,-1
2021-06-24,512.00,518.00,508.00,510.00,-0.39,252503.00,128823709.00,-1
2021-06-27,510.00,519.00,506.00,511.00,0.20,306783.00,156557063.00,1
2021-06-28,515.00,518.00,505.00,509.00,-0.39,185355.00,94407933.00,-1
2021-06-29,509.00,515.00,502.00,503.00,-1.18,247114.00,125059436.00,-1
2021-06-30,503.00,505.00,495.00,500.00,-0.60,240095.00,119653720.00,-1
2021-07-01,505.00,508.00,500.00,501.00,0.20,209366.00,105338016.00,1
2021-07-04,501.00,505.00,496.00,497.00,-0.80,184761.00,92046354.00,-1
2021-07-05,497.00,499.00,488.00,489.00,-1.61,271311.00,133235970.00,-1
2021-07-06,489.00,495.00,481.00,484.00,-1.02,255098.00,123746853.00,-1
2021-07-07,484.00,486.00,478.00,479.00,-1.03,227513.00,109376070.00,-1
2021-07-08,480.00,508.00,473.00,490.00,2.30,290179.00,139925228.00,1
2021-07-11,495.00,512.00,495.00,511.00,4.29,373329.00,187845642.00,1
2021-07-12,536.00,536.00,490.00,495.00,-3.13,364593.00,182771558.00,-1
2021-07-13,504.00,504.00,488.00,494.00,-0.20,253886.00,125187965.00,-1
2021-07-14,494.00,505.00,489.00,491.00,-0.61,154072.00,75807817.00,-1
2021-07-15,495.00,497.00,490.00,492.00,0.20,164324.00,80746434.00,1
2021-07-18,492.00,504.00,492.00,499.00,1.42,207820.00,103500851.20,1
2021-07-19,502.00,508.00,495.40,498.00,-0.20,212059.00,105896353.80,-1
2021-07-20,498.00,500.00,491.00,492.00,-1.20,159685.00,78801884.60,-1
