published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1071.1,1073.0,1070.0,1070.0,-0.1,51.0,54667.5,-1
2025-12-09,1054.1,1057.1,1054.1,1057.1,0.28,65.0,68591.5,1
2025-12-10,1063.3,1065.3,1063.3,1065.2,0.18,175.0,186370.6,1
2025-12-11,1065.0,1065.0,1065.0,1065.0,0.0,25.0,26625.0,0
2025-12-14,1067.2,1067.2,1067.2,1067.2,0.0,75.0,80040.0,0
2025-12-15,1067.18,1094.0,1067.18,1070.0,0.26,3374.0,3686880.0,1
2025-12-16,1050.0,1050.0,1040.0,1040.0,-0.95,65.0,68000.0,-1
2025-12-17,1025.0,1067.9,1025.0,1067.9,4.19,225.0,235122.5,1
2025-12-18,1046.6,1055.0,1046.6,1055.0,0.8,50.0,52540.0,1
2025-12-21,1033.9,1046.0,1026.0,1027.0,-0.67,125.0,129072.5,-1
2025-12-22,1017.0,1017.0,1017.0,1017.0,0.0,25.0,25425.0,0
2025-12-23,1027.1,1049.0,1027.1,1049.0,2.13,100.0,103800.0,1
2025-12-24,1031.5,1031.5,1031.5,1031.5,0.0,25.0,25787.5,0
2025-12-28,1031.5,1031.5,1030.4,1030.4,-0.11,55.0,56699.5,-1
2025-12-29,1030.4,1030.4,1030.4,1030.4,0.0,25.0,25760.0,0
2025-12-31,1030.4,1049.0,1030.4,1049.0,1.81,26.0,27255.0,1
2026-01-04,1050.0,1050.0,1050.0,1050.0,0.0,75.0,78750.0,0
2026-01-06,1050.0,1050.0,1050.0,1050.0,0.0,130.0,136500.0,0
2026-01-07,1029.0,1035.3,1029.0,1035.3,0.61,100.0,103365.0,1
