published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1251.0,1251.0,1251.0,1251.0,0.0,25.0,31275.0,0
2025-12-10,1226.0,1226.0,1215.0,1215.0,-0.9,50.0,61025.0,-1
2025-12-14,1215.0,1296.0,1215.0,1265.0,4.12,1172.0,1513667.3,1
2025-12-16,1265.0,1265.0,1265.0,1265.0,0.0,25.0,31625.0,0
2025-12-17,1265.0,1265.0,1235.0,1235.0,-2.37,49703.0,61383238.0,-1
2025-12-21,1235.0,1298.0,1235.0,1298.0,5.1,154.0,199839.7,1
2025-12-22,1298.0,1298.0,1273.0,1273.0,-1.93,101.0,128600.0,-1
2025-12-28,1248.0,1248.0,1248.0,1248.0,0.0,50.0,62400.0,0
2025-12-29,1270.0,1276.0,1251.0,1276.0,0.47,239.0,304111.5,1
2026-01-01,1251.0,1251.0,1226.0,1250.5,-0.04,80.0,99442.5,-1
2026-01-05,1226.0,1226.0,1226.0,1226.0,0.0,25.0,30650.0,0
2026-01-07,1226.0,1226.0,1226.0,1226.0,0.0,25.0,30650.0,0
2026-01-13,1210.0,1302.0,1210.0,1302.0,7.6,451.0,584772.9,1
2026-01-18,1302.0,1302.0,1302.0,1276.0,-2.0,5.0,6380.0,-1
2026-01-20,1276.0,1276.0,1251.0,1251.0,-1.96,20.0,25020.0,-1
2026-01-21,1251.0,1251.0,1251.0,1251.0,0.0,6.0,7506.0,0
2026-01-22,1251.0,1251.0,1251.0,1227.0,-1.92,8.0,9816.0,-1
2026-01-25,1227.1,1227.1,1227.1,1227.1,0.0,17.0,20860.7,0
2026-01-26,1227.1,1230.0,1227.1,1227.0,-0.01,31.0,38112.0,-1
2026-01-28,1230.0,1230.0,1230.0,1230.0,0.0,25.0,30750.0,0
2026-02-02,1231.0,1231.0,1231.0,1231.0,0.0,25.0,30775.0,0
2026-02-03,1231.0,1231.0,1231.0,1231.0,0.0,25.0,30775.0,0
2026-02-05,1211.0,1211.0,1211.0,1211.0,0.0,25.0,30275.0,0
2026-02-08,1201.0,1201.0,1201.0,1201.0,0.0,100.0,120100.0,0
2026-02-11,1185.1,1185.1,1185.1,1185.1,0.0,25.0,29627.5,0
2026-02-17,1182.0,1182.0,1182.0,1182.0,0.0,50.0,59100.0,0
2026-02-22,1182.0,1198.0,1182.0,1198.0,1.35,26.0,31150.1,1
2026-03-16,1198.0,1198.0,1198.0,1189.0,-0.75,6.0,7134.0,-1
2026-03-19,1188.0,1188.0,1188.0,1188.0,0.0,25.0,29700.0,0
2026-03-22,1188.0,1267.0,1187.5,1267.0,6.65,282.0,355156.9,1
2026-04-01,1280.0,1292.3,1280.0,1292.3,0.96,115.0,148281.0,1
2026-04-06,1292.3,1318.0,1292.3,1318.0,1.99,80.0,105440.0,1
2026-04-07,1295.0,1295.0,1295.0,1295.0,0.0,475.0,615125.0,0
2026-04-16,1280.0,1280.0,1280.0,1280.0,0.0,25.0,32000.0,0
2026-04-17,1300.0,1300.0,1300.0,1300.0,0.0,300.0,390000.0,0
2026-04-20,1300.0,1300.0,1300.0,1300.0,0.0,600.0,780000.0,0
2026-04-21,1300.0,1300.0,1300.0,1300.0,0.0,100.0,130000.0,0
2026-04-27,1300.0,1309.0,1290.0,1309.0,0.69,105.0,136325.0,1
2026-04-30,1270.0,1270.0,1270.0,1270.0,0.0,140.0,177800.0,0
2026-05-15,1232.0,1232.0,1232.0,1232.0,0.0,100.0,123200.0,0
2026-05-19,1216.0,1216.1,1215.0,1215.0,-0.08,85.0,103352.0,-1
2026-05-22,1249.0,1249.0,1249.0,1249.0,0.0,27.0,33723.0,0
2026-05-25,1245.0,1245.0,1245.0,1245.0,0.0,25.0,31125.0,0
2026-05-27,1223.0,1223.0,1218.0,1218.0,-0.41,53.0,64679.0,-1
2026-06-01,1225.0,1225.0,1224.0,1224.0,-0.08,50.0,61225.0,-1
2026-06-03,1254.0,1255.0,1254.0,1260.7,0.53,63.0,79072.1,1
