published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,703.0,703.0,678.3,690.0,-1.85,18676.0,12788479.7,-1
2025-12-09,690.0,693.0,677.0,689.0,-0.14,7913.0,5445512.5,-1
2025-12-10,678.0,695.0,678.0,688.1,1.49,28683.0,19679808.8,1
2025-12-11,680.0,688.1,677.0,680.0,0.0,18414.0,12541057.2,0
2025-12-14,682.0,682.0,675.1,682.0,0.0,19107.0,12944593.5,0
2025-12-15,680.0,684.9,673.0,684.9,0.72,13193.0,8941717.1,1
2025-12-16,678.2,688.5,678.2,683.9,0.84,3850.0,2630409.0,1
2025-12-17,691.0,695.0,675.7,685.0,-0.87,8245.0,5621267.5,-1
2025-12-18,688.0,695.0,681.1,685.0,-0.44,33656.0,23171558.0,-1
2025-12-21,677.0,689.8,672.2,683.0,0.89,11948.0,8093880.7,1
2025-12-22,671.2,684.0,671.2,680.0,1.31,5206.0,3516449.8,1
2025-12-23,670.2,678.0,670.0,674.5,0.64,12178.0,8183052.7,1
2025-12-24,662.1,698.0,662.1,693.0,4.67,25954.0,17821708.0,1
2025-12-28,695.0,701.8,691.0,701.0,0.86,17767.0,12405474.5,1
2025-12-29,690.0,705.0,690.0,690.0,0.0,29051.0,20236260.2,0
2025-12-31,686.0,702.6,681.1,699.8,2.01,11178.0,7804092.8,1
2026-01-01,701.0,701.0,690.0,695.0,-0.86,19627.0,13667440.0,-1
2026-01-04,690.0,695.0,688.0,690.0,0.0,8657.0,5976404.2,0
2026-01-05,692.4,700.0,692.0,698.0,0.81,28815.0,20058589.8,1
2026-01-06,684.0,695.5,675.3,680.4,-0.53,10675.0,7287838.6,-1
2026-01-07,692.8,692.8,680.0,681.0,-1.7,9080.0,6190253.2,-1
2026-01-08,680.0,687.8,675.0,680.0,0.0,11938.0,8095624.2,0
2026-01-12,690.0,690.0,667.2,680.1,-1.43,12477.0,8485434.5,-1
2026-01-13,677.2,681.5,671.1,679.9,0.4,20167.0,13628419.2,1
2026-01-14,670.7,684.1,670.0,679.9,1.37,11885.0,8018856.3,1
2026-01-18,688.0,688.5,678.1,688.0,0.0,7833.0,5335927.3,0
2026-01-20,701.7,702.0,691.0,698.0,-0.53,32917.0,22948800.0,-1
2026-01-21,695.0,705.8,690.0,695.0,0.0,36313.0,25289794.6,0
2026-01-22,685.0,694.0,683.0,684.1,-0.13,12714.0,8719355.6,-1
2026-01-25,676.1,699.0,676.1,695.0,2.8,27294.0,18823409.6,1
2026-01-26,705.0,705.0,686.0,692.0,-1.84,21552.0,14893757.3,-1
2026-01-27,680.0,693.6,680.0,680.0,0.0,26666.0,18277268.9,0
2026-01-28,683.0,686.0,664.0,676.0,-1.02,18318.0,12310030.1,-1
2026-01-29,665.2,680.0,665.2,676.0,1.62,14139.0,9573306.0,1
2026-02-01,678.0,679.0,672.3,672.4,-0.83,6271.0,4231085.9,-1
2026-02-02,672.4,678.0,670.2,671.0,-0.21,7143.0,4797263.0,-1
2026-02-03,678.0,678.8,670.0,673.8,-0.62,11695.0,7851352.9,-1
2026-02-04,670.0,677.5,666.3,672.0,0.3,19348.0,13028240.8,1
2026-02-05,672.1,724.5,666.1,718.0,6.83,486497.0,347794418.5,1
2026-02-08,720.0,720.0,700.0,706.0,-1.94,45113.0,31912815.4,-1
2026-02-09,709.0,709.0,678.0,688.0,-2.96,24903.0,17093674.0,-1
2026-02-10,688.0,690.0,674.3,687.0,-0.15,9178.0,6247475.2,-1
2026-02-11,675.0,684.9,675.0,684.9,1.47,10104.0,6862460.1,1
2026-02-12,686.0,686.0,674.4,676.0,-1.46,18132.0,12283444.1,-1
2026-02-16,678.1,680.0,673.0,673.0,-0.75,9393.0,6339399.0,-1
2026-02-17,671.0,676.9,665.1,670.3,-0.1,8143.0,5455649.1,-1
2026-02-22,662.0,668.0,660.1,667.0,0.76,10245.0,6792303.8,1
2026-02-23,655.0,669.0,655.0,662.0,1.07,11226.0,7435722.6,1
2026-02-24,655.0,670.0,655.0,668.2,2.02,7157.0,4773861.1,1
2026-02-25,668.2,675.0,666.0,670.0,0.27,8460.0,5655362.5,1
2026-02-26,665.3,679.5,665.3,679.5,2.13,27114.0,18131959.7,1
2026-03-01,667.0,680.0,667.0,680.0,1.95,14089.0,9485446.5,1
2026-03-03,668.0,689.0,668.0,680.0,1.8,13283.0,9051006.5,1
2026-03-09,693.6,707.4,693.6,707.4,1.99,140.0,97656.0,1
2026-03-10,719.9,720.0,696.0,708.6,-1.57,57449.0,40657365.7,-1
2026-03-11,707.0,709.9,695.0,695.0,-1.7,18375.0,12839340.5,-1
2026-03-12,686.0,705.0,686.0,700.0,2.04,21725.0,15092749.8,1
2026-03-15,700.0,714.0,698.3,705.0,0.71,31276.0,22022341.7,1
2026-03-16,702.9,702.9,692.0,697.4,-0.78,12743.0,8872570.4,-1
2026-03-17,695.9,696.9,686.2,695.0,-0.13,6978.0,4832145.0,-1
2026-03-19,685.0,712.0,685.0,704.9,2.91,34835.0,24436690.9,1
2026-03-22,714.0,730.0,701.0,720.1,0.85,58733.0,41963497.0,1
2026-03-23,720.2,721.0,707.2,714.0,-0.86,16620.0,11836915.4,-1
2026-03-24,714.1,717.0,696.0,700.3,-1.93,34725.0,24469250.4,-1
2026-03-25,701.0,701.0,688.1,688.5,-1.78,50734.0,35187638.4,-1
2026-03-26,686.0,694.0,682.5,692.0,0.87,30462.0,20974566.9,1
2026-03-29,695.0,695.0,677.0,686.9,-1.17,20365.0,13910684.7,-1
2026-03-30,675.0,689.9,662.0,670.4,-0.68,53227.0,35705879.4,-1
2026-03-31,667.0,675.0,654.0,674.9,1.18,29493.0,19537381.0,1
2026-04-01,674.9,674.9,652.1,655.3,-2.9,25703.0,16906080.4,-1
2026-04-02,650.0,660.0,646.0,654.6,0.71,32086.0,20892018.2,1
2026-04-05,642.0,648.8,612.0,615.0,-4.21,35987.0,22484641.2,-1
2026-04-06,614.0,632.0,610.0,630.0,2.61,24036.0,15013351.1,1
2026-04-07,632.0,635.0,617.5,624.0,-1.27,15017.0,9396694.7,-1
2026-04-08,624.0,633.8,620.0,630.0,0.96,11613.0,7269384.1,1
2026-04-09,624.0,642.0,624.0,640.0,2.56,23438.0,14856291.4,1
2026-04-10,644.7,644.9,629.3,640.0,-0.73,11102.0,7029256.5,-1
2026-04-13,640.1,642.0,628.0,628.1,-1.87,6811.0,4296229.2,-1
2026-04-15,635.0,640.0,622.0,632.0,-0.47,13982.0,8811453.1,-1
2026-04-16,630.0,639.4,626.1,628.0,-0.32,7228.0,4536710.2,-1
2026-04-17,625.0,633.9,620.0,628.0,0.48,19005.0,11968344.5,1
2026-04-20,620.1,638.0,620.1,633.0,2.08,6484.0,4073473.4,1
2026-04-21,620.0,635.0,620.0,626.9,1.11,7412.0,4668544.4,1
2026-04-22,615.0,633.0,610.0,620.0,0.81,12208.0,7512315.5,1
2026-04-23,651.0,651.0,603.0,619.0,-4.92,8070.0,4940756.9,-1
2026-04-24,619.0,612.0,601.2,608.0,-1.78,12756.0,7728249.6,-1
2026-04-27,608.0,611.0,590.0,609.0,0.16,7776.0,4694436.8,1
2026-04-28,609.0,614.7,590.9,614.7,0.94,26179.0,15794730.8,1
2026-04-29,584.0,614.0,584.0,603.0,3.25,7410.0,4438861.6,1
2026-04-30,595.0,601.0,590.5,600.0,0.84,6673.0,3977594.7,1
2026-05-04,595.0,598.9,571.1,584.9,-1.7,13445.0,7892721.0,-1
2026-05-05,584.9,585.9,575.0,581.0,-0.67,20399.0,11765659.2,-1
2026-05-06,578.0,581.0,570.3,574.9,-0.54,2043.0,1172413.5,-1
2026-05-07,547.6,580.9,547.6,562.0,2.63,24010.0,13424744.0,1
2026-05-08,562.0,577.9,562.0,577.9,2.83,3928.0,2261145.3,1
2026-05-11,580.0,585.0,569.0,580.0,0.0,18550.0,10642849.7,0
2026-05-12,582.0,583.5,570.0,577.9,-0.7,9049.0,5204787.8,-1
2026-05-13,577.9,577.9,562.3,575.0,-0.5,4549.0,2567076.3,-1
2026-05-14,575.0,575.0,560.4,573.9,-0.19,2678.0,1524802.0,-1
2026-05-15,570.0,580.0,560.0,567.0,-0.53,7171.0,4047647.8,-1
2026-05-18,595.2,595.2,560.6,564.0,-5.24,3289.0,1852135.5,-1
2026-05-19,565.0,565.0,558.1,563.9,-0.19,8379.0,4694371.1,-1
2026-05-20,565.0,569.0,560.0,563.9,-0.19,10885.0,6106920.2,-1
2026-05-21,563.0,572.0,563.0,572.0,1.6,2717.0,1541825.9,1
2026-05-22,572.0,582.8,568.0,575.0,0.52,12156.0,7064807.7,1
2026-05-25,582.0,590.0,580.0,586.0,0.69,8202.0,4796745.8,1
2026-05-26,585.0,585.0,572.7,583.9,-0.19,3948.0,2274894.7,-1
2026-05-27,574.0,585.0,569.0,574.0,0.0,29737.0,17001280.5,0
2026-06-01,580.0,620.0,575.0,600.0,3.45,44349.0,26666593.0,1
2026-06-02,593.5,614.0,593.5,614.0,3.45,21096.0,12766245.5,1
2026-06-03,620.0,678.0,610.0,650.0,4.84,87258.0,56914989.9,1
2026-06-04,650.0,680.0,646.0,660.0,1.54,67893.0,44822983.1,1
2026-06-05,650.0,759.0,631.1,647.0,-0.46,30358.0,19944384.2,-1
2026-06-08,625.0,655.9,625.0,640.0,2.4,24097.0,15448232.5,1
2026-06-09,640.0,644.0,620.0,640.0,0.0,25799.0,16268339.7,0
2026-06-10,640.0,644.0,624.0,636.0,-0.62,6837.0,4361290.7,-1
2026-06-11,636.1,648.0,631.0,636.8,0.11,9962.0,6356865.3,1
2026-06-12,622.0,640.0,622.0,636.0,2.25,3357.0,2128214.1,1
2026-06-15,636.0,636.0,620.0,625.0,-1.73,10421.0,6517037.4,-1
2026-06-16,625.0,627.0,611.1,622.0,-0.48,9683.0,5974474.6,-1
2026-06-17,615.0,624.0,612.2,618.9,0.63,8621.0,5292280.2,1
2026-06-18,649.0,649.0,611.0,612.0,-5.7,6673.0,4090519.8,-1
2026-06-19,624.0,624.0,603.0,604.0,-3.21,7455.0,4505605.5,-1
2026-06-22,610.0,620.0,605.0,619.9,1.62,5653.0,3456242.1,1
2026-06-23,607.5,613.0,601.4,610.0,0.41,4224.0,2551648.7,1
2026-06-24,619.8,619.8,592.0,602.9,-2.73,6332.0,3803236.6,-1
2026-06-25,601.0,609.9,596.5,599.9,-0.18,4169.0,2497490.0,-1
2026-06-26,600.0,600.0,590.2,594.9,-0.85,5560.0,3303283.2,-1
2026-06-29,590.0,603.5,586.0,587.0,-0.51,7543.0,4466631.7,-1
2026-06-30,582.0,583.0,572.0,580.0,-0.34,6598.0,3796934.7,-1
2026-07-01,576.3,595.0,576.3,590.0,2.38,3062.0,1804611.0,1
2026-07-02,578.0,587.0,575.3,586.0,1.38,3855.0,2228452.0,1
2026-07-03,590.0,595.0,580.1,590.0,0.0,7141.0,4225946.7,0
2026-07-06,577.1,587.5,577.1,577.7,0.1,640.0,371748.2,1
2026-07-07,570.0,591.2,570.0,583.0,2.28,6055.0,3543547.8,1
2026-07-08,581.0,582.0,560.0,574.0,-1.2,65302.0,36711720.3,-1
2026-07-09,580.0,580.0,562.1,575.0,-0.86,6286.0,3602187.0,-1
2026-07-10,575.0,575.0,566.2,569.8,-0.9,4916.0,2791631.6,-1
2026-07-13,570.0,570.0,555.0,565.0,-0.88,56368.0,31825592.5,-1
2026-07-14,580.0,580.0,546.0,575.0,-0.86,11306.0,6268742.1,-1
2026-07-15,575.0,583.0,570.0,574.5,-0.09,4425.0,2558242.4,-1
2026-07-16,603.0,603.0,555.5,558.0,-7.46,9654.0,5443973.3,-1
2026-07-17,565.0,598.0,565.0,578.1,2.32,37975.0,21947457.6,1
2026-07-20,589.9,606.6,588.0,603.0,2.22,20230.0,12029134.1,1
2026-07-21,600.0,604.0,588.0,598.0,-0.33,21712.0,12910623.0,-1
2026-07-22,600.0,610.0,588.1,594.0,-1.0,18309.0,10956641.1,-1
2026-07-23,588.0,595.0,582.0,595.0,1.19,17184.0,10104966.6,1
2026-07-24,608.8,609.0,595.0,603.9,-0.8,10772.0,6445811.2,-1
2026-07-27,603.0,603.0,589.0,589.0,-2.32,8393.0,4971280.8,-1
2026-07-28,571.7,595.0,571.4,592.0,3.55,5855.0,3409316.6,1
2026-07-29,589.0,590.0,578.1,590.0,0.17,10656.0,6209997.7,1
