published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-23,590.00,647.00,601.00,647.00,0.00,109.00,68741.00,0
2011-06-26,647.00,659.00,659.00,659.00,0.00,59.00,38881.00,0
2011-06-29,659.00,672.00,659.00,659.00,0.00,220.00,145240.00,0
2011-06-30,659.00,646.00,640.00,640.00,0.00,250.00,160600.00,0
2011-07-03,640.00,628.00,616.00,616.00,0.00,290.00,179960.00,0
2011-07-04,616.00,605.00,605.00,605.00,0.00,143.00,86515.00,0
2011-07-06,605.00,600.00,600.00,600.00,0.00,20.00,12000.00,0
2011-07-12,600.00,599.00,577.00,599.00,0.00,95.00,55860.00,0
2011-07-13,599.00,588.00,577.00,577.00,0.00,30.00,17475.00,0
2011-07-14,577.00,566.00,566.00,566.00,0.00,30.00,16980.00,0
2011-07-18,566.00,577.00,577.00,577.00,0.00,17.00,9809.00,0
2011-07-20,577.00,600.00,588.00,600.00,0.00,641.00,377952.00,0
2011-07-21,600.00,600.00,590.00,591.00,0.00,125.00,74295.00,0
2011-07-24,591.00,585.00,585.00,585.00,0.00,23.00,13455.00,0
2011-07-25,585.00,577.00,575.00,577.00,0.00,55.00,31675.00,0
2011-07-31,577.00,577.00,577.00,577.00,0.00,453.00,261381.00,0
2011-08-02,577.00,610.00,588.00,610.00,0.00,62.00,37116.00,0
2011-08-03,610.00,601.00,601.00,601.00,0.00,125.00,75125.00,0
2011-08-08,601.00,600.00,600.00,600.00,0.00,156.00,93600.00,0
2011-08-09,600.00,600.00,595.00,600.00,0.00,306.00,182250.00,0
2011-08-16,600.00,610.00,610.00,610.00,0.00,345.00,210450.00,0
2011-08-17,610.00,610.00,610.00,610.00,0.00,30.00,18300.00,0
2011-08-23,610.00,601.00,598.00,601.00,0.00,120.00,71865.00,0
2011-08-24,601.00,600.00,600.00,600.00,0.00,100.00,60000.00,0
2011-08-28,600.00,590.00,580.00,580.00,0.00,75.00,43650.00,0
2011-08-29,580.00,570.00,570.00,570.00,0.00,2655.00,1513350.00,0
2011-08-30,570.00,559.00,559.00,559.00,0.00,12.00,6708.00,0
2011-09-01,559.00,570.00,559.00,570.00,0.00,375.00,213585.00,0
2011-09-04,570.00,570.00,570.00,570.00,0.00,30.00,17100.00,0
2011-09-06,570.00,560.00,560.00,560.00,0.00,27.00,15120.00,0
2011-09-07,560.00,550.00,550.00,550.00,0.00,60.00,33000.00,0
2011-09-13,550.00,550.00,539.00,539.00,0.00,147.00,79395.00,0
2011-09-18,539.00,529.00,529.00,529.00,0.00,45.00,23805.00,0
2011-09-19,529.00,525.00,525.00,525.00,0.00,15.00,7875.00,0
2011-09-25,525.00,545.00,535.00,545.00,0.00,40.00,21600.00,0
2011-09-26,545.00,535.00,535.00,535.00,0.00,42.00,22470.00,0
2011-09-29,535.00,545.00,545.00,545.00,0.00,15.00,8175.00,0
2011-10-09,545.00,545.00,545.00,545.00,0.00,12.00,6540.00,0
2011-10-10,545.00,545.00,545.00,545.00,0.00,15.00,8175.00,0
2011-10-24,545.00,555.00,555.00,555.00,0.00,30.00,16650.00,0
2011-11-02,555.00,565.00,565.00,565.00,0.00,20.00,11300.00,0
2011-11-03,565.00,595.00,576.00,595.00,0.00,50.00,29400.00,0
2011-11-06,595.00,606.00,596.00,606.00,0.00,34.00,20364.00,0
2011-11-08,606.00,615.00,610.00,615.00,0.00,225.00,137450.00,0
2011-11-09,615.00,615.00,603.00,615.00,0.00,133.00,81555.00,0
2011-11-10,615.00,664.00,620.00,660.00,0.00,635.00,416410.00,0
2011-11-13,660.00,673.00,670.00,670.00,0.00,414.00,278002.00,0
2011-11-14,670.00,657.00,635.00,635.00,0.00,224.00,146608.00,0
2011-11-15,635.00,623.00,600.00,600.00,0.00,4020.00,2412340.00,0
2011-11-16,600.00,610.00,600.00,600.00,0.00,788.00,473800.00,0
2011-11-17,600.00,612.00,600.00,612.00,0.00,2015.00,1209180.00,0
2011-11-20,612.00,600.00,600.00,600.00,0.00,840.00,504000.00,0
2011-11-21,600.00,610.00,601.00,610.00,0.00,27.00,16362.00,0
2011-11-24,610.00,601.00,590.00,590.00,0.00,117.00,69712.00,0
2011-11-27,590.00,601.00,601.00,601.00,0.00,24.00,14424.00,0
2011-11-28,601.00,602.00,602.00,602.00,0.00,50.00,30100.00,0
2011-12-06,602.00,606.00,595.00,606.00,0.00,503.00,300538.00,0
2011-12-07,606.00,605.00,600.00,600.00,0.00,686.00,414284.00,0
2011-12-15,600.00,589.00,589.00,589.00,0.00,24.00,14136.00,0
2011-12-20,589.00,590.00,590.00,590.00,0.00,24.00,14160.00,0
2011-12-27,590.00,579.00,579.00,579.00,0.00,24.00,13896.00,0
