published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-19,284.00,279.00,279.00,279.00,0.00,15.00,4185.00,0
2011-04-20,279.00,284.00,284.00,284.00,0.00,494.00,140296.00,0
2011-04-21,284.00,280.00,280.00,280.00,0.00,979.00,274120.00,0
2011-04-27,280.00,275.00,270.00,270.00,0.00,1346.00,364650.00,0
2011-05-02,270.00,265.00,255.00,255.00,0.00,1363.00,348385.00,0
2011-05-05,255.00,255.00,255.00,255.00,0.00,1190.00,303450.00,0
2011-05-12,255.00,260.00,260.00,260.00,0.00,450.00,117000.00,0
2011-05-15,260.00,270.00,265.00,270.00,0.00,467.00,124605.00,0
2011-05-19,270.00,270.00,270.00,270.00,0.00,1545.00,417150.00,0
2011-05-22,270.00,273.00,273.00,273.00,0.00,15.00,4095.00,0
2011-05-23,273.00,278.00,273.00,273.00,0.00,165.00,45395.00,0
2011-05-24,273.00,268.00,268.00,268.00,0.00,228.00,61104.00,0
2011-05-25,268.00,273.00,268.00,268.00,0.00,283.00,76284.00,0
2011-05-26,268.00,278.00,273.00,278.00,0.00,299.00,82427.00,0
2011-05-30,278.00,289.00,274.00,289.00,0.00,355.00,99775.00,0
2011-05-31,289.00,304.00,294.00,304.00,0.00,333.00,99238.00,0
2011-06-01,304.00,328.00,310.00,328.00,0.00,595.00,189128.00,0
2011-06-02,328.00,346.00,330.00,346.00,0.00,1079.00,365048.00,0
2011-06-05,346.00,340.00,340.00,340.00,0.00,10.00,3400.00,0
2011-06-21,328.00,328.00,322.00,328.00,0.00,222.00,71616.00,0
2011-07-10,328.00,334.00,334.00,334.00,0.00,144.00,48096.00,0
2011-07-24,334.00,328.00,322.00,322.00,0.00,70.00,22630.00,0
2011-07-27,322.00,316.00,310.00,310.00,0.00,110.00,34460.00,0
2011-07-28,310.00,304.00,298.00,298.00,0.00,330.00,99528.00,0
2011-08-01,298.00,298.00,293.00,298.00,0.00,314.00,92252.00,0
2011-08-02,298.00,293.00,288.00,288.00,0.00,121.00,35123.00,0
2011-08-03,288.00,289.00,289.00,289.00,0.00,40.00,11560.00,0
2011-08-07,289.00,285.00,285.00,285.00,0.00,225.00,64125.00,0
2011-08-11,285.00,285.00,285.00,285.00,0.00,55.00,15675.00,0
2011-08-16,285.00,280.00,280.00,280.00,0.00,7000.00,1960000.00,0
2011-08-22,280.00,280.00,280.00,280.00,0.00,20600.00,5768000.00,0
2011-08-24,280.00,285.00,285.00,285.00,0.00,132.00,37620.00,0
2011-08-25,285.00,290.00,290.00,290.00,0.00,277.00,80330.00,0
2011-08-28,290.00,290.00,290.00,290.00,0.00,264.00,76560.00,0
2011-08-29,290.00,285.00,285.00,285.00,0.00,30.00,8550.00,0
2011-09-04,285.00,280.00,280.00,280.00,0.00,20.00,5600.00,0
2011-09-06,280.00,306.00,285.00,306.00,0.00,366.00,108786.00,0
2011-09-07,306.00,336.00,312.00,336.00,0.00,1103.00,357474.00,0
2011-09-08,336.00,369.00,330.00,369.00,0.00,2917.00,988493.00,0
2011-09-12,369.00,362.00,342.00,342.00,0.00,335.00,117150.00,0
2011-09-19,342.00,336.00,324.00,324.00,0.00,267.00,87570.00,0
2011-09-20,324.00,330.00,318.00,330.00,0.00,729.00,236940.00,0
2011-09-21,330.00,342.00,324.00,342.00,0.00,961.00,320538.00,0
2011-09-25,342.00,336.00,325.00,325.00,0.00,15787.00,5149595.00,0
2011-09-26,325.00,351.00,330.00,338.00,0.00,16097.00,5542764.00,0
2011-09-27,338.00,335.00,333.00,333.00,0.00,700.00,233500.00,0
2011-10-23,333.00,297.00,287.00,297.00,0.00,390.00,114680.00,0
2011-10-31,297.00,302.00,302.00,302.00,0.00,10.00,3020.00,0
2011-11-03,302.00,300.00,300.00,300.00,0.00,2121.00,636300.00,0
2011-11-06,300.00,301.00,301.00,301.00,0.00,150.00,45150.00,0
2011-11-08,301.00,325.00,301.00,301.00,0.00,786.00,242202.00,0
2011-11-10,301.00,300.00,300.00,300.00,0.00,264.00,79200.00,0
2011-11-13,300.00,312.00,306.00,312.00,0.00,1720.00,530040.00,0
2011-11-15,312.00,312.00,310.00,310.00,0.00,810.00,251920.00,0
2011-11-16,310.00,316.00,316.00,316.00,0.00,264.00,83424.00,0
2011-11-20,316.00,328.00,320.00,322.00,0.00,8348.00,2732080.00,0
2011-11-21,322.00,328.00,328.00,328.00,0.00,10.00,3280.00,0
2011-11-22,328.00,334.00,334.00,334.00,0.00,10.00,3340.00,0
2011-11-23,334.00,328.00,320.00,320.00,0.00,1754.00,567580.00,0
2011-11-24,320.00,331.00,325.00,331.00,0.00,6110.00,2020430.00,0
2011-11-27,331.00,337.00,327.00,327.00,0.00,86.00,28487.00,0
2011-11-28,327.00,327.00,327.00,327.00,0.00,99.00,32373.00,0
2011-12-07,327.00,327.00,320.00,320.00,0.00,396.00,127898.00,0
2011-12-08,320.00,320.00,315.00,315.00,0.00,1143.00,360265.00,0
2011-12-15,315.00,310.00,306.00,306.00,0.00,2000.00,614000.00,0
2011-12-20,306.00,322.00,310.00,322.00,0.00,356.00,112160.00,0
2011-12-21,322.00,344.00,328.00,344.00,0.00,135.00,45320.00,0
2011-12-22,344.00,338.00,332.00,332.00,0.00,80.00,26860.00,0
2011-12-26,332.00,354.00,338.00,354.00,0.00,150.00,51555.00,0
2011-12-27,354.00,354.00,354.00,354.00,0.00,234.00,82836.00,0
2011-12-28,354.00,347.00,347.00,347.00,0.00,132.00,45804.00,0
2012-01-12,347.00,373.00,353.00,373.00,0.00,130.00,47490.00,0
2012-01-16,373.00,380.00,380.00,380.00,0.00,20.00,7600.00,0
2012-02-02,380.00,373.00,373.00,373.00,0.00,50.00,18650.00,0
2012-02-06,373.00,366.00,336.00,336.00,0.00,444.00,152719.00,0
2012-02-07,336.00,330.00,324.00,330.00,0.00,412.00,135360.00,0
2012-02-12,330.00,330.00,325.00,325.00,0.00,198.00,65010.00,0
2012-02-14,325.00,325.00,325.00,325.00,0.00,66.00,21450.00,0
2012-02-15,325.00,330.00,330.00,330.00,0.00,571.00,188430.00,0
2012-02-16,330.00,330.00,327.00,330.00,0.00,298.00,98142.00,0
2012-02-21,330.00,330.00,330.00,330.00,0.00,269.00,88770.00,0
2012-02-26,330.00,345.00,336.00,345.00,0.00,1261.00,433836.00,0
2012-02-27,345.00,340.00,340.00,340.00,0.00,100.00,34000.00,0
2012-02-28,340.00,340.00,334.00,334.00,0.00,139.00,46732.00,0
2012-02-29,334.00,340.00,340.00,340.00,0.00,80.00,27200.00,0
2012-03-01,340.00,345.00,345.00,345.00,0.00,50.00,17250.00,0
2012-03-05,345.00,339.00,334.00,334.00,0.00,676.00,226284.00,0
2012-03-06,334.00,334.00,330.00,330.00,0.00,1274.00,421090.00,0
2012-03-11,330.00,330.00,330.00,330.00,0.00,620.00,204600.00,0
2012-03-12,330.00,330.00,330.00,330.00,0.00,200.00,66000.00,0
2012-03-13,330.00,330.00,330.00,330.00,0.00,1393.00,459690.00,0
2012-03-18,330.00,332.00,318.00,318.00,0.00,665.00,218230.00,0
2012-03-19,318.00,324.00,320.00,320.00,0.00,590.00,189364.00,0
2012-03-25,320.00,314.00,314.00,314.00,0.00,176.00,55264.00,0
2012-03-27,314.00,326.00,320.00,326.00,0.00,196.00,63836.00,0
2012-03-28,326.00,330.00,330.00,330.00,0.00,1083.00,357390.00,0
2012-04-03,330.00,330.00,330.00,330.00,0.00,185.00,61050.00,0
2012-04-04,330.00,334.00,330.00,330.00,0.00,982.00,326060.00,0
2012-04-08,330.00,324.00,324.00,324.00,0.00,54.00,17496.00,0
2012-04-11,324.00,330.00,330.00,330.00,0.00,50.00,16500.00,0
2012-04-12,330.00,335.00,335.00,335.00,0.00,50.00,16750.00,0
2012-04-18,335.00,353.00,341.00,353.00,0.00,1545.00,533025.00,0
2012-04-19,353.00,367.00,351.00,351.00,0.00,294.00,104738.00,0
2012-04-22,351.00,358.00,358.00,358.00,0.00,117.00,41886.00,0
2012-04-24,358.00,381.00,365.00,381.00,0.00,1707.00,637545.00,0
2012-04-26,381.00,388.00,388.00,388.00,0.00,20.00,7760.00,0
2012-04-29,388.00,395.00,395.00,395.00,0.00,22.00,8690.00,0
2012-04-30,395.00,410.00,402.00,410.00,0.00,233.00,95266.00,0
2012-05-03,410.00,438.00,430.00,438.00,0.00,22.00,9556.00,0
2012-05-07,438.00,438.00,438.00,438.00,0.00,50000.00,21900000.00,0
2012-05-13,438.00,463.00,446.00,463.00,0.00,300.00,136300.00,0
2012-05-15,463.00,481.00,472.00,481.00,0.00,200.00,95300.00,0
2012-05-16,481.00,499.00,490.00,499.00,0.00,119.00,59210.00,0
2012-05-17,499.00,528.00,508.00,528.00,0.00,433.00,223294.00,0
2012-05-20,528.00,558.00,537.00,537.00,0.00,625.00,339985.00,0
2012-05-21,537.00,546.00,546.00,546.00,0.00,58.00,31668.00,0
2012-06-07,546.00,553.00,553.00,553.00,0.00,152.00,84056.00,0
2012-06-11,553.00,560.00,560.00,560.00,0.00,36.00,20160.00,0
2012-07-11,560.00,549.00,549.00,549.00,0.00,100.00,54900.00,0
2012-07-12,549.00,539.00,529.00,529.00,0.00,76.00,40764.00,0
2012-07-16,529.00,539.00,539.00,539.00,0.00,79.00,42581.00,0
2012-07-18,539.00,529.00,519.00,519.00,0.00,518.00,273182.00,0
2012-07-19,519.00,535.00,529.00,535.00,0.00,200.00,106400.00,0
2012-07-22,535.00,525.00,482.00,482.00,0.00,3982.00,1980692.00,0
2012-07-23,482.00,486.00,450.00,486.00,0.00,16450.00,7433028.00,0
2012-07-24,486.00,477.00,477.00,477.00,0.00,50.00,23850.00,0
2012-07-26,477.00,470.00,470.00,470.00,0.00,50.00,23500.00,0
2012-07-29,470.00,470.00,461.00,470.00,0.00,792.00,369336.00,0
2012-07-30,470.00,479.00,471.00,479.00,0.00,515.00,243166.00,0
2012-07-31,479.00,375.00,375.00,375.00,0.00,132.00,49500.00,0
2012-08-01,375.00,387.00,380.00,387.00,0.00,634.00,243688.00,0
2012-08-05,387.00,394.00,391.00,391.00,0.00,179.00,70229.00,0
2012-09-02,391.00,401.00,395.00,401.00,0.00,398.00,158380.00,0
2012-09-03,401.00,400.00,400.00,400.00,0.00,132.00,52800.00,0
2012-09-04,400.00,400.00,400.00,400.00,0.00,239.00,95600.00,0
2012-09-05,400.00,415.00,397.00,415.00,0.00,4332.00,1743542.00,0
2012-09-06,415.00,431.00,407.00,431.00,0.00,1057.00,434983.00,0
2012-09-09,431.00,473.00,439.00,470.00,0.00,4544.00,2089150.00,0
2012-09-10,470.00,479.00,462.00,472.00,0.00,1513.00,706960.00,0
2012-09-11,472.00,475.00,464.00,475.00,0.00,6749.00,3191294.00,0
2012-09-12,475.00,478.00,461.00,470.00,0.00,8358.00,3900559.00,0
2012-09-13,470.00,495.00,479.00,495.00,0.00,311.00,151156.00,0
2012-09-16,495.00,530.00,504.00,530.00,0.00,239.00,122237.00,0
2012-09-17,530.00,541.00,530.00,540.00,0.00,748.00,400456.00,0
