published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,10.1,10.15,10.1,10.15,0.5,1100.0,11160.0,1
2025-12-09,10.1,10.1,10.1,10.1,0.0,500.0,5050.0,0
2025-12-10,10.3,10.3,10.3,10.3,0.0,1000.0,10300.0,0
2025-12-11,10.11,10.31,10.11,10.31,1.98,2600.0,26786.0,1
2025-12-14,10.5,10.5,10.29,10.29,-2.0,4700.0,48630.0,-1
2025-12-15,10.49,10.49,10.1,10.3,-1.81,2400.0,24649.0,-1
2025-12-16,10.1,10.28,10.1,10.28,1.78,10060.0,102812.8,1
2025-12-17,10.08,10.48,10.08,10.48,3.97,70580.0,737520.5,1
2025-12-18,10.3,10.3,10.16,10.16,-1.36,36325.0,373401.0,-1
2025-12-21,10.2,10.2,10.2,10.2,0.0,10400.0,106080.0,0
2025-12-22,10.4,10.4,10.2,10.2,-1.92,2110.0,21904.0,-1
2025-12-23,10.31,10.35,10.2,10.35,0.39,60160.0,618198.0,1
2025-12-24,10.17,10.17,10.06,10.06,-1.08,76130.0,772569.5,-1
2025-12-28,10.2,10.3,10.03,10.3,0.98,30000.0,307023.0,1
2025-12-29,10.3,10.3,10.15,10.15,-1.46,11200.0,115230.0,-1
2025-12-31,10.35,10.5,10.35,10.5,1.45,89700.0,935415.6,1
2026-01-01,10.3,10.35,10.3,10.35,0.49,13100.0,135185.0,1
2026-01-04,10.18,10.18,10.18,10.18,0.0,1500.0,15270.0,0
2026-01-05,10.18,10.49,10.18,10.49,3.05,45120.0,468582.8,1
2026-01-06,10.49,10.49,10.3,10.49,0.0,13300.0,139498.0,0
2026-01-07,10.55,10.55,10.31,10.31,-2.27,34700.0,359889.65,-1
2026-01-08,10.35,10.35,10.31,10.31,-0.39,4900.0,50559.0,-1
2026-01-12,10.31,10.5,10.31,10.5,1.84,12420.0,128069.2,1
2026-01-13,10.5,10.5,10.29,10.29,-2.0,300.0,3108.0,-1
2026-01-14,10.47,10.47,10.47,10.47,0.0,5000.0,52350.0,0
2026-01-18,10.27,10.66,10.23,10.58,3.02,7880.0,83205.0,1
2026-01-20,10.78,10.78,10.78,10.78,0.0,5737.0,61844.86,0
2026-01-21,10.57,10.57,10.31,10.31,-2.46,12520.0,129711.2,-1
2026-01-22,10.35,10.35,10.26,10.26,-0.87,600.0,6201.0,-1
2026-01-25,10.21,10.3,10.21,10.3,0.88,4400.0,45143.0,1
2026-01-26,10.19,10.49,10.19,10.49,2.94,1787.0,18485.63,1
2026-01-27,10.35,10.35,10.35,10.35,0.0,1100.0,11385.0,0
2026-01-28,10.53,10.53,10.53,10.53,0.0,5000.0,52650.0,0
2026-01-29,10.42,10.43,10.42,10.43,0.1,10200.0,106345.0,1
2026-02-01,10.24,10.44,10.24,10.44,1.95,1300.0,13552.0,1
2026-02-02,10.49,10.5,10.4,10.44,-0.48,4790.0,49939.4,-1
2026-02-03,10.61,10.61,10.4,10.4,-1.98,5920.0,62593.0,-1
2026-02-04,10.3,10.3,10.3,10.3,0.0,973.0,10021.9,0
2026-02-05,10.26,10.46,10.26,10.46,1.95,500.0,5210.0,1
2026-02-08,10.31,10.51,10.31,10.5,1.84,600.0,6227.0,1
2026-02-09,10.5,10.5,10.31,10.31,-1.81,6800.0,71381.0,-1
2026-02-10,10.28,10.51,10.25,10.51,2.24,4208.0,43943.4,1
2026-02-11,10.3,10.3,10.13,10.26,-0.39,52700.0,541534.0,-1
2026-02-12,10.46,10.46,10.25,10.25,-2.01,1990.0,20437.9,-1
2026-02-16,10.11,10.45,10.11,10.45,3.36,5270.0,54762.5,1
2026-02-17,10.25,10.25,10.07,10.17,-0.78,990.0,10061.3,-1
2026-02-22,10.3,10.37,10.3,10.3,0.0,34000.0,350270.0,0
2026-02-23,10.1,10.49,10.1,10.49,3.86,3600.0,37535.0,1
2026-02-24,10.69,10.83,10.69,10.79,0.94,950.0,10208.5,1
2026-02-25,10.58,10.58,10.35,10.4,-1.7,17270.0,179488.4,-1
2026-02-26,10.25,10.3,10.25,10.3,0.49,800.0,8218.0,1
2026-03-01,10.12,10.13,10.12,10.13,0.1,4100.0,41532.0,1
2026-03-03,10.33,10.53,10.33,10.53,1.94,4120.0,42871.5,1
2026-03-10,10.65,10.81,10.35,10.75,0.94,57500.0,607192.0,1
2026-03-11,10.6,10.6,10.34,10.36,-2.26,21835.0,228106.6,-1
2026-03-12,10.2,10.55,10.2,10.34,1.37,8915.0,93100.85,1
2026-03-15,10.54,10.54,10.34,10.34,-1.9,39600.0,411328.0,-1
2026-03-16,10.17,10.37,10.17,10.31,1.38,1820.0,18609.4,1
2026-03-17,10.33,10.33,10.33,10.33,0.0,6100.0,63013.0,0
2026-03-19,10.14,10.54,10.14,10.38,2.37,2150.0,22273.0,1
2026-03-22,10.5,10.62,10.4,10.59,0.86,70100.0,738270.0,1
2026-03-23,10.5,10.7,10.5,10.7,1.9,5763.0,60607.1,1
2026-03-24,10.75,10.75,10.5,10.5,-2.33,48980.0,522991.0,-1
2026-03-25,10.31,10.69,10.3,10.65,3.3,34889.0,366609.85,1
2026-03-26,10.7,10.7,10.49,10.7,0.0,29380.0,311364.2,0
