published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1304.0,1304.0,1279.1,1285.0,-1.46,1874.0,2403624.2,-1
2025-12-09,1280.2,1336.0,1280.2,1295.0,1.16,983.0,1276982.9,1
2025-12-10,1275.0,1300.0,1270.0,1281.0,0.47,2874.0,3713763.5,1
2025-12-11,1281.0,1281.0,1278.0,1280.0,-0.08,2671.0,3418925.0,-1
2025-12-14,1266.0,1295.0,1265.0,1295.0,2.29,1589.0,2026726.6,1
2025-12-15,1295.0,1295.0,1269.1,1280.0,-1.16,10297.0,13112261.3,-1
2025-12-16,1280.0,1290.0,1280.0,1290.0,0.78,412.0,528241.1,1
2025-12-17,1315.0,1319.9,1304.0,1318.8,0.29,5274.0,6934185.6,1
2025-12-18,1320.0,1329.0,1295.0,1300.0,-1.52,7646.0,9983454.0,-1
2025-12-21,1300.0,1315.0,1276.1,1288.0,-0.92,7801.0,9988708.5,-1
2025-12-22,1290.0,1290.0,1267.0,1275.0,-1.16,2795.0,3561895.5,-1
2025-12-23,1275.0,1295.0,1275.0,1291.5,1.29,229.0,292790.0,1
2025-12-24,1273.0,1292.0,1266.0,1275.0,0.16,7531.0,9682390.9,1
2025-12-28,1299.0,1313.0,1280.0,1310.0,0.85,3014.0,3919835.0,1
2025-12-29,1293.2,1330.0,1293.2,1317.0,1.84,2392.0,3151699.7,1
2025-12-31,1336.0,1336.9,1315.1,1319.1,-1.26,3398.0,4490102.2,-1
2026-01-01,1305.9,1318.9,1296.2,1310.0,0.31,4193.0,5459246.9,1
2026-01-04,1310.0,1317.0,1304.0,1310.0,0.0,3290.0,4320179.0,0
2026-01-05,1329.0,1329.0,1299.0,1305.0,-1.81,31925.0,41825629.8,-1
2026-01-06,1164.0,1173.0,1150.1,1150.1,-1.19,6053.0,7006432.6,-1
2026-01-07,1154.0,1158.0,1143.2,1147.8,-0.54,5298.0,6093826.9,-1
2026-01-08,1150.0,1150.0,1111.0,1136.9,-1.14,9377.0,10635628.9,-1
2026-01-12,1125.0,1140.0,1125.0,1137.0,1.07,3780.0,4287206.0,1
2026-01-13,1137.0,1137.0,1094.0,1115.0,-1.93,8859.0,9798391.0,-1
2026-01-14,1129.0,1129.0,1096.1,1096.2,-2.91,5930.0,6559001.6,-1
2026-01-18,1118.1,1118.1,1086.0,1092.0,-2.33,11469.0,12572318.3,-1
2026-01-20,1113.8,1136.0,1113.8,1130.8,1.53,5115.0,5739608.9,1
2026-01-21,1147.9,1147.9,1125.2,1131.0,-1.47,2451.0,2767796.9,-1
2026-01-22,1143.5,1143.5,1115.0,1130.0,-1.18,4149.0,4662590.7,-1
2026-01-25,1130.0,1145.0,1120.0,1135.0,0.44,6548.0,7439845.7,1
2026-01-26,1148.0,1150.0,1135.2,1136.1,-1.04,6885.0,7867223.8,-1
2026-01-27,1125.0,1143.0,1113.5,1117.2,-0.69,5180.0,5833986.0,-1
2026-01-28,1117.2,1131.8,1117.2,1126.0,0.79,1093.0,1232922.2,1
2026-01-29,1120.0,1121.0,1103.2,1105.1,-1.33,3430.0,3814539.9,-1
2026-02-01,1106.0,1111.0,1096.0,1105.2,-0.07,7226.0,7976760.0,-1
2026-02-02,1108.0,1116.0,1105.0,1107.0,-0.09,4088.0,4520992.3,-1
2026-02-03,1125.0,1125.0,1106.8,1106.8,-1.62,6700.0,7419366.0,-1
2026-02-04,1106.0,1107.1,1106.0,1106.3,0.03,1183.0,1308831.1,1
2026-02-05,1110.0,1125.0,1106.0,1106.6,-0.31,4453.0,4940466.3,-1
2026-02-08,1110.5,1124.9,1110.0,1111.0,0.05,1375.0,1531666.6,1
2026-02-09,1116.0,1124.9,1111.0,1111.0,-0.45,2691.0,2994748.7,-1
2026-02-10,1090.0,1114.0,1090.0,1110.0,1.83,2121.0,2349261.4,1
2026-02-11,1115.9,1126.8,1108.0,1120.0,0.37,3140.0,3511421.3,1
2026-02-12,1121.0,1134.5,1114.0,1114.0,-0.62,3495.0,3914897.9,-1
2026-02-16,1110.0,1130.0,1110.0,1125.0,1.35,4565.0,5126655.3,1
2026-02-17,1112.5,1128.0,1112.5,1119.0,0.58,3853.0,4329863.5,1
2026-02-22,1100.0,1125.0,1100.0,1123.0,2.09,2286.0,2551059.0,1
2026-02-23,1116.2,1126.0,1116.2,1122.2,0.54,1639.0,1839083.2,1
2026-02-24,1108.8,1135.0,1108.8,1130.0,1.91,760.0,853444.6,1
2026-02-25,1130.0,1130.0,1120.5,1125.0,-0.44,1631.0,1836197.5,-1
2026-02-26,1120.4,1130.0,1120.3,1122.7,0.21,1105.0,1245036.9,1
2026-03-01,1122.69,1130.0,1115.0,1130.0,0.65,1537.0,1726872.43,1
2026-03-03,1128.0,1145.0,1126.0,1145.0,1.51,2310.0,2625234.0,1
2026-03-09,1167.9,1167.9,1167.9,1167.9,0.0,10.0,11679.0,0
2026-03-10,1191.2,1214.9,1180.0,1187.0,-0.35,14402.0,17178828.7,-1
2026-03-11,1190.0,1200.0,1181.0,1183.0,-0.59,8599.0,10236417.1,-1
2026-03-12,1180.0,1198.0,1178.0,1183.0,0.25,1348.0,1596965.7,1
2026-03-15,1185.0,1190.0,1183.0,1185.0,0.0,3073.0,3643048.7,0
2026-03-16,1177.5,1185.0,1177.0,1180.0,0.21,4709.0,5562399.0,1
2026-03-17,1181.0,1192.0,1175.1,1185.0,0.34,3444.0,4061997.5,1
2026-03-19,1190.0,1197.0,1169.1,1190.0,0.0,6481.0,7679658.8,0
2026-03-22,1167.0,1230.0,1167.0,1215.0,4.11,22022.0,26725101.1,1
2026-03-23,1208.5,1230.0,1208.5,1221.0,1.03,6974.0,8488985.9,1
2026-03-24,1206.1,1242.0,1202.0,1207.0,0.07,6859.0,8331060.0,1
2026-03-25,1200.0,1208.8,1195.0,1199.0,-0.08,5247.0,6294648.5,-1
2026-03-26,1185.1,1220.0,1185.1,1205.0,1.68,4013.0,4835716.6,1
2026-03-29,1205.0,1206.0,1190.0,1190.0,-1.24,13587.0,16231081.7,-1
2026-03-30,1182.0,1188.0,1172.0,1180.0,-0.17,10403.0,12288330.7,-1
2026-03-31,1203.0,1225.0,1160.0,1182.9,-1.67,9702.0,11455792.2,-1
2026-04-01,1182.9,1182.9,1163.0,1165.0,-1.51,8038.0,9414738.9,-1
2026-04-02,1162.19,1183.0,1137.0,1160.0,-0.19,3072.0,3548112.3,-1
2026-04-05,1137.0,1142.0,1114.0,1114.0,-2.02,8272.0,9254770.7,-1
2026-04-06,1115.2,1155.0,1114.0,1135.0,1.78,11682.0,13138005.5,1
2026-04-07,1140.0,1150.0,1122.1,1137.0,-0.26,4308.0,4887704.4,-1
2026-04-08,1126.0,1155.0,1126.0,1150.0,2.13,7382.0,8376541.4,1
2026-04-09,1130.0,1164.0,1130.0,1150.3,1.8,5947.0,6853747.7,1
2026-04-10,1151.0,1164.0,1147.0,1150.0,-0.09,6038.0,6944369.7,-1
2026-04-13,1150.0,1168.7,1146.0,1146.0,-0.35,3037.0,3497079.3,-1
2026-04-15,1168.0,1170.0,1132.0,1145.0,-1.97,5978.0,6842247.9,-1
2026-04-16,1145.0,1154.0,1131.0,1147.0,0.17,4689.0,5331913.9,1
2026-04-17,1131.1,1153.7,1131.1,1153.7,2.0,2154.0,2466597.3,1
2026-04-20,1153.7,1153.7,1122.3,1125.0,-2.49,2408.0,2723883.5,-1
2026-04-21,1116.1,1125.0,1105.0,1120.0,0.35,7980.0,8884543.8,1
2026-04-22,1120.0,1120.0,1100.0,1100.0,-1.79,9295.0,10253375.9,-1
2026-04-23,1100.0,1120.0,1096.5,1100.2,0.02,6528.0,7182078.6,1
2026-04-24,1100.2,1108.0,1090.0,1098.2,-0.18,7214.0,7899611.5,-1
2026-04-27,1098.2,1117.0,1090.2,1105.0,0.62,4853.0,5318469.1,1
2026-04-28,1105.0,1130.0,1105.0,1109.9,0.44,1577.0,1744990.3,1
2026-04-29,1109.9,1110.0,1097.0,1110.0,0.01,4752.0,5237543.7,1
2026-04-30,1095.0,1111.0,1090.0,1097.1,0.19,2094.0,2298949.7,1
2026-05-04,1051.9,1110.0,1051.9,1107.0,5.24,532.0,579936.7,1
2026-05-05,1090.1,1095.0,1089.0,1092.0,0.17,4065.0,4434721.6,1
2026-05-06,1090.0,1117.6,1088.0,1092.0,0.18,2973.0,3244600.3,1
2026-05-07,1092.0,1104.0,1085.0,1090.0,-0.18,4323.0,4715984.1,-1
2026-05-08,1119.0,1119.0,1083.0,1106.9,-1.08,2613.0,2868506.8,-1
2026-05-11,1120.0,1130.0,1095.0,1120.0,0.0,18801.0,20750084.4,0
2026-05-12,1120.0,1122.0,1106.0,1115.0,-0.45,10667.0,11857640.5,-1
2026-05-13,1115.0,1122.0,1106.0,1115.0,0.0,3622.0,4025098.1,0
2026-05-14,1125.0,1126.0,1110.0,1120.0,-0.44,2096.0,2344637.2,-1
2026-05-15,1120.0,1124.9,1113.2,1120.0,0.0,1435.0,1606127.4,0
2026-05-18,1120.0,1130.0,1118.0,1130.0,0.89,1931.0,2170993.5,1
