published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1310.0,1315.2,1293.1,1296.0,-1.07,40862.0,53253674.2,-1
2025-12-09,1296.0,1307.0,1291.1,1307.0,0.85,35816.0,46534196.3,1
2025-12-10,1296.0,1307.0,1280.0,1294.0,-0.15,47338.0,61058772.0,-1
2025-12-11,1283.1,1295.0,1275.0,1278.0,-0.4,36321.0,46617112.9,-1
2025-12-14,1278.0,1287.0,1253.0,1264.9,-1.03,41326.0,52373751.0,-1
2025-12-15,1240.0,1275.0,1240.0,1255.0,1.21,40875.0,51545586.8,1
2025-12-16,1268.6,1268.6,1251.1,1265.0,-0.28,14845.0,18701569.4,-1
2025-12-17,1280.0,1280.0,1250.0,1259.9,-1.57,32846.0,41506749.5,-1
2025-12-18,1285.0,1285.0,1211.0,1242.0,-3.35,36314.0,45488107.9,-1
2025-12-21,1242.1,1251.9,1230.2,1239.4,-0.22,34538.0,42833631.3,-1
2025-12-22,1230.0,1244.9,1223.0,1225.0,-0.41,18545.0,22800086.0,-1
2025-12-23,1220.0,1246.0,1219.0,1234.4,1.18,19030.0,23413310.4,1
2025-12-24,1249.0,1249.0,1227.0,1231.0,-1.44,18419.0,22677463.7,-1
2025-12-28,1255.0,1285.0,1237.0,1279.5,1.95,64414.0,81912603.5,1
2025-12-29,1280.0,1290.0,1255.9,1261.5,-1.45,25923.0,32891080.9,-1
2025-12-31,1275.0,1286.0,1256.0,1259.0,-1.25,49295.0,62574439.0,-1
2026-01-01,1270.0,1270.0,1245.6,1262.0,-0.63,39349.0,49211432.2,-1
2026-01-04,1269.9,1277.9,1247.0,1253.0,-1.33,53180.0,66806224.24,-1
