published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,409.0,429.0,409.0,421.0,2.93,20631.0,8641159.8,1
2025-12-09,412.6,425.0,412.6,422.0,2.28,15483.0,6500746.9,1
2025-12-10,420.0,421.0,413.1,414.0,-1.43,28946.0,12059630.5,-1
2025-12-11,412.0,419.9,412.0,414.9,0.7,13340.0,5535606.1,1
2025-12-14,410.1,416.0,410.1,411.0,0.22,15738.0,6485769.2,1
2025-12-15,411.5,415.0,410.1,411.8,0.07,15262.0,6302005.5,1
2025-12-16,417.0,434.9,410.7,433.0,3.84,58625.0,24826521.2,1
2025-12-17,438.6,440.0,426.0,428.0,-2.42,38989.0,16874384.1,-1
2025-12-18,428.0,430.0,421.0,422.0,-1.4,26838.0,11386406.4,-1
2025-12-21,415.5,431.0,415.5,420.9,1.3,20610.0,8753092.2,1
2025-12-22,418.0,425.0,415.1,416.2,-0.43,8545.0,3579224.1,-1
2025-12-23,414.5,425.0,413.0,423.9,2.27,24890.0,10423054.6,1
2025-12-24,418.0,421.0,415.6,417.0,-0.24,22502.0,9425282.7,-1
