published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,10.32,10.32,10.13,10.2,-1.16,29300.0,300678.0,-1
2025-12-09,10.08,10.2,10.08,10.2,1.19,1200.0,12191.0,1
2025-12-10,10.11,10.27,10.11,10.2,0.89,8700.0,88743.0,1
2025-12-11,10.13,10.22,10.13,10.18,0.49,600.0,6109.0,1
2025-12-14,10.13,10.24,10.13,10.19,0.59,13400.0,137059.0,1
2025-12-15,10.33,10.35,10.17,10.21,-1.16,5406.0,55546.3,-1
2025-12-16,10.35,10.35,10.21,10.3,-0.48,12516.0,128994.08,-1
2025-12-17,10.21,10.3,10.21,10.23,0.2,18000.0,184735.0,1
2025-12-18,10.23,10.25,10.23,10.25,0.2,2200.0,22542.0,1
2025-12-21,10.22,10.29,10.15,10.27,0.49,21013.0,215596.11,1
2025-12-22,10.1,10.29,10.1,10.2,0.99,1600.0,16258.0,1
2025-12-23,10.1,10.29,10.1,10.22,1.19,16427.0,168638.83,1
2025-12-24,10.2,10.42,10.1,10.1,-0.98,5700.0,58217.0,-1
2025-12-28,10.3,10.42,10.21,10.42,1.17,38737.0,399950.54,1
2025-12-29,10.42,10.42,10.27,10.27,-1.44,2361.0,24327.62,-1
2025-12-31,10.27,10.29,10.27,10.29,0.19,55300.0,568269.0,1
2026-01-01,10.26,10.4,10.25,10.25,-0.1,254900.0,2615024.0,-1
2026-01-04,10.11,10.39,10.11,10.39,2.77,254468.0,2615530.12,1
2026-01-05,10.21,10.41,10.21,10.4,1.86,101800.0,1056555.0,1
2026-01-06,10.35,10.43,10.29,10.43,0.77,525200.0,5410731.0,1
2026-01-07,10.3,10.42,10.27,10.27,-0.29,289650.0,2981809.0,-1
2026-01-08,10.45,10.45,10.32,10.35,-0.96,3799.0,39405.68,-1
2026-01-12,10.25,10.43,10.24,10.4,1.46,499870.0,5121639.1,1
2026-01-13,10.3,10.49,10.3,10.44,1.36,166400.0,1736609.0,1
2026-01-14,10.4,10.5,10.36,10.36,-0.38,107200.0,1117256.0,-1
2026-01-18,10.4,10.65,10.4,10.47,0.67,344050.0,3616504.0,1
2026-01-20,10.5,10.8,10.5,10.75,2.38,139299.0,1486915.25,1
2026-01-21,10.6,10.82,10.6,10.65,0.47,108500.0,1156126.97,1
2026-01-22,10.51,10.68,10.51,10.55,0.38,4400.0,46575.0,1
2026-01-25,10.45,10.7,10.45,10.59,1.34,62800.0,664727.8,1
2026-01-26,10.8,10.8,10.59,10.8,0.0,56359.0,608511.2,0
2026-01-27,10.82,10.82,10.61,10.65,-1.57,405323.0,4364109.0,-1
2026-01-28,10.53,10.77,10.53,10.77,2.28,10760.0,115300.2,1
2026-01-29,10.59,10.72,10.59,10.72,1.23,6950.0,74129.0,1
2026-02-01,10.73,10.86,10.65,10.86,1.21,110900.0,1197602.0,1
2026-02-02,10.67,10.7,10.67,10.7,0.28,1100.0,11761.0,1
2026-02-03,10.52,10.6,10.52,10.6,0.76,4000.0,42380.0,1
2026-02-04,10.4,10.75,10.4,10.75,3.37,21400.0,228488.0,1
2026-02-05,10.54,10.8,10.54,10.8,2.47,40870.0,440181.1,1
2026-02-08,10.7,10.8,10.61,10.62,-0.75,12800.0,137843.0,-1
2026-02-09,10.61,10.63,10.61,10.61,0.0,20500.0,217720.0,0
2026-02-10,10.61,10.75,10.61,10.61,0.0,2900.0,30783.0,0
2026-02-11,10.61,10.82,10.61,10.7,0.85,50800.0,543515.0,1
2026-02-12,10.61,10.75,10.6,10.66,0.47,175750.0,1885673.0,1
2026-02-16,10.67,10.75,10.56,10.75,0.75,18370.0,196034.5,1
2026-02-17,10.8,10.81,10.56,10.6,-1.85,1711.0,18331.91,-1
2026-02-22,10.53,10.65,10.45,10.45,-0.76,130359.0,1367931.86,-1
2026-02-23,10.41,10.5,10.41,10.5,0.86,500.0,5229.0,1
2026-02-24,10.44,10.55,10.44,10.55,1.05,26500.0,278254.0,1
2026-02-25,10.4,10.42,10.4,10.42,0.19,400.0,4162.0,1
2026-02-26,10.49,10.62,10.49,10.62,1.24,7500.0,78968.0,1
2026-03-01,10.44,10.7,10.44,10.69,2.39,23665.0,253066.85,1
2026-03-03,10.61,10.62,10.61,10.62,0.09,800.0,8490.0,1
2026-03-10,10.83,11.03,10.62,11.03,1.85,325759.0,3561791.35,1
2026-03-11,10.81,11.02,10.81,10.85,0.37,235612.0,2551741.0,1
2026-03-12,10.67,11.06,10.67,10.84,1.59,173700.0,1877136.0,1
2026-03-15,10.73,11.16,10.73,10.88,1.4,86821.0,939896.48,1
2026-03-16,10.79,10.9,10.79,10.85,0.56,7550.0,81895.0,1
2026-03-17,10.85,11.0,10.81,10.88,0.28,115700.0,1252766.0,1
2026-03-19,10.82,11.09,10.82,11.0,1.66,105669.0,1166156.44,1
2026-03-22,10.8,11.1,10.8,10.95,1.39,5511.0,60492.9,1
2026-03-23,10.85,11.13,10.85,10.92,0.65,1000.0,10961.0,1
2026-03-24,10.84,11.13,10.84,11.13,2.68,10970.0,121578.0,1
2026-03-25,10.93,11.2,10.93,10.98,0.46,324691.0,3602585.2,1
2026-03-26,11.15,11.3,10.98,11.2,0.45,37800.0,425046.7,1
2026-03-29,11.2,11.22,10.99,11.01,-1.7,157650.0,1765511.5,-1
2026-03-30,11.23,11.45,10.96,11.08,-1.34,61915.0,704359.3,-1
2026-03-31,10.87,11.2,10.87,11.1,2.12,18575.0,206382.75,1
