published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,879.9,879.9,868.0,871.0,-1.01,11256.0,9810194.3,-1
2025-12-09,871.0,874.9,864.0,869.0,-0.23,9086.0,7903886.0,-1
2025-12-10,872.0,872.0,867.0,869.0,-0.34,6652.0,5782633.8,-1
2025-12-11,868.9,870.0,865.0,870.0,0.13,8059.0,6985245.6,1
2025-12-14,877.0,877.0,865.0,872.5,-0.51,18545.0,16194027.1,-1
2025-12-15,872.5,876.0,872.5,874.0,0.17,12155.0,10631012.5,1
2025-12-16,874.0,885.0,872.1,885.0,1.26,19850.0,17503179.3,1
2025-12-17,880.1,892.0,880.1,887.0,0.78,14222.0,12631812.7,1
2025-12-18,889.8,889.8,877.2,878.7,-1.25,11553.0,10192184.4,-1
2025-12-21,875.0,882.0,873.0,879.9,0.56,10140.0,8901848.0,1
2025-12-22,875.1,880.0,875.0,875.0,-0.01,9374.0,8217145.7,-1
2025-12-23,887.0,900.0,875.2,899.0,1.35,45919.0,40919423.1,1
2025-12-24,916.9,916.9,890.0,895.4,-2.34,39968.0,35856692.7,-1
2025-12-28,909.9,909.9,896.0,906.0,-0.43,38661.0,34912329.8,-1
2025-12-29,908.0,911.0,898.0,904.8,-0.35,38244.0,34636425.7,-1
2025-12-31,909.0,909.0,900.0,905.0,-0.44,40304.0,36498409.6,-1
2026-01-01,905.0,909.0,902.2,905.0,0.0,74592.0,67568456.3,0
2026-01-04,895.0,895.0,848.5,868.0,-3.02,23309.0,20215558.6,-1
2026-01-05,860.0,864.0,856.0,857.5,-0.29,12136.0,10422554.8,-1
2026-01-06,860.0,864.9,856.0,859.0,-0.12,14097.0,12107928.0,-1
2026-01-07,860.0,864.5,856.6,858.0,-0.23,6012.0,5160363.4,-1
2026-01-08,858.0,860.0,850.0,858.0,0.0,9482.0,8122071.3,0
2026-01-12,857.0,863.0,850.0,851.4,-0.65,16784.0,14316781.8,-1
2026-01-13,853.0,858.0,845.5,846.0,-0.82,10718.0,9086945.6,-1
2026-01-14,846.0,850.0,845.1,847.0,0.12,10928.0,9252017.4,1
2026-01-18,858.0,858.0,845.0,852.0,-0.7,11299.0,9610727.3,-1
2026-01-20,863.0,867.9,852.0,859.9,-0.36,14049.0,12048765.6,-1
2026-01-21,855.1,866.0,855.1,862.9,0.91,8255.0,7129293.3,1
2026-01-22,862.0,867.7,856.1,860.0,-0.23,12001.0,10323849.7,-1
2026-01-25,860.0,874.0,860.0,868.7,1.01,37318.0,32356768.1,1
2026-01-26,878.0,879.8,860.0,869.0,-1.03,18503.0,16065357.4,-1
2026-01-27,875.0,875.0,861.0,863.0,-1.37,8502.0,7355735.9,-1
2026-01-28,862.0,865.0,858.3,860.0,-0.23,15099.0,12985881.6,-1
2026-01-29,861.0,870.0,857.4,858.5,-0.29,11566.0,9950119.9,-1
2026-02-01,870.0,870.0,853.0,856.0,-1.61,9080.0,7784000.8,-1
2026-02-02,850.0,860.0,850.0,850.0,0.0,16347.0,13944611.1,0
2026-02-03,851.0,860.0,847.0,850.9,-0.01,9721.0,8270823.9,-1
2026-02-04,834.0,865.0,834.0,852.9,2.27,10761.0,9157983.8,1
2026-02-05,850.0,860.0,850.0,853.0,0.35,8449.0,7195776.2,1
2026-02-08,855.0,860.0,848.0,850.0,-0.58,17064.0,14546845.2,-1
2026-02-09,855.0,859.9,844.0,844.0,-1.29,19259.0,16298846.0,-1
2026-02-10,845.0,848.0,840.1,845.0,0.0,15995.0,13490612.9,0
2026-02-11,861.9,861.9,843.5,847.5,-1.67,7097.0,6005186.5,-1
2026-02-12,855.0,855.0,845.0,848.0,-0.82,16335.0,13830575.5,-1
2026-02-16,854.0,855.0,840.0,848.0,-0.7,17535.0,14828752.7,-1
2026-02-17,850.0,850.0,845.0,845.0,-0.59,14321.0,12128465.8,-1
2026-02-22,845.0,850.0,845.0,845.2,0.02,10506.0,8892546.9,1
2026-02-23,847.0,859.0,845.0,855.0,0.94,10926.0,9273794.3,1
2026-02-24,855.0,858.7,850.0,853.0,-0.23,7123.0,6088720.2,-1
2026-02-25,854.0,854.0,850.0,853.0,-0.12,4753.0,4052826.7,-1
2026-02-26,870.0,870.0,853.0,855.0,-1.72,7300.0,6246213.3,-1
2026-03-01,855.0,876.0,850.0,876.0,2.46,18793.0,16174861.7,1
2026-03-03,893.5,893.5,862.0,872.0,-2.41,12203.0,10616496.9,-1
2026-03-09,889.4,924.0,880.0,880.0,-1.06,9298.0,8373842.8,-1
2026-03-10,897.6,942.5,880.0,900.0,0.27,96225.0,86579936.6,1
2026-03-11,908.0,908.0,890.0,890.5,-1.93,21122.0,18952770.6,-1
2026-03-12,890.5,895.0,876.0,887.0,-0.39,14394.0,12785535.9,-1
2026-03-15,890.0,898.0,887.0,887.9,-0.24,13675.0,12151932.6,-1
2026-03-16,893.8,893.8,870.0,877.0,-1.88,16799.0,14782587.0,-1
2026-03-17,879.4,886.0,870.0,879.2,-0.02,8196.0,7196499.8,-1
2026-03-19,886.0,890.0,881.0,889.0,0.34,28123.0,24900160.6,1
2026-03-22,895.0,909.9,895.0,909.9,1.66,67464.0,60960093.9,1
2026-03-23,920.0,928.0,900.1,908.0,-1.3,59765.0,54567882.3,-1
2026-03-24,920.0,920.0,908.0,914.0,-0.65,18877.0,17225044.2,-1
2026-03-25,932.0,932.0,895.0,895.0,-3.97,16089.0,14545111.1,-1
2026-03-26,877.1,917.0,877.1,904.9,3.17,40620.0,36677601.0,1
2026-03-29,905.0,907.0,890.0,891.9,-1.45,33019.0,29644359.9,-1
2026-03-30,891.0,891.0,875.0,875.0,-1.8,20255.0,17895452.3,-1
2026-03-31,884.9,890.0,870.0,877.0,-0.89,13480.0,11808086.8,-1
2026-04-01,880.0,880.0,866.0,868.0,-1.36,22437.0,19584172.4,-1
2026-04-02,850.7,875.0,850.7,866.0,1.8,17213.0,14939199.1,1
2026-04-05,883.3,883.3,854.2,858.5,-2.81,17865.0,15368254.1,-1
2026-04-06,869.9,879.5,861.0,877.0,0.82,20360.0,17797448.8,1
2026-04-07,890.0,890.0,873.0,877.0,-1.46,10567.0,9292745.3,-1
2026-04-08,894.5,894.5,872.2,876.0,-2.07,15283.0,13433132.0,-1
2026-04-09,878.3,884.0,875.0,879.8,0.17,35471.0,31101423.4,1
2026-04-10,890.0,890.0,875.5,880.0,-1.12,18347.0,16149296.6,-1
2026-04-13,870.4,887.3,869.9,870.0,-0.05,12536.0,10992674.2,-1
2026-04-15,883.0,883.0,873.0,879.0,-0.45,9051.0,7948408.9,-1
2026-04-16,879.0,881.0,870.1,880.0,0.11,11980.0,10511398.1,1
2026-04-17,881.0,885.0,871.0,880.0,-0.11,12852.0,11322800.4,-1
2026-04-20,875.0,885.0,875.0,883.0,0.91,9319.0,8193932.4,1
2026-04-21,880.1,885.0,870.5,870.6,-1.08,9597.0,8441165.3,-1
2026-04-22,883.0,883.0,865.0,870.1,-1.46,12121.0,10543271.5,-1
2026-04-23,896.0,896.0,865.0,872.0,-2.68,14205.0,12463275.1,-1
2026-04-24,884.0,884.0,860.6,870.0,-1.58,5466.0,4760542.2,-1
2026-04-27,870.0,885.0,860.0,871.0,0.11,15145.0,13162963.6,1
2026-04-28,871.0,881.0,873.0,876.0,0.57,12334.0,10823110.7,1
2026-04-29,876.0,887.0,873.1,874.0,-0.23,9723.0,8514400.4,-1
2026-04-30,875.0,889.0,867.0,872.0,-0.34,17381.0,15251164.0,-1
2026-05-04,872.0,882.0,872.0,873.0,0.11,8919.0,7807034.5,1
2026-05-05,880.0,880.0,870.0,872.2,-0.89,9200.0,8055496.5,-1
2026-05-06,875.0,876.0,870.0,875.0,0.0,6660.0,5810441.1,0
2026-05-07,875.2,883.0,870.4,880.0,0.55,7572.0,6635560.6,1
2026-05-08,884.9,884.9,876.0,880.0,-0.55,9570.0,8438563.5,-1
2026-05-11,889.0,890.0,885.0,890.0,0.11,8545.0,7586704.2,1
2026-05-12,890.0,908.0,886.6,886.6,-0.38,12061.0,10747932.6,-1
2026-05-13,890.0,891.0,885.0,890.0,0.0,7937.0,7053893.0,0
2026-05-14,890.0,893.0,888.0,890.0,0.0,7978.0,7102789.8,0
2026-05-15,895.9,895.9,888.0,892.0,-0.44,9275.0,8260179.3,-1
2026-05-18,894.0,895.0,889.2,890.5,-0.39,7931.0,7070109.1,-1
2026-05-19,890.0,895.0,886.6,886.6,-0.38,15468.0,13760349.2,-1
2026-05-20,880.0,896.0,880.0,888.0,0.91,5542.0,4920257.5,1
