published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,747.0,757.0,743.5,750.2,0.43,2051.0,1545916.6,1
2025-12-09,750.0,763.0,744.6,750.0,0.0,4142.0,3122297.6,0
2025-12-10,750.0,750.0,742.0,748.1,-0.25,2329.0,1738641.1,-1
2025-12-11,750.0,751.0,744.0,747.0,-0.4,5381.0,4022970.3,-1
2025-12-14,760.0,760.0,745.0,745.0,-1.97,6400.0,4782712.0,-1
2025-12-15,745.1,752.0,745.1,749.3,0.56,6734.0,5044745.8,1
2025-12-16,749.0,765.0,749.0,765.0,2.14,6604.0,5014213.3,1
2025-12-17,780.0,780.0,757.0,757.1,-2.94,6415.0,4889234.2,-1
2025-12-18,759.9,760.0,743.0,744.8,-1.99,13340.0,9982340.8,-1
2025-12-21,735.5,744.0,730.0,730.0,-0.75,10919.0,8002608.1,-1
2025-12-22,730.0,735.0,725.0,731.0,0.14,8203.0,5980533.9,1
2025-12-23,722.2,734.9,722.0,734.9,1.76,3737.0,2706145.9,1
2025-12-24,741.0,744.0,730.0,731.6,-1.27,2848.0,2090082.9,-1
2025-12-28,731.0,744.0,729.0,744.0,1.78,12941.0,9501809.0,1
2025-12-29,755.0,755.0,736.2,736.2,-2.49,4407.0,3266911.3,-1
2025-12-31,745.0,753.8,740.0,746.0,0.13,19136.0,14348077.9,1
2026-01-01,720.0,720.0,705.2,705.4,-2.03,5229.0,3715597.7,-1
2026-01-04,706.0,710.0,698.2,698.2,-1.1,5413.0,3798174.7,-1
2026-01-05,687.2,712.1,687.0,700.1,1.88,6387.0,4455680.5,1
2026-01-06,700.0,710.6,696.0,707.0,1.0,3897.0,2745866.7,1
2026-01-07,700.0,713.0,700.0,705.0,0.71,1152.0,814116.6,1
2026-01-08,701.1,712.0,701.0,710.0,1.27,4857.0,3436786.9,1
2026-01-12,702.0,714.5,702.0,709.0,1.0,12123.0,8594012.0,1
2026-01-13,720.0,720.0,706.0,707.5,-1.74,7597.0,5371972.9,-1
2026-01-14,706.0,714.0,700.0,708.0,0.28,7529.0,5304228.3,1
2026-01-18,710.0,715.0,710.0,714.0,0.56,3935.0,2807339.7,1
2026-01-20,720.0,732.0,720.0,732.0,1.67,8896.0,6457104.7,1
2026-01-21,738.9,738.9,728.0,729.0,-1.34,13352.0,9741599.5,-1
2026-01-22,725.0,730.0,716.0,730.0,0.69,7166.0,5159858.7,1
