published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,820.0,825.0,807.1,810.0,-1.22,490.0,400910.2,-1
2025-12-09,824.0,824.0,782.0,815.8,-1.0,3945.0,3158831.0,-1
2025-12-10,800.3,810.0,800.0,805.3,0.62,942.0,756853.9,1
2025-12-11,791.0,805.0,791.0,800.0,1.14,1414.0,1132080.5,1
2025-12-14,816.0,816.0,786.0,799.0,-2.08,1760.0,1393787.5,-1
2025-12-15,785.2,797.9,783.1,797.9,1.62,1525.0,1204781.5,1
2025-12-16,790.0,805.0,790.0,800.0,1.27,1310.0,1045652.0,1
2025-12-17,790.0,808.0,790.0,807.9,2.27,3618.0,2888157.7,1
2025-12-18,800.1,805.0,792.0,792.1,-1.0,2818.0,2252536.6,-1
2025-12-21,792.1,792.1,777.0,785.0,-0.9,2251.0,1756349.2,-1
2025-12-22,785.0,785.0,767.0,778.5,-0.83,4148.0,3197937.3,-1
2025-12-23,779.0,787.0,766.0,787.0,1.03,2002.0,1554384.0,1
2025-12-24,787.0,790.0,775.0,776.0,-1.4,1206.0,940740.0,-1
2025-12-28,766.1,789.0,766.1,786.0,2.6,2592.0,2026031.5,1
2025-12-29,781.0,801.7,781.0,795.0,1.79,2195.0,1740185.3,1
2025-12-31,810.0,842.0,780.3,810.1,0.01,4352.0,3530550.0,1
2026-01-01,819.0,834.0,793.9,810.0,-1.1,7900.0,6412365.4,-1
2026-01-04,796.3,832.0,796.3,832.0,4.48,8600.0,7041499.4,1
2026-01-05,839.0,885.0,839.0,885.0,5.48,24060.0,20931605.3,1
2026-01-06,902.7,902.7,853.0,865.0,-4.18,6141.0,5314092.0,-1
2026-01-07,855.0,865.0,836.0,848.0,-0.82,6081.0,5149413.2,-1
2026-01-08,831.1,846.0,829.1,831.1,0.0,4397.0,3656541.0,0
2026-01-12,847.6,863.9,831.2,841.9,-0.67,4509.0,3799685.0,-1
2026-01-13,825.1,866.9,825.1,859.9,4.22,6699.0,5686624.7,1
2026-01-14,842.8,876.7,842.8,850.0,0.85,6548.0,5652329.8,1
2026-01-18,833.0,870.0,833.0,864.9,3.83,5718.0,4913431.0,1
2026-01-20,882.1,886.0,851.0,869.0,-1.49,10937.0,9510745.5,-1
2026-01-21,851.7,885.0,843.1,860.0,0.97,3860.0,3309477.2,1
