published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-12-01,74.00,75.00,75.00,75.00,0.00,20.00,1500.00,0
2011-12-04,75.00,74.00,73.00,73.00,0.00,230.00,17000.00,0
2011-12-05,73.00,72.00,72.00,72.00,0.00,40.00,2880.00,0
2011-12-07,72.00,73.00,73.00,73.00,0.00,90.00,6570.00,0
2011-12-12,73.00,73.00,72.00,73.00,0.00,230.00,16600.00,0
2011-12-13,73.00,75.00,74.00,75.00,0.00,60.00,4460.00,0
2011-12-14,75.00,76.00,76.00,76.00,0.00,50.00,3800.00,0
2011-12-15,76.00,77.00,77.00,77.00,0.00,20.00,1540.00,0
2011-12-21,77.00,76.00,76.00,76.00,0.00,70.00,5320.00,0
2011-12-22,76.00,77.00,77.00,77.00,0.00,10.00,770.00,0
2011-12-26,77.00,77.00,77.00,77.00,0.00,70.00,5390.00,0
2011-12-27,77.00,78.00,78.00,78.00,0.00,90.00,7020.00,0
2011-12-28,78.00,80.00,79.00,80.00,0.00,130.00,10310.00,0
2011-12-29,80.00,80.00,79.00,80.00,0.00,250.00,19790.00,0
2012-01-01,80.00,81.00,79.00,79.00,0.00,530.00,42170.00,0
2012-01-02,79.00,79.00,77.00,77.00,0.00,1220.00,94430.00,0
2012-01-03,77.00,78.00,75.00,78.00,0.00,100.00,7650.00,0
2012-01-04,78.00,81.00,79.00,81.00,0.00,80.00,6400.00,0
2012-01-16,81.00,84.00,82.00,84.00,0.00,390.00,32290.00,0
2012-01-17,84.00,85.00,83.00,85.00,0.00,530.00,44870.00,0
2012-01-25,85.00,84.00,83.00,83.00,0.00,80.00,6680.00,0
2012-01-26,83.00,85.00,84.00,85.00,0.00,170.00,14410.00,0
2012-02-01,85.00,85.00,85.00,85.00,0.00,130.00,11050.00,0
2012-02-07,85.00,84.00,84.00,84.00,0.00,460.00,38640.00,0
2012-02-09,84.00,83.00,83.00,83.00,0.00,10.00,830.00,0
2012-02-23,83.00,84.00,83.00,83.00,0.00,490.00,40820.00,0
2012-02-26,83.00,82.00,80.00,80.00,0.00,2440.00,196420.00,0
2012-02-27,80.00,80.00,79.00,79.00,0.00,1390.00,111190.00,0
2012-02-28,79.00,78.00,78.00,78.00,0.00,10.00,780.00,0
2012-02-29,78.00,78.00,77.00,78.00,0.00,400.00,31130.00,0
2012-03-15,78.00,77.00,77.00,77.00,0.00,80.00,6160.00,0
2012-03-25,77.00,77.00,77.00,77.00,0.00,180.00,13860.00,0
2012-03-27,77.00,76.00,76.00,76.00,0.00,150.00,11400.00,0
2012-03-28,76.00,75.00,75.00,75.00,0.00,640.00,48000.00,0
2012-04-04,75.00,75.00,74.00,74.00,0.00,390.00,28880.00,0
2012-04-19,74.00,74.00,74.00,74.00,0.00,10.00,740.00,0
2012-04-22,74.00,73.00,73.00,73.00,0.00,90.00,6570.00,0
2012-05-07,73.00,74.00,74.00,74.00,0.00,40.00,2960.00,0
2012-05-08,74.00,75.00,75.00,75.00,0.00,80.00,6000.00,0
2012-05-10,75.00,74.00,74.00,74.00,0.00,140.00,10360.00,0
2012-05-20,74.00,73.00,73.00,73.00,0.00,210.00,15330.00,0
2012-05-21,73.00,77.00,74.00,77.00,0.00,100.00,7590.00,0
2012-05-22,77.00,81.00,78.00,81.00,0.00,150.00,11820.00,0
2012-05-23,81.00,86.00,82.00,86.00,0.00,2060.00,173520.00,0
2012-05-24,86.00,85.00,85.00,85.00,0.00,40.00,3400.00,0
2012-05-29,85.00,87.00,84.00,86.00,0.00,1270.00,109080.00,0
2012-05-30,86.00,93.00,87.00,93.00,0.00,1920.00,172070.00,0
2012-06-03,93.00,92.00,92.00,92.00,0.00,890.00,81880.00,0
2012-06-04,92.00,92.00,90.00,92.00,0.00,1380.00,125090.00,0
2012-06-05,92.00,93.00,92.00,92.00,0.00,730.00,67570.00,0
2012-06-06,92.00,94.00,92.00,93.00,0.00,1060.00,99130.00,0
2012-06-07,93.00,94.00,93.00,93.00,0.00,1610.00,150430.00,0
2012-06-10,93.00,94.00,92.00,93.00,0.00,3160.00,295830.00,0
2012-06-11,93.00,93.00,92.00,93.00,0.00,100.00,9280.00,0
2012-06-12,93.00,94.00,93.00,93.00,0.00,1140.00,107090.00,0
2012-06-13,93.00,93.00,92.00,93.00,0.00,340.00,31480.00,0
2012-06-14,93.00,93.00,93.00,93.00,0.00,760.00,70680.00,0
2012-06-17,93.00,94.00,93.00,93.00,0.00,1080.00,101450.00,0
2012-06-18,93.00,92.00,92.00,92.00,0.00,490.00,45080.00,0
2012-06-19,92.00,92.00,92.00,92.00,0.00,80.00,7360.00,0
2012-06-21,92.00,91.00,91.00,91.00,0.00,80.00,7280.00,0
2012-06-26,91.00,90.00,89.00,89.00,0.00,760.00,68230.00,0
2012-06-27,89.00,90.00,90.00,90.00,0.00,150.00,13500.00,0
2012-06-28,90.00,89.00,89.00,89.00,0.00,70.00,6230.00,0
2012-07-01,89.00,88.00,88.00,88.00,0.00,140.00,12320.00,0
2012-07-04,88.00,87.00,87.00,87.00,0.00,1180.00,102660.00,0
2012-07-05,87.00,86.00,86.00,86.00,0.00,80.00,6880.00,0
