published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1260.0,1281.0,1246.1,1269.0,0.71,21032.0,26644138.8,1
2025-12-09,1243.7,1284.9,1243.7,1260.2,1.33,10348.0,13161676.9,1
2025-12-10,1256.0,1280.0,1250.0,1255.0,-0.08,10754.0,13509532.5,-1
2025-12-11,1255.0,1260.0,1228.0,1230.0,-1.99,14436.0,17861693.9,-1
2025-12-14,1220.0,1244.0,1200.0,1208.0,-0.98,16281.0,19749311.5,-1
2025-12-15,1200.0,1275.0,1200.0,1257.4,4.78,22544.0,28144105.0,1
2025-12-16,1261.0,1290.0,1257.0,1269.0,0.63,10815.0,13749702.2,1
2025-12-17,1244.0,1390.0,1244.0,1276.9,2.64,9729.0,12329787.5,1
2025-12-18,1276.0,1276.0,1240.1,1243.0,-2.59,11655.0,14543998.1,-1
2025-12-21,1243.0,1243.0,1205.6,1219.0,-1.93,9665.0,11769655.3,-1
2025-12-22,1230.0,1238.5,1200.2,1224.0,-0.49,10641.0,12876883.8,-1
2025-12-23,1201.0,1244.0,1201.0,1242.0,3.41,8198.0,10014343.2,1
2025-12-24,1242.0,1264.9,1225.0,1239.0,-0.24,6130.0,7573593.7,-1
2025-12-28,1235.0,1264.0,1222.0,1255.1,1.63,9898.0,12367228.1,1
2025-12-29,1255.0,1273.0,1237.0,1251.9,-0.25,14045.0,17536063.1,-1
2025-12-31,1263.0,1285.0,1231.0,1267.0,0.32,23427.0,29622646.5,1
2026-01-01,1267.0,1300.0,1263.0,1276.0,0.71,20163.0,25919231.2,1
2026-01-04,1265.2,1333.1,1260.0,1330.0,5.12,40955.0,52805711.0,1
2026-01-05,1320.1,1377.0,1320.0,1370.0,3.78,82025.0,110346653.5,1
2026-01-06,1397.4,1405.0,1311.0,1320.0,-5.54,42489.0,57473625.5,-1
2026-01-07,1319.0,1329.9,1280.4,1280.6,-2.91,26625.0,34557010.7,-1
2026-01-08,1280.0,1302.0,1272.3,1302.0,1.72,17008.0,21870697.4,1
2026-01-12,1305.0,1395.0,1294.6,1354.9,3.82,34324.0,45920530.0,1
2026-01-13,1355.0,1380.0,1310.0,1325.0,-2.21,25562.0,34271747.1,-1
2026-01-14,1325.0,1328.0,1285.0,1298.0,-2.04,22333.0,29017269.0,-1
2026-01-18,1280.0,1328.0,1280.0,1309.0,2.27,15243.0,19952076.0,1
2026-01-20,1320.0,1380.0,1320.0,1350.1,2.28,46037.0,62345820.3,1
2026-01-21,1364.0,1373.9,1333.0,1343.0,-1.54,20713.0,27862234.7,-1
2026-01-22,1325.0,1415.0,1322.0,1401.9,5.8,45660.0,62983780.0,1
2026-01-25,1405.0,1537.6,1405.0,1500.0,6.76,77349.0,115558752.1,1
2026-01-26,1500.0,1550.4,1441.0,1545.0,3.0,87220.0,130790367.9,1
2026-01-27,1575.9,1575.9,1426.2,1438.0,-8.75,69419.0,103520197.0,-1
2026-01-28,1410.0,1480.0,1410.0,1470.0,4.26,51705.0,75026552.3,1
2026-01-29,1470.0,1499.0,1412.1,1415.0,-3.74,56012.0,81632179.9,-1
2026-02-01,1438.0,1438.0,1391.0,1400.0,-2.64,25885.0,36377295.2,-1
2026-02-02,1415.0,1460.0,1400.0,1441.0,1.84,23208.0,33301304.4,1
2026-02-03,1440.0,1465.0,1400.0,1409.9,-2.09,23758.0,33732610.2,-1
2026-02-04,1405.0,1438.0,1404.0,1419.0,1.0,17525.0,24810594.1,1
2026-02-05,1420.0,1441.0,1408.0,1408.0,-0.85,24591.0,34839954.5,-1
2026-02-08,1410.1,1454.0,1390.0,1390.0,-1.43,20073.0,28404114.6,-1
2026-02-09,1390.0,1412.0,1378.1,1388.0,-0.14,21884.0,30514730.4,-1
2026-02-10,1382.1,1409.0,1335.0,1340.0,-3.05,19000.0,26028064.5,-1
2026-02-11,1340.0,1389.0,1333.0,1336.0,-0.3,14737.0,19734728.5,-1
2026-02-12,1335.0,1350.0,1322.0,1333.0,-0.15,10850.0,14509305.6,-1
2026-02-16,1326.0,1350.0,1290.0,1309.9,-1.21,22309.0,29123140.6,-1
2026-02-17,1301.0,1308.0,1274.0,1300.0,-0.08,16533.0,21274816.0,-1
2026-02-22,1300.0,1300.0,1257.0,1260.0,-3.08,9304.0,11766588.5,-1
2026-02-23,1255.0,1279.6,1245.1,1257.0,0.16,6753.0,8487779.9,1
2026-02-24,1260.0,1290.4,1260.0,1290.4,2.41,7770.0,9876570.5,1
2026-02-25,1298.0,1304.0,1280.0,1285.2,-0.99,8910.0,11506855.5,-1
2026-02-26,1285.2,1298.1,1277.0,1282.1,-0.24,4692.0,6037799.3,-1
2026-03-01,1260.0,1305.0,1260.0,1303.0,3.41,7596.0,9788480.4,1
2026-03-03,1302.0,1344.0,1302.0,1340.0,2.92,9708.0,12905600.1,1
2026-03-09,1366.8,1394.1,1366.8,1394.1,2.0,30.0,41550.0,1
2026-03-10,1421.9,1450.0,1362.0,1398.0,-1.68,24764.0,34523805.8,-1
2026-03-11,1371.1,1400.0,1353.0,1353.0,-1.32,8142.0,11158502.2,-1
2026-03-12,1350.0,1377.0,1340.0,1359.0,0.67,9212.0,12477791.3,1
2026-03-15,1350.1,1377.0,1320.3,1320.4,-2.2,9431.0,12607819.5,-1
2026-03-16,1328.0,1332.0,1308.0,1314.5,-1.02,7341.0,9686620.7,-1
2026-03-17,1307.0,1324.0,1300.0,1321.0,1.07,9725.0,12735767.8,1
2026-03-19,1321.0,1346.9,1321.0,1334.0,0.98,14980.0,19928032.3,1
2026-03-22,1334.0,1380.0,1334.0,1352.1,1.36,14891.0,20195853.1,1
2026-03-23,1331.1,1365.0,1331.1,1344.9,1.04,9310.0,12523010.5,1
2026-03-24,1330.0,1370.0,1330.0,1343.0,0.98,8636.0,11567166.3,1
2026-03-25,1322.0,1366.7,1322.0,1366.6,3.37,11222.0,15187284.0,1
2026-03-26,1350.0,1393.0,1350.0,1379.0,2.15,25198.0,34768755.7,1
2026-03-29,1380.0,1385.0,1320.0,1325.4,-3.96,12029.0,16157638.9,-1
2026-03-30,1320.0,1339.2,1295.0,1295.0,-1.89,9589.0,12573794.7,-1
2026-03-31,1315.0,1337.7,1270.1,1285.0,-2.28,10220.0,13172894.5,-1
2026-04-01,1285.0,1292.0,1260.0,1260.0,-1.95,6349.0,8075204.4,-1
