published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-03-18,167.00,164.00,152.00,152.00,0.00,60.00,9420.00,0
2012-03-19,152.00,149.00,147.00,147.00,0.00,40.00,5920.00,0
2012-03-20,147.00,145.00,145.00,145.00,0.00,20.00,2900.00,0
2012-03-28,145.00,143.00,141.00,141.00,0.00,2000.00,282020.00,0
2012-03-29,141.00,139.00,131.00,131.00,0.00,1520.00,205944.00,0
2012-04-03,131.00,129.00,127.00,127.00,0.00,40.00,5120.00,0
2012-04-04,127.00,125.00,115.00,115.00,0.00,120.00,14400.00,0
2012-04-05,115.00,113.00,104.00,104.00,0.00,210.00,22670.00,0
2012-04-08,104.00,102.00,97.00,97.00,0.00,1063.00,104624.00,0
2012-04-09,97.00,98.00,98.00,98.00,0.00,60.00,5880.00,0
2012-04-10,98.00,102.00,98.00,102.00,0.00,1976.00,195356.00,0
2012-04-11,102.00,102.00,98.00,98.00,0.00,1200.00,118600.00,0
2012-04-15,98.00,106.00,99.00,106.00,0.00,180.00,18690.00,0
2012-04-17,106.00,108.00,108.00,108.00,0.00,130.00,14040.00,0
2012-04-19,108.00,112.00,110.00,112.00,0.00,140.00,15420.00,0
2012-04-22,112.00,118.00,114.00,118.00,0.00,100.00,11600.00,0
2012-04-26,118.00,122.00,120.00,122.00,0.00,212.00,25824.00,0
2012-04-29,122.00,126.00,122.00,126.00,0.00,740.00,91760.00,0
2012-04-30,126.00,128.00,128.00,128.00,0.00,355.00,45440.00,0
2012-05-08,128.00,128.00,128.00,128.00,0.00,182.00,23296.00,0
2012-05-17,128.00,130.00,130.00,130.00,0.00,20.00,2600.00,0
2012-05-24,130.00,128.00,126.00,126.00,0.00,282.00,35676.00,0
2012-07-02,126.00,126.00,124.00,124.00,0.00,100.00,12560.00,0
2012-11-07,124.00,122.00,122.00,122.00,0.00,26.00,3172.00,0
2012-11-20,122.00,120.00,114.00,114.00,0.00,310.00,36300.00,0
2012-11-28,114.00,112.00,108.00,108.00,0.00,462.00,50910.00,0
2012-11-29,108.00,107.00,106.00,107.00,0.00,502.00,53252.00,0
2013-01-28,107.00,105.00,103.00,103.00,0.00,256.00,26680.00,0
2013-02-20,103.00,101.00,99.00,100.00,0.00,9172.00,910480.00,0
2013-04-11,100.00,100.00,100.00,100.00,0.00,50.00,5000.00,0
2013-05-07,100.00,98.00,98.00,98.00,0.00,60.00,5880.00,0
2013-06-18,98.00,97.00,96.00,96.00,0.00,20.00,1930.00,0
2013-07-01,96.00,95.00,92.00,92.00,0.00,132.00,12316.00,0
