published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,276.0,279.9,273.0,274.5,-0.54,155400.0,42974347.0,-1
2025-12-09,275.1,281.0,274.2,278.8,1.34,72663.0,20197944.0,1
2025-12-10,279.0,281.9,275.4,277.9,-0.39,94200.0,26113138.7,-1
2025-12-11,276.0,278.5,275.1,275.7,-0.11,76022.0,21008621.2,-1
2025-12-14,275.0,278.2,270.4,272.0,-1.09,74215.0,20278923.1,-1
2025-12-15,266.6,277.0,265.5,268.3,0.64,79273.0,21226947.4,1
2025-12-16,272.0,272.0,267.2,269.8,-0.81,58026.0,15604298.3,-1
2025-12-17,265.0,274.3,265.0,271.9,2.6,84618.0,22962373.3,1
2025-12-18,277.0,277.0,265.0,267.2,-3.54,99104.0,26616579.6,-1
2025-12-21,267.0,278.4,266.1,277.0,3.75,161103.0,44045539.3,1
2025-12-22,275.0,277.9,271.5,273.9,-0.4,85598.0,23431292.4,-1
2025-12-23,269.0,273.0,268.6,270.7,0.63,53156.0,14381218.2,1
