published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-11-01,122.00,130.00,120.00,128.00,3.23,2740.00,345060.00,1
2018-11-04,126.00,126.00,122.00,124.00,-3.13,1060.00,130990.00,-1
2018-11-05,122.00,124.00,122.00,124.00,0.00,1340.00,165700.00,0
2018-11-06,124.00,125.00,123.00,124.00,0.00,100.00,12440.00,0
2018-11-11,124.00,124.00,122.00,123.00,-0.81,340.00,41730.00,-1
2018-11-12,121.00,123.00,121.00,122.00,-0.81,770.00,94160.00,-1
2018-11-13,123.00,125.00,122.00,124.00,1.64,710.00,87880.00,1
2018-11-14,122.00,125.00,120.00,123.00,-0.81,930.00,113950.00,-1
2018-11-15,121.00,125.00,121.00,123.00,0.00,1410.00,174390.00,0
2018-11-18,123.00,127.00,121.00,126.00,2.44,3140.00,391560.00,1
2018-11-19,123.00,126.00,123.00,124.00,-0.80,3160.00,392720.00,-1
2018-11-20,122.00,126.00,118.00,124.00,0.00,2610.00,325120.00,0
2018-11-21,123.00,126.00,122.00,126.00,1.61,1971.00,245555.00,1
2018-11-22,124.00,125.00,122.00,123.00,-2.38,900.00,111030.00,-1
2018-11-25,124.00,125.00,120.00,123.00,0.00,2281.00,281711.00,0
2018-11-26,123.00,125.00,123.00,124.00,0.81,1260.00,155970.00,1
2018-11-27,124.00,126.00,123.00,123.00,-0.81,1440.00,179450.00,-1
2018-11-28,122.00,123.00,122.00,123.00,0.00,810.00,98930.00,0
2018-11-29,123.00,125.00,122.00,123.00,0.00,680.00,83700.00,0
2018-12-02,121.00,123.00,119.00,120.00,-2.44,1000.00,121220.00,-1
2018-12-03,118.00,121.00,117.00,120.00,0.00,1260.00,149870.00,0
2018-12-04,120.00,124.00,120.00,121.00,0.83,1130.00,137740.00,1
2018-12-05,120.00,123.00,115.00,118.00,-2.48,1250.00,149820.00,-1
2018-12-06,118.00,120.00,117.00,120.00,1.69,750.00,88890.00,1
2018-12-09,118.00,120.00,118.00,118.00,-1.67,250.00,29530.00,-1
2018-12-10,118.00,122.00,118.00,122.00,3.39,610.00,72790.00,1
2018-12-11,120.00,120.00,117.00,117.00,-4.10,540.00,64320.00,-1
2018-12-12,115.00,120.00,113.00,120.00,2.56,420.00,48710.00,1
2018-12-13,118.00,122.00,116.00,116.00,-3.33,670.00,81090.00,-1
2018-12-16,116.00,120.00,116.00,120.00,3.45,390.00,45840.00,1
2018-12-17,118.00,120.00,117.00,120.00,0.00,160.00,18900.00,0
2018-12-18,117.00,120.00,116.00,118.00,-1.67,1350.00,160960.00,-1
2018-12-19,116.00,119.00,116.00,116.00,-1.69,1411.00,164788.00,-1
2018-12-20,114.00,117.00,113.00,115.00,-0.86,1010.00,117100.00,-1
2018-12-23,117.00,119.00,114.00,115.00,0.00,1440.00,165380.00,0
2018-12-24,113.00,113.00,110.00,113.00,-1.74,2140.00,239350.00,-1
2018-12-25,111.00,112.00,109.00,110.00,-2.65,590.00,65300.00,-1
2018-12-26,110.00,115.00,110.00,114.00,3.64,1680.00,189600.00,1
2018-12-27,112.00,114.00,111.00,112.00,-1.75,740.00,82900.00,-1
2018-12-30,110.00,112.00,109.00,112.00,0.00,440.00,49080.00,0
2018-12-31,112.00,115.00,112.00,113.00,0.89,450.00,50870.00,1
2019-01-01,113.00,115.00,112.00,114.00,0.88,550.00,62300.00,1
2019-01-02,113.00,115.00,113.00,114.00,0.00,200.00,22720.00,0
2019-01-03,112.00,116.00,112.00,116.00,1.75,430.00,49050.00,1
2019-01-06,114.00,115.00,114.00,115.00,-0.86,360.00,41130.00,-1
2019-01-07,113.00,118.00,113.00,115.00,0.00,460.00,53180.00,0
2019-01-08,114.00,117.00,114.00,115.00,0.00,590.00,68070.00,0
2019-01-09,113.00,119.00,113.00,118.00,2.61,1010.00,117170.00,1
2019-01-10,118.00,118.00,114.00,115.00,-2.54,480.00,55390.00,-1
2019-01-13,113.00,115.00,109.00,113.00,-1.74,1740.00,194060.00,-1
2019-01-14,111.00,116.00,111.00,116.00,2.65,130.00,14730.00,1
2019-01-15,116.00,118.00,113.00,118.00,1.72,894.00,102769.00,1
2019-01-16,118.00,120.00,115.00,115.00,-2.54,1110.00,128170.00,-1
2019-01-17,113.00,116.00,111.00,113.00,-1.74,1370.00,156110.00,-1
2019-01-20,111.00,111.00,108.00,110.00,-2.65,830.00,90620.00,-1
2019-01-21,108.00,110.00,106.00,108.00,-1.82,1450.00,156190.00,-1
2019-01-22,106.00,112.00,106.00,108.00,0.00,1300.00,141380.00,0
2019-01-23,108.00,110.00,104.00,104.00,-3.70,2960.00,316300.00,-1
2019-01-24,104.00,109.00,104.00,105.00,0.96,2010.00,210870.00,1
2019-01-27,103.00,109.00,103.00,105.00,0.00,1560.00,165530.00,0
2019-01-28,103.00,107.00,103.00,105.00,0.00,2600.00,273110.00,0
2019-01-29,105.00,107.00,104.00,106.00,0.95,1240.00,131490.00,1
2019-01-30,106.00,110.00,105.00,109.00,2.83,1720.00,185310.00,1
2019-01-31,107.00,110.00,105.00,107.00,-1.83,1020.00,109260.00,-1
2019-02-03,105.00,109.00,105.00,109.00,1.87,950.00,100860.00,1
2019-02-04,107.00,108.00,103.00,108.00,-0.92,2042.00,215250.00,-1
2019-02-05,106.00,108.00,106.00,106.00,-1.85,3550.00,380650.00,-1
2019-02-06,105.00,109.00,105.00,108.00,1.89,3210.00,345800.00,1
2019-02-07,106.00,109.00,104.00,109.00,0.93,2390.00,254080.00,1
2019-02-10,107.00,107.00,106.00,107.00,-1.83,960.00,102260.00,-1
2019-02-11,106.00,109.00,106.00,108.00,0.93,1590.00,171910.00,1
2019-02-12,108.00,109.00,107.00,108.00,0.00,860.00,92790.00,0
2019-02-13,107.00,109.00,107.00,108.00,0.00,1070.00,115040.00,0
2019-02-14,106.00,107.00,104.00,105.00,-2.78,3110.00,328590.00,-1
2019-02-17,105.00,110.00,105.00,110.00,4.76,11100.00,1195590.00,1
2019-02-18,109.00,109.00,105.00,107.00,-2.73,770.00,81320.00,-1
2019-02-19,106.00,108.00,105.00,107.00,0.00,5120.00,542630.00,0
2019-02-20,105.00,108.00,105.00,106.00,-0.93,550.00,58600.00,-1
2019-02-21,105.00,108.00,105.00,106.00,0.00,800.00,84430.00,0
2019-02-24,105.00,107.00,105.00,105.00,-0.94,1080.00,113700.00,-1
2019-02-25,105.00,107.00,105.00,106.00,0.95,3340.00,356640.00,1
2019-02-26,105.00,109.00,105.00,108.00,1.89,550.00,58960.00,1
2019-02-27,107.00,109.00,107.00,107.00,-0.93,310.00,33280.00,-1
2019-03-03,106.00,109.00,106.00,108.00,0.93,1150.00,123140.00,1
2019-03-05,106.00,109.00,106.00,108.00,0.00,457.00,48959.00,0
2019-03-06,107.00,110.00,107.00,110.00,1.85,4420.00,485380.00,1
2019-03-07,108.00,114.00,108.00,112.00,1.82,1270.00,141650.00,1
2019-03-10,110.00,110.00,109.00,109.00,-2.68,380.00,41630.00,-1
2019-03-11,109.00,112.00,109.00,111.00,1.83,1250.00,137840.00,1
2019-03-12,111.00,114.00,111.00,112.00,0.90,770.00,85630.00,1
2019-03-13,110.00,112.00,110.00,112.00,0.00,451.00,50092.00,0
2019-03-14,110.00,113.00,110.00,112.00,0.00,610.00,68000.00,0
2019-03-17,111.00,116.00,111.00,114.00,1.79,520.00,58960.00,1
2019-03-18,112.00,116.00,112.00,113.00,-0.88,2010.00,230140.00,-1
2019-03-19,113.00,113.00,111.00,112.00,-0.88,390.00,43510.00,-1
2019-03-21,110.00,113.00,110.00,112.00,0.00,560.00,62440.00,0
2019-03-24,112.00,114.00,111.00,112.00,0.00,1730.00,195040.00,0
2019-03-25,110.00,113.00,110.00,112.00,0.00,1150.00,129030.00,0
