published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,486.1,508.0,486.1,493.1,1.44,9066.0,4501778.9,1
2025-12-09,496.0,499.8,490.1,493.3,-0.54,11599.0,5738173.1,-1
2025-12-10,490.1,500.0,490.1,496.9,1.39,4371.0,2154713.9,1
2025-12-11,489.0,502.8,489.0,499.0,2.04,5388.0,2675518.8,1
2025-12-14,499.0,504.5,494.0,494.0,-1.0,7912.0,3935232.2,-1
2025-12-15,494.0,499.0,491.1,498.0,0.81,6267.0,3100898.1,1
2025-12-16,498.0,502.9,496.0,498.0,0.0,8752.0,4362900.4,0
2025-12-17,498.0,504.9,494.4,502.0,0.8,9435.0,4715292.9,1
2025-12-18,496.2,499.0,493.0,493.1,-0.62,12085.0,5982445.3,-1
2025-12-21,485.5,494.0,485.5,486.3,0.16,6979.0,3405370.4,1
2025-12-22,482.0,485.0,480.0,481.0,-0.21,8303.0,3993002.7,-1
2025-12-23,477.1,482.0,475.2,482.0,1.03,7724.0,3691391.2,1
2025-12-24,482.0,489.8,481.6,482.0,0.0,5692.0,2751938.0,0
2025-12-28,482.2,512.8,482.2,495.2,2.7,17560.0,8684638.9,1
2025-12-29,490.1,500.0,490.1,495.0,1.0,6861.0,3405596.3,1
2025-12-31,495.0,505.0,495.0,504.0,1.82,8566.0,4285254.0,1
2026-01-01,495.3,504.0,494.1,497.0,0.34,10121.0,5032931.3,1
