published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-25,139.00,141.00,136.00,139.00,-1.42,2865.00,398410.00,-1
2019-06-26,137.00,148.00,136.00,148.00,6.47,8790.00,1258550.00,1
2019-06-27,146.00,146.00,138.00,141.00,-4.73,9420.00,1311410.00,-1
2019-06-30,135.00,148.00,135.00,142.00,0.71,2270.00,314160.00,1
2019-07-01,140.00,140.00,137.00,137.00,-3.52,880.00,121035.00,-1
2019-07-02,137.00,140.00,136.00,140.00,2.19,5050.00,693940.00,1
2019-07-03,139.00,143.00,138.00,143.00,2.14,3190.00,444210.00,1
2019-07-04,144.00,144.00,138.00,138.00,-3.50,2150.00,300310.00,-1
2019-07-07,139.00,140.00,138.00,140.00,1.45,3770.00,521580.00,1
2019-07-08,138.00,138.00,136.00,137.00,-2.14,4150.00,569330.00,-1
2019-07-09,135.00,139.00,135.00,139.00,1.46,1130.00,155160.00,1
2019-07-10,137.00,138.00,135.00,136.00,-2.16,2269.00,309164.00,-1
2019-07-11,135.00,137.00,135.00,136.00,0.00,1010.00,137670.00,0
2019-07-14,134.00,138.00,134.00,136.00,0.00,980.00,133220.00,0
2019-07-15,134.00,137.00,134.00,137.00,0.74,1730.00,234800.00,1
2019-07-16,135.00,137.00,135.00,137.00,0.00,1159.00,157863.00,0
2019-07-17,135.00,139.00,135.00,139.00,1.46,1610.00,219620.00,1
2019-07-18,137.00,140.00,135.00,135.00,-2.88,270.00,37070.00,-1
2019-07-21,137.00,137.00,134.00,135.00,0.00,410.00,55560.00,0
2019-07-22,135.00,138.00,134.00,136.00,0.74,1651.00,223796.00,1
2019-07-23,138.00,139.00,135.00,139.00,2.21,1480.00,201010.00,1
2019-07-24,134.00,140.00,134.00,140.00,0.72,1650.00,224040.00,1
2019-07-28,138.00,138.00,132.00,132.00,-5.71,1920.00,257050.00,-1
2019-07-29,130.00,136.00,130.00,133.00,0.76,1290.00,170570.00,1
2019-07-30,131.00,137.00,130.00,137.00,3.01,1468.00,193986.00,1
2019-07-31,135.00,135.00,132.00,135.00,-1.46,876.00,116652.00,-1
2019-08-01,133.00,137.00,131.00,135.00,0.00,730.00,96770.00,0
2019-08-04,133.00,133.00,130.00,131.00,-2.96,1860.00,243710.00,-1
2019-08-05,129.00,132.00,129.00,132.00,0.76,970.00,126710.00,1
2019-08-06,130.00,133.00,128.00,133.00,0.76,840.00,109220.00,1
2019-08-07,131.00,137.00,128.00,137.00,3.01,1060.00,137440.00,1
2019-08-11,135.00,135.00,126.00,126.00,-8.03,870.00,110760.00,-1
2019-08-12,125.00,127.00,124.00,126.00,0.00,1860.00,233940.00,0
2019-08-13,125.00,126.00,119.00,122.00,-3.17,8400.00,1025560.00,-1
2019-08-14,120.00,122.00,120.00,120.00,-1.64,900.00,108580.00,-1
2019-08-15,118.00,119.00,114.00,116.00,-3.33,1220.00,142760.00,-1
2019-08-18,114.00,117.00,113.00,117.00,0.86,1000.00,114110.00,1
2019-08-19,115.00,117.00,113.00,115.00,-1.71,1165.00,133935.00,-1
2019-08-20,113.00,113.00,104.00,104.00,-9.57,19951.00,2101114.00,-1
2019-08-21,102.00,99.00,100.00,109.00,4.81,6490.00,656724.00,1
2019-08-22,107.00,111.00,105.00,111.00,1.83,3900.00,413090.00,1
2019-08-25,109.00,109.00,101.00,103.00,-7.21,1000.00,102980.00,-1
2019-08-26,102.00,105.00,102.00,105.00,1.94,620.00,63540.00,1
2019-08-27,103.00,103.00,102.00,102.00,-2.86,340.00,34810.00,-1
2019-08-28,100.00,103.00,100.00,102.00,0.00,2530.00,257850.00,0
2019-08-29,100.00,102.00,100.00,100.00,-1.96,580.00,58350.00,-1
2019-09-01,98.00,102.00,98.00,100.00,0.00,610.00,60940.00,0
2019-09-02,100.00,100.00,98.00,98.00,-2.00,1500.00,148660.00,-1
2019-09-03,99.00,100.00,94.00,97.00,-1.02,1788.00,172984.00,-1
2019-09-04,97.00,99.00,100.00,106.00,9.28,420.00,41690.00,1
2019-09-05,104.00,106.00,99.00,106.00,0.00,1110.00,112530.00,0
2019-09-08,104.00,104.00,97.00,97.00,-8.49,730.00,72830.00,-1
2019-09-09,97.00,99.00,96.00,99.00,2.06,380.00,36890.00,1
2019-09-10,98.00,98.00,96.00,98.00,-1.01,390.00,38070.00,-1
2019-09-11,99.00,99.00,98.00,99.00,1.02,1000.00,98640.00,1
2019-09-12,99.00,99.00,94.00,95.00,-4.04,1181.00,112386.00,-1
2019-09-15,96.00,96.00,92.00,95.00,0.00,1120.00,106410.00,0
2019-09-16,95.00,95.00,93.00,93.00,-2.11,1440.00,135390.00,-1
2019-09-17,93.00,93.00,91.00,93.00,0.00,2680.00,245270.00,0
2019-09-18,92.00,96.00,92.00,95.00,2.15,760.00,72560.00,1
2019-09-19,96.00,97.00,96.00,97.00,2.11,240.00,23150.00,1
2019-09-22,96.00,96.00,91.00,92.00,-5.15,350.00,32200.00,-1
2019-09-23,91.00,94.00,91.00,92.00,0.00,560.00,51660.00,0
2019-09-24,92.00,93.00,92.00,93.00,1.09,310.00,28680.00,1
2019-09-25,92.00,92.00,92.00,92.00,-1.08,170.00,15640.00,-1
2019-09-26,91.00,95.00,90.00,95.00,3.26,450.00,41990.00,1
2019-09-29,95.00,98.00,95.00,96.00,1.05,1430.00,138180.00,1
2019-09-30,95.00,95.00,95.00,95.00,-1.04,60.00,5700.00,-1
2019-10-01,95.00,95.00,94.00,95.00,0.00,725.00,68835.00,0
2019-10-02,94.00,94.00,93.00,94.00,-1.05,280.00,26240.00,-1
2019-10-10,93.00,93.00,93.00,93.00,-1.06,70.00,6510.00,-1
2019-10-14,93.00,93.00,92.00,92.00,-1.08,470.00,43610.00,-1
2019-10-15,92.00,93.00,92.00,93.00,1.09,110.00,10220.00,1
2019-10-16,94.00,94.00,93.00,93.00,0.00,629.00,59096.00,0
2019-10-17,93.00,94.00,93.00,94.00,1.08,220.00,20510.00,1
2019-10-20,93.00,94.00,93.00,93.00,-1.06,130.00,12150.00,-1
