published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,330.0,337.0,329.0,332.9,0.88,90529.0,30050452.5,1
2025-12-09,339.5,339.5,328.5,331.0,-2.5,47405.0,15690316.5,-1
2025-12-10,333.0,336.0,327.0,328.0,-1.5,88408.0,29223573.3,-1
2025-12-11,334.0,336.0,325.7,329.0,-1.5,86174.0,28464833.9,-1
2025-12-14,335.0,335.0,320.0,324.4,-3.16,57123.0,18589552.01,-1
2025-12-15,318.0,327.0,317.0,321.0,0.94,72995.0,23376800.2,1
2025-12-16,315.0,332.9,315.0,327.6,4.0,55615.0,18192729.2,1
2025-12-17,331.5,331.5,321.0,323.9,-2.29,35307.0,11494140.3,-1
2025-12-18,324.0,325.0,318.1,319.8,-1.3,63677.0,20433016.6,-1
2025-12-21,324.0,324.0,309.0,313.8,-3.15,55719.0,17504668.3,-1
2025-12-22,309.1,319.9,306.0,310.0,0.29,67739.0,21080332.7,1
2025-12-23,310.0,323.0,305.0,319.0,2.9,52805.0,16668465.0,1
2025-12-24,320.0,323.8,317.2,319.1,-0.28,62363.0,19953137.4,-1
2025-12-28,323.5,331.5,317.3,328.0,1.39,196556.0,63787382.1,1
2025-12-29,330.0,331.0,318.3,322.2,-2.36,56797.0,18449364.8,-1
