published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,674.0,675.0,670.0,670.3,-0.55,4337.0,2912640.7,-1
2025-12-09,661.7,669.8,661.2,669.0,1.1,6250.0,4151570.2,1
2025-12-10,681.0,681.0,662.7,666.0,-2.2,4657.0,3092187.8,-1
2025-12-11,660.1,673.0,660.1,668.0,1.2,4819.0,3204341.6,1
2025-12-14,665.0,673.7,665.0,666.0,0.15,11378.0,7605976.2,1
2025-12-15,661.0,669.9,661.0,668.8,1.18,4409.0,2937410.7,1
2025-12-16,671.0,673.7,662.0,670.0,-0.15,2490.0,1662260.3,-1
2025-12-17,668.0,674.0,668.0,671.0,0.45,5745.0,3858703.8,1
2025-12-18,681.0,681.1,670.0,670.0,-1.62,7537.0,5060121.0,-1
2025-12-21,661.5,670.0,661.5,664.0,0.38,8192.0,5438199.6,1
2025-12-22,660.1,668.9,646.8,650.0,-1.53,16162.0,10571076.0,-1
2025-12-23,660.0,660.0,649.0,650.6,-1.42,4924.0,3211113.2,-1
2025-12-24,643.1,671.0,643.1,657.0,2.16,3865.0,2532308.4,1
2025-12-28,657.1,684.0,657.0,680.0,3.49,17252.0,11611186.3,1
2025-12-29,689.0,690.0,675.0,679.8,-1.34,18009.0,12260359.9,-1
2025-12-31,678.0,685.0,678.0,683.0,0.74,9848.0,6719808.1,1
2026-01-01,696.6,696.6,674.0,684.0,-1.81,10947.0,7438394.8,-1
2026-01-04,685.0,689.0,675.0,689.0,0.58,13960.0,9485467.1,1
2026-01-05,680.0,693.0,678.0,693.0,1.91,16390.0,11254519.0,1
2026-01-06,706.6,706.6,690.0,695.0,-1.64,11844.0,8254694.2,-1
2026-01-07,695.0,705.8,691.0,695.0,0.0,12278.0,8567324.9,0
2026-01-08,703.0,703.0,691.0,697.0,-0.85,8867.0,6175077.7,-1
2026-01-12,707.9,707.9,694.0,704.5,-0.48,9201.0,6450592.1,-1
2026-01-13,705.0,710.0,693.0,700.0,-0.71,9030.0,6350186.3,-1
2026-01-14,709.9,709.9,696.0,697.0,-1.82,12469.0,8755014.5,-1
2026-01-18,710.9,725.1,702.2,725.1,2.0,33410.0,23835843.4,1
2026-01-20,737.0,740.0,724.0,728.0,-1.22,13810.0,10129601.8,-1
2026-01-21,725.0,734.4,721.1,730.0,0.69,20541.0,14908936.8,1
2026-01-22,741.0,741.0,715.5,733.0,-1.08,19878.0,14362576.8,-1
2026-01-25,746.6,746.6,728.0,738.0,-1.15,26272.0,19248465.2,-1
2026-01-26,740.9,755.0,736.0,755.0,1.9,48074.0,35817027.2,1
2026-01-27,740.0,769.7,733.0,734.0,-0.81,25343.0,18913341.3,-1
2026-01-28,731.0,763.4,724.0,736.1,0.7,14337.0,10557544.3,1
2026-01-29,750.0,750.0,724.0,735.0,-2.0,16088.0,11861483.8,-1
2026-02-01,749.0,749.0,715.2,719.0,-4.01,17042.0,12344555.3,-1
2026-02-02,732.0,732.0,717.3,721.0,-1.5,14202.0,10231669.6,-1
2026-02-03,729.4,729.4,709.0,711.0,-2.52,8799.0,6270650.6,-1
2026-02-04,696.8,730.9,696.8,715.0,2.61,10096.0,7180627.9,1
2026-02-05,724.0,739.0,710.0,738.8,2.04,25754.0,18712927.1,1
2026-02-08,749.9,753.0,725.2,726.0,-3.19,12464.0,9182369.0,-1
2026-02-09,718.2,730.0,700.7,708.0,-1.42,36722.0,26131981.7,-1
2026-02-10,714.0,715.0,692.6,700.0,-1.96,45939.0,32254572.4,-1
2026-02-11,714.0,725.0,700.0,722.6,1.2,26662.0,19113879.7,1
2026-02-12,737.0,737.0,715.0,723.0,-1.9,11602.0,8390649.4,-1
2026-02-16,737.0,737.0,712.0,719.0,-2.44,12639.0,9128065.5,-1
2026-02-17,732.5,732.5,701.3,703.2,-4.0,19382.0,13713833.8,-1
2026-02-22,709.0,715.0,700.0,700.0,-1.27,29157.0,20598314.7,-1
2026-02-23,714.0,714.0,700.1,712.9,-0.15,13388.0,9506901.5,-1
2026-02-24,705.0,720.0,705.0,716.0,1.56,9992.0,7141267.4,1
2026-02-25,726.0,726.0,712.0,717.5,-1.17,22108.0,15856789.0,-1
2026-02-26,722.0,727.0,715.0,719.0,-0.42,15859.0,11433088.5,-1
2026-03-01,729.0,729.0,690.7,719.0,-1.37,30768.0,21820331.9,-1
2026-03-03,730.9,730.9,716.3,730.0,-0.12,20636.0,14976143.3,-1
2026-03-09,744.5,759.3,744.5,759.3,1.99,65.0,48688.5,1
2026-03-10,774.0,787.0,749.0,777.0,0.39,67703.0,52150100.1,1
2026-03-11,779.0,790.0,765.0,766.0,-1.67,38234.0,29790221.1,-1
2026-03-12,779.0,779.0,757.7,765.9,-1.68,18328.0,13944038.5,-1
2026-03-15,750.8,781.1,750.8,761.0,1.36,30098.0,22959289.2,1
2026-03-16,769.9,770.0,755.0,758.1,-1.53,12031.0,9128053.3,-1
2026-03-17,770.0,770.0,750.0,758.0,-1.56,10425.0,7866342.6,-1
2026-03-19,769.9,769.9,756.0,763.2,-0.87,20152.0,15359558.7,-1
2026-03-22,777.7,785.0,765.0,780.0,0.3,25607.0,19886145.4,1
2026-03-23,794.9,794.9,767.0,780.0,-1.87,11004.0,8533103.5,-1
