published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-05-29,129.00,127.00,125.00,125.00,0.00,4010.00,501270.00,0
2012-05-30,125.00,125.00,125.00,125.00,0.00,800.00,100000.00,0
2012-06-17,125.00,125.00,125.00,125.00,0.00,200.00,25000.00,0
2014-04-21,125.00,125.00,125.00,125.00,0.00,120.00,15000.00,0
2014-04-22,125.00,123.00,123.00,123.00,0.00,140.00,17220.00,0
2014-04-23,123.00,121.00,121.00,121.00,0.00,120.00,14520.00,0
2014-05-28,121.00,119.00,117.00,117.00,0.00,140.00,16420.00,0
2014-06-01,117.00,115.00,115.00,115.00,0.00,20.00,2300.00,0
2014-06-03,115.00,113.00,113.00,113.00,0.00,120.00,13560.00,0
2014-06-05,113.00,111.00,111.00,111.00,0.00,560.00,62160.00,0
2014-06-18,111.00,113.00,113.00,113.00,0.00,120.00,13560.00,0
2014-07-06,113.00,111.00,111.00,111.00,0.00,480.00,53280.00,0
2014-07-15,111.00,109.00,109.00,109.00,0.00,200.00,21800.00,0
2014-07-16,109.00,111.00,110.00,110.00,0.00,240.00,26560.00,0
2014-07-17,110.00,115.00,112.00,115.00,0.00,400.00,45400.00,0
2014-07-30,115.00,119.00,104.00,112.00,0.00,115560.00,12353780.00,0
2014-08-03,112.00,116.00,112.00,116.00,0.00,14280.00,1628320.00,0
2014-08-04,116.00,116.00,116.00,116.00,0.00,160.00,18560.00,0
2014-08-14,116.00,126.00,118.00,126.00,0.00,50.00,6100.00,0
2014-08-18,126.00,136.00,128.00,136.00,0.00,590.00,79420.00,0
2014-08-19,136.00,140.00,138.00,140.00,0.00,620.00,85840.00,0
2014-08-21,140.00,144.00,138.00,144.00,0.00,10360.00,1456660.00,0
2014-08-28,144.00,148.00,146.00,146.00,0.00,360.00,52640.00,0
2014-09-21,146.00,147.00,147.00,147.00,0.00,80.00,11760.00,0
2014-09-22,147.00,145.00,145.00,145.00,0.00,510.00,73950.00,0
2014-11-20,145.00,145.00,145.00,145.00,0.00,520.00,75400.00,0
2014-11-23,145.00,146.00,146.00,146.00,0.00,100.00,14600.00,0
2015-01-01,146.00,144.00,144.00,144.00,0.00,140.00,20160.00,0
2015-01-18,144.00,142.00,142.00,142.00,0.00,120.00,17040.00,0
2015-01-19,142.00,156.00,144.00,156.00,0.00,330.00,49620.00,0
2015-01-20,156.00,157.00,157.00,157.00,0.00,120.00,18840.00,0
2015-01-26,157.00,172.00,160.00,172.00,0.00,820.00,138760.00,0
2015-01-28,172.00,175.00,172.00,172.00,0.00,130.00,22390.00,0
2015-02-04,172.00,175.00,175.00,175.00,0.00,250.00,43750.00,0
2015-02-10,175.00,175.00,172.00,172.00,0.00,280.00,48400.00,0
2015-02-11,172.00,178.00,175.00,176.00,0.00,260.00,45720.00,0
2015-02-18,176.00,179.00,176.00,179.00,0.00,300.00,53280.00,0
2015-02-22,179.00,176.00,176.00,176.00,0.00,200.00,35200.00,0
2015-02-23,176.00,179.00,176.00,179.00,0.00,2180.00,383920.00,0
2015-02-24,179.00,181.00,175.00,175.00,0.00,200.00,35360.00,0
2015-04-15,175.00,172.00,169.00,169.00,0.00,90.00,15240.00,0
2015-04-21,169.00,166.00,166.00,166.00,0.00,100.00,16600.00,0
2015-05-27,166.00,166.00,166.00,166.00,0.00,160.00,26560.00,0
2015-06-24,166.00,163.00,160.00,160.00,0.00,780.00,126180.00,0
2015-07-02,160.00,161.00,161.00,161.00,0.00,1010.00,162610.00,0
2015-07-05,161.00,158.00,145.00,145.00,0.00,10500.00,1523570.00,0
2015-07-06,145.00,143.00,141.00,141.00,0.00,100.00,14140.00,0
2015-07-07,141.00,145.00,141.00,143.00,0.00,56640.00,8212080.00,0
2015-07-15,125.00,135.00,127.00,135.00,0.00,100.00,13120.00,0
2015-07-16,135.00,145.00,137.00,145.00,0.00,20000.00,2899620.00,0
2015-07-29,145.00,145.00,145.00,145.00,0.00,47420.00,6875900.00,0
2015-08-18,145.00,147.00,147.00,147.00,0.00,20.00,2940.00,0
2015-09-03,147.00,149.00,149.00,149.00,0.00,20.00,2980.00,0
2015-09-06,149.00,151.00,151.00,151.00,0.00,20.00,3020.00,0
2015-09-09,151.00,154.00,153.00,153.00,0.00,340.00,52120.00,0
2015-09-10,153.00,160.00,151.00,154.00,0.00,850.00,132340.00,0
2015-09-17,154.00,161.00,157.00,161.00,0.00,160.00,25660.00,0
2015-09-22,161.00,158.00,158.00,158.00,0.00,20.00,3160.00,0
2015-09-23,158.00,161.00,161.00,161.00,0.00,20.00,3220.00,0
2015-11-03,161.00,164.00,155.00,155.00,0.00,510.00,80700.00,0
2015-11-16,155.00,158.00,158.00,158.00,0.00,2000.00,316000.00,0
2015-11-22,158.00,161.00,161.00,161.00,0.00,40.00,6440.00,0
2015-12-01,161.00,158.00,149.00,149.00,0.00,480.00,73020.00,0
2015-12-02,149.00,151.00,151.00,151.00,0.00,30.00,4530.00,0
2015-12-21,151.00,148.00,146.00,146.00,0.00,130.00,19140.00,0
2015-12-24,146.00,144.00,144.00,144.00,0.00,40.00,5760.00,0
2015-12-27,144.00,142.00,136.00,136.00,0.00,300.00,41700.00,0
2015-12-28,136.00,136.00,132.00,132.00,0.00,470.00,62760.00,0
2015-12-29,132.00,132.00,130.00,132.00,0.00,250.00,32820.00,0
2015-12-31,132.00,130.00,130.00,130.00,0.00,60.00,7800.00,0
2016-01-03,130.00,128.00,128.00,128.00,0.00,90.00,11520.00,0
2016-01-04,128.00,126.00,126.00,126.00,0.00,240.00,30240.00,0
2016-01-05,126.00,124.00,124.00,124.00,0.00,160.00,19840.00,0
2016-01-11,124.00,122.00,122.00,122.00,0.00,30.00,3660.00,0
2016-01-12,122.00,122.00,122.00,122.00,0.00,320.00,39040.00,0
2016-01-13,122.00,120.00,118.00,118.00,0.00,70.00,8320.00,0
2016-01-14,118.00,126.00,116.00,126.00,0.00,11060.00,1308080.00,0
2016-01-21,126.00,128.00,128.00,128.00,0.00,50.00,6400.00,0
2016-02-14,128.00,140.00,130.00,140.00,0.00,60.00,8100.00,0
2016-02-15,140.00,154.00,142.00,154.00,0.00,2110.00,324530.00,0
2016-02-16,154.00,169.00,157.00,169.00,0.00,2670.00,447090.00,0
2016-02-17,169.00,175.00,172.00,175.00,0.00,35.00,6080.00,0
2016-02-18,175.00,178.00,178.00,178.00,0.00,20.00,3560.00,0
2016-02-22,178.00,187.00,181.00,187.00,0.00,65.00,11975.00,0
2016-02-23,187.00,184.00,182.00,183.00,0.00,583.00,106229.00,0
2016-04-03,183.00,180.00,174.00,174.00,0.00,30.00,5310.00,0
2016-04-04,174.00,171.00,160.00,160.00,0.00,750.00,121440.00,0
2016-04-05,160.00,157.00,157.00,157.00,0.00,100.00,15700.00,0
2016-04-06,157.00,154.00,148.00,148.00,0.00,400.00,60100.00,0
2016-04-10,148.00,159.00,149.00,159.00,0.00,1300.00,196600.00,0
2016-04-11,159.00,168.00,149.00,153.00,0.00,6550.00,1007550.00,0
2016-04-12,153.00,157.00,150.00,154.00,0.00,2930.00,450490.00,0
2016-04-14,154.00,153.00,152.00,153.00,0.00,880.00,134440.00,0
2016-04-17,153.00,156.00,150.00,153.00,0.00,3410.00,513690.00,0
2016-04-18,153.00,156.00,150.00,156.00,0.00,2170.00,330120.00,0
2016-04-19,156.00,158.00,155.00,155.00,0.00,1200.00,188500.00,0
2016-04-20,155.00,158.00,152.00,158.00,0.00,8440.00,1287210.00,0
2016-04-21,158.00,161.00,154.00,154.00,0.00,5950.00,925150.00,0
2016-04-24,154.00,151.00,151.00,151.00,0.00,300.00,45300.00,0
2016-04-25,151.00,157.00,153.00,157.00,0.00,5010.00,771710.00,0
2016-04-26,157.00,157.00,154.00,154.00,0.00,1040.00,160280.00,0
2016-04-27,154.00,164.00,157.00,163.00,0.00,3321.00,536963.00,0
2016-04-28,163.00,167.00,160.00,160.00,0.00,5320.00,865520.00,0
2016-05-02,160.00,166.00,163.00,166.00,0.00,3720.00,613260.00,0
2016-05-03,166.00,167.00,162.00,167.00,0.00,4949.00,816085.00,0
2016-05-04,167.00,165.00,165.00,165.00,0.00,105.00,17325.00,0
2016-05-05,165.00,162.00,159.00,159.00,0.00,400.00,63900.00,0
2016-05-09,159.00,171.00,162.00,171.00,0.00,630.00,103990.00,0
2016-05-10,171.00,171.00,171.00,171.00,0.00,100.00,17100.00,0
2016-05-16,171.00,168.00,165.00,165.00,0.00,100.00,16650.00,0
