published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,10.58,10.58,10.4,10.5,-0.76,55200.0,577946.0,-1
2025-12-09,10.5,10.57,10.5,10.57,0.67,20880.0,220559.8,1
2025-12-10,10.36,10.65,10.36,10.53,1.64,372900.0,3966371.54,1
2025-12-11,10.53,10.53,10.53,10.53,0.0,1600.0,16848.0,0
2025-12-14,10.4,10.62,10.4,10.62,2.12,31000.0,329075.0,1
2025-12-15,10.5,10.69,10.5,10.56,0.57,35200.0,376041.0,1
2025-12-16,10.65,10.77,10.61,10.66,0.09,180944.0,1930676.36,1
2025-12-17,10.68,10.78,10.68,10.76,0.75,36500.0,392385.0,1
2025-12-18,10.7,10.7,10.7,10.7,0.0,4500.0,48150.0,0
2025-12-21,10.7,10.71,10.6,10.6,-0.93,3100.0,33082.0,-1
2025-12-22,10.6,10.65,10.6,10.65,0.47,1020.0,10825.4,1
2025-12-23,10.58,10.7,10.58,10.7,1.13,90800.0,971476.0,1
2025-12-24,10.7,10.7,10.59,10.59,-1.03,6700.0,71109.0,-1
2025-12-28,10.6,10.7,10.6,10.65,0.47,10800.0,114992.0,1
2025-12-29,10.8,10.8,10.67,10.67,-1.2,15200.0,164134.0,-1
2025-12-31,10.67,10.7,10.67,10.69,0.19,18700.0,200078.0,1
