published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-03-19,336.00,344.00,338.00,339.00,0.00,14209.00,4824263.00,0
2015-03-22,339.00,346.00,332.00,332.00,0.00,8570.00,2899171.00,0
2015-03-23,332.00,340.00,329.00,330.00,0.00,20269.00,6719187.00,0
2015-03-24,330.00,330.00,326.00,328.00,0.00,67872.00,22282178.00,0
2015-03-25,328.00,330.00,325.00,329.00,0.00,9668.00,3159312.00,0
2015-03-26,329.00,331.00,324.00,331.00,0.00,43881.00,14334381.00,0
2015-03-29,331.00,333.00,325.00,330.00,0.00,9720.00,3186054.00,0
2015-03-30,330.00,335.00,325.00,328.00,0.00,13795.00,4498999.00,0
2015-03-31,328.00,336.00,325.00,332.00,0.00,21375.00,7001642.00,0
2015-04-01,332.00,333.00,327.00,328.00,0.00,7796.00,2560031.00,0
2015-04-02,328.00,336.00,328.00,331.00,0.00,82404.00,27301042.00,0
2015-04-05,331.00,336.00,329.00,335.00,0.00,9048.00,2988966.00,0
2015-04-06,335.00,335.00,330.00,334.00,0.00,8859.00,2931198.00,0
2015-04-07,334.00,340.00,331.00,336.00,0.00,12508.00,4201760.00,0
2015-04-08,336.00,343.00,332.00,342.00,0.00,22579.00,7619658.00,0
2015-04-09,342.00,352.00,339.00,352.00,0.00,35860.00,12274761.00,0
2015-04-12,352.00,362.00,348.00,361.00,0.00,34519.00,12279064.00,0
2015-04-13,361.00,357.00,347.00,353.00,0.00,18412.00,6476365.00,0
2015-04-15,353.00,360.00,347.00,348.00,0.00,5182.00,1803443.00,0
2015-04-16,348.00,351.00,345.00,350.00,0.00,5886.00,2055027.00,0
2015-04-19,350.00,358.00,344.00,344.00,0.00,15309.00,5307373.00,0
2015-04-20,344.00,350.00,344.00,348.00,0.00,25947.00,8976454.00,0
2015-04-21,348.00,357.00,346.00,350.00,0.00,69861.00,24494004.00,0
2015-04-22,350.00,356.00,346.00,352.00,0.00,10275.00,3591752.00,0
2015-04-23,352.00,355.00,345.00,345.00,0.00,15828.00,5535152.00,0
2015-05-24,345.00,339.00,311.00,311.00,0.00,110.00,35504.00,0
2015-05-25,311.00,305.00,280.00,280.00,0.00,3527.00,989385.00,0
2015-05-26,280.00,304.00,270.00,287.00,0.00,33239.00,9528032.00,0
2015-05-27,287.00,286.00,275.00,280.00,0.00,9613.00,2697843.00,0
2015-05-28,280.00,300.00,275.00,295.00,0.00,25968.00,7498915.00,0
2015-05-31,295.00,311.00,297.00,310.00,0.00,28021.00,8544665.00,0
2015-06-01,310.00,326.00,308.00,315.00,0.00,25940.00,8179168.00,0
2015-06-02,315.00,321.00,310.00,321.00,0.00,14742.00,4651922.00,0
2015-06-03,321.00,332.00,320.00,327.00,0.00,16535.00,5382662.00,0
2015-06-04,327.00,337.00,321.00,321.00,0.00,23373.00,7679779.00,0
2015-06-07,321.00,332.00,321.00,331.00,0.00,40127.00,13106538.00,0
2015-06-08,331.00,349.00,332.00,340.00,0.00,44051.00,14970817.00,0
2015-06-09,340.00,359.00,340.00,346.00,0.00,40846.00,14157491.00,0
2015-06-10,346.00,345.00,336.00,339.00,0.00,28548.00,9665065.00,0
2015-06-11,339.00,340.00,330.00,334.00,0.00,14059.00,4680165.00,0
2015-06-14,334.00,339.00,325.00,329.00,0.00,7684.00,2527755.00,0
2015-06-15,329.00,335.00,323.00,328.00,0.00,14482.00,4757294.00,0
2015-06-16,328.00,330.00,325.00,327.00,0.00,12651.00,4119354.00,0
2015-06-17,327.00,334.00,324.00,329.00,0.00,41105.00,13587464.00,0
2015-06-18,329.00,335.00,324.00,324.00,0.00,14249.00,4638001.00,0
2015-06-21,324.00,326.00,320.00,323.00,0.00,5825.00,1870922.00,0
2015-06-22,323.00,327.00,320.00,326.00,0.00,12935.00,4189179.00,0
2015-06-23,326.00,327.00,323.00,325.00,0.00,7229.00,2344185.00,0
2015-06-24,325.00,329.00,321.00,327.00,0.00,14749.00,4803846.00,0
2015-06-25,327.00,332.00,323.00,327.00,0.00,15304.00,4982067.00,0
2015-06-28,327.00,333.00,324.00,324.00,0.00,23180.00,7520195.00,0
2015-06-29,324.00,329.00,320.00,323.00,0.00,24960.00,8061403.00,0
2015-06-30,323.00,324.00,316.00,320.00,0.00,14535.00,4679564.00,0
2015-07-01,320.00,326.00,320.00,323.00,0.00,7123.00,2294803.00,0
2015-07-02,323.00,323.00,316.00,318.00,0.00,6419.00,2046415.00,0
2015-07-05,318.00,323.00,315.00,317.00,0.00,6756.00,2143235.00,0
2015-07-06,317.00,318.00,310.00,315.00,0.00,16946.00,5321229.00,0
2015-07-07,315.00,320.00,312.00,318.00,0.00,20351.00,6412445.00,0
2015-07-08,318.00,336.00,324.00,330.00,0.00,34472.00,11331378.00,0
2015-07-09,330.00,340.00,329.00,331.00,0.00,77704.00,25817202.00,0
2015-07-12,331.00,336.00,326.00,331.00,0.00,14531.00,4823918.00,0
2015-07-13,331.00,334.00,330.00,333.00,0.00,14167.00,4697876.00,0
2015-07-14,333.00,338.00,330.00,338.00,0.00,12223.00,4089012.00,0
2015-07-15,338.00,348.00,338.00,340.00,0.00,46656.00,15915617.00,0
2015-07-16,340.00,348.00,341.00,348.00,0.00,12066.00,4140452.00,0
2015-07-22,348.00,360.00,350.00,357.00,0.00,41410.00,14749109.00,0
2015-07-23,357.00,376.00,357.00,370.00,0.00,47383.00,17237520.00,0
2015-07-26,370.00,407.00,377.00,407.00,0.00,100052.00,39020464.00,0
2015-07-27,407.00,431.00,385.00,386.00,0.00,98678.00,39910276.00,0
2015-07-28,386.00,400.00,370.00,385.00,0.00,43338.00,16726104.00,0
2015-07-29,385.00,385.00,371.00,377.00,0.00,11324.00,4284654.00,0
2015-07-30,377.00,390.00,370.00,378.00,0.00,29557.00,11184690.00,0
2015-08-02,378.00,390.00,373.00,388.00,0.00,14130.00,5442738.00,0
2015-08-03,388.00,390.00,381.00,389.00,0.00,32041.00,12358240.00,0
2015-08-04,389.00,394.00,383.00,384.00,0.00,22976.00,8919821.00,0
2015-08-05,384.00,386.00,375.00,385.00,0.00,25304.00,9583905.00,0
2015-08-06,385.00,395.00,378.00,388.00,0.00,19735.00,7626698.00,0
2015-08-09,388.00,406.00,390.00,395.00,0.00,54049.00,21369296.00,0
2015-08-10,395.00,402.00,390.00,395.00,0.00,42658.00,16924960.00,0
2015-08-11,395.00,399.00,385.00,393.00,0.00,22817.00,8958129.00,0
2015-08-12,393.00,395.00,375.00,382.00,0.00,27437.00,10516379.00,0
2015-08-13,382.00,388.00,376.00,387.00,0.00,38761.00,14838009.00,0
2015-08-16,387.00,387.00,365.00,370.00,0.00,50071.00,18970448.00,0
2015-08-17,370.00,407.00,377.00,407.00,0.00,75252.00,30255354.00,0
2015-08-18,407.00,438.00,408.00,436.00,0.00,64366.00,27333812.00,0
2015-08-19,436.00,454.00,435.00,452.00,0.00,70388.00,31206918.00,0
2015-08-20,452.00,497.00,461.00,470.00,0.00,151985.00,72253552.00,0
2015-08-23,470.00,474.00,447.00,457.00,0.00,114929.00,53087588.00,0
2015-08-24,457.00,464.00,455.00,460.00,0.00,61147.00,28046236.00,0
2015-08-25,460.00,456.00,440.00,451.00,0.00,84902.00,38270800.00,0
2015-08-26,451.00,466.00,446.00,450.00,0.00,48053.00,21689896.00,0
