published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,903.6,965.9,895.0,950.0,5.14,103757.0,97691799.5,1
2025-12-09,937.0,974.1,919.0,930.0,-0.75,31364.0,29669336.9,-1
2025-12-10,932.0,945.0,912.1,935.0,0.32,28054.0,26153168.8,1
2025-12-11,916.3,940.0,909.0,915.0,-0.14,26886.0,24711623.3,-1
2025-12-14,903.0,934.9,903.0,909.0,0.66,34986.0,32142090.0,1
2025-12-15,909.0,923.0,901.0,909.0,0.0,18836.0,17142915.2,0
2025-12-16,909.0,936.8,909.0,936.8,3.06,31591.0,29148023.8,1
2025-12-17,936.0,950.0,931.0,940.0,0.43,28941.0,27146617.9,1
2025-12-18,938.7,949.0,916.0,918.1,-2.19,38664.0,35927483.3,-1
2025-12-21,912.0,920.0,880.2,904.9,-0.78,43491.0,39279883.0,-1
2025-12-22,886.9,958.0,869.2,958.0,8.02,32879.0,29194456.6,1
2025-12-23,940.0,940.0,885.6,917.0,-2.45,14782.0,13449866.5,-1
2025-12-24,918.0,918.0,897.7,915.0,-0.33,13611.0,12310300.0,-1
2025-12-28,933.3,933.3,907.5,924.0,-1.0,35163.0,32447423.7,-1
2025-12-29,920.0,928.0,906.0,928.0,0.87,25741.0,23506272.9,1
2025-12-31,928.0,1001.0,911.0,988.0,6.47,92718.0,88745682.0,1
2026-01-01,988.0,1045.0,970.0,1025.0,3.74,82519.0,84169454.1,1
2026-01-04,1025.5,1061.9,1003.0,1059.8,3.34,73974.0,76705754.5,1
2026-01-05,1059.0,1097.0,1040.0,1055.4,-0.34,64997.0,69172184.2,-1
2026-01-06,1057.0,1102.0,1006.0,1032.0,-2.37,91194.0,95747220.6,-1
2026-01-07,1018.0,1079.0,1016.3,1040.0,2.16,71883.0,75167662.6,1
2026-01-08,1021.0,1050.0,1021.0,1038.9,1.75,38536.0,39907234.3,1
2026-01-12,1038.9,1110.0,1020.0,1073.0,3.28,66094.0,70746809.5,1
2026-01-13,1052.0,1138.0,1025.0,1049.0,-0.29,52864.0,56959861.0,-1
2026-01-14,1029.0,1050.0,1021.0,1048.0,1.85,32964.0,34237806.2,1
2026-01-18,1030.0,1095.0,1030.0,1068.0,3.69,51240.0,54616530.1,1
