published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-04-01,209.00,225.00,187.00,196.00,-4.39,21750.00,4673650.00,-1
2018-04-02,199.00,200.00,183.00,188.00,-4.08,6180.00,1170320.00,-1
2018-04-03,185.00,194.00,182.00,188.00,0.00,2090.00,385790.00,0
2018-04-04,190.00,194.00,184.00,194.00,3.19,850.00,161080.00,1
2018-04-05,194.00,204.00,186.00,204.00,5.15,3630.00,702290.00,1
2018-04-08,208.00,208.00,191.00,197.00,-3.43,4070.00,812030.00,-1
2018-04-09,195.00,200.00,192.00,200.00,1.52,3250.00,636010.00,1
2018-04-10,196.00,208.00,190.00,208.00,4.00,2540.00,504250.00,1
2018-04-11,210.00,210.00,195.00,199.00,-4.33,1560.00,322480.00,-1
2018-04-12,200.00,202.00,191.00,196.00,-1.51,6020.00,1183650.00,-1
2018-04-15,194.00,205.00,194.00,205.00,4.59,2980.00,591050.00,1
2018-04-16,201.00,212.00,196.00,198.00,-3.41,5310.00,1083520.00,-1
2018-04-17,200.00,204.00,196.00,199.00,0.51,1635.00,324915.00,1
2018-04-18,196.00,218.00,196.00,218.00,9.55,5500.00,1156990.00,1
2018-04-19,218.00,226.00,210.00,210.00,-3.67,6566.00,1419424.00,-1
2018-04-22,207.00,224.00,207.00,224.00,6.67,10737.00,2289336.00,1
2018-04-23,220.00,220.00,205.00,209.00,-6.70,2670.00,567270.00,-1
2018-04-24,209.00,215.00,201.00,213.00,1.91,2230.00,465970.00,1
2018-04-25,217.00,217.00,201.00,208.00,-2.35,560.00,114990.00,-1
2018-04-26,204.00,205.00,203.00,203.00,-2.40,1230.00,251110.00,-1
2018-04-29,199.00,207.00,199.00,203.00,0.00,4020.00,808690.00,0
2018-05-02,200.00,210.00,200.00,210.00,3.45,6655.00,1360610.00,1
2018-05-03,214.00,214.00,205.00,207.00,-1.43,1380.00,284980.00,-1
2018-05-06,206.00,218.00,203.00,215.00,3.86,5045.00,1073820.00,1
2018-05-07,218.00,222.00,210.00,212.00,-1.40,2940.00,634000.00,-1
2018-05-08,213.00,214.00,208.00,209.00,-1.42,2105.00,441030.00,-1
2018-05-09,210.00,214.00,205.00,209.00,0.00,4020.00,834310.00,0
2018-05-10,208.00,210.00,207.00,207.00,-0.96,2990.00,621320.00,-1
2018-05-14,211.00,217.00,207.00,208.00,0.48,3780.00,801690.00,1
2018-05-15,205.00,222.00,205.00,213.00,2.40,5948.00,1298476.00,1
2018-05-16,215.00,224.00,215.00,221.00,3.76,3720.00,818880.00,1
2018-05-17,221.00,233.00,220.00,229.00,3.62,8242.00,1891778.00,1
2018-05-20,233.00,235.00,225.00,234.00,2.18,3590.00,828370.00,1
2018-05-21,235.00,243.00,230.00,234.00,0.00,5050.00,1198730.00,0
2018-05-22,238.00,238.00,230.00,232.00,-0.85,1120.00,260885.00,-1
2018-05-23,228.00,238.00,226.00,227.00,-2.16,1720.00,391820.00,-1
2018-05-24,228.00,233.00,225.00,233.00,2.64,3990.00,914160.00,1
2018-05-27,230.00,231.00,222.00,230.00,-1.29,3288.00,749302.00,-1
2018-05-28,226.00,237.00,223.00,233.00,1.30,1020.00,234620.00,1
2018-05-29,229.00,236.00,229.00,233.00,0.00,1910.00,447690.00,0
2018-05-30,229.00,235.00,228.00,235.00,0.86,1512.00,350246.00,1
2018-05-31,238.00,238.00,225.00,230.00,-2.13,1080.00,246680.00,-1
2018-06-03,230.00,230.00,224.00,225.00,-2.17,2715.00,611800.00,-1
2018-06-04,221.00,226.00,221.00,224.00,-0.44,780.00,174990.00,-1
2018-06-06,228.00,235.00,228.00,228.00,1.79,2170.00,502280.00,1
2018-06-07,228.00,233.00,224.00,228.00,0.00,2640.00,606770.00,0
2018-06-10,224.00,228.00,224.00,224.00,-1.75,2600.00,588320.00,-1
2018-06-11,221.00,226.00,220.00,225.00,0.45,1040.00,232580.00,1
2018-06-12,225.00,241.00,222.00,241.00,7.11,6212.00,1449760.00,1
2018-06-13,238.00,265.00,231.00,264.00,9.54,7795.00,1957180.00,1
2018-06-14,268.00,290.00,262.00,290.00,9.85,11583.00,3299859.00,1
2018-06-17,288.00,319.00,287.00,319.00,10.00,17041.00,5160479.00,1
2018-06-18,313.00,313.00,288.00,288.00,-9.72,8600.00,2559876.00,-1
2018-06-19,262.00,257.00,243.00,250.00,-4.58,1830.00,455476.00,-1
2018-06-20,246.00,246.00,237.00,240.00,-4.00,630.00,151520.00,-1
2018-06-21,236.00,236.00,230.00,232.00,-3.33,510.00,118820.00,-1
2018-06-24,228.00,232.00,220.00,228.00,-1.72,940.00,213580.00,-1
2018-06-25,225.00,230.00,221.00,226.00,-0.88,3021.00,668365.00,-1
2018-06-26,226.00,228.00,222.00,224.00,-0.88,3310.00,741680.00,-1
2018-06-27,220.00,224.00,220.00,223.00,-0.45,167.00,37104.00,-1
2018-06-28,225.00,227.00,225.00,225.00,0.90,410.00,92340.00,1
2018-07-01,221.00,226.00,217.00,225.00,0.00,410.00,91690.00,0
2018-07-02,221.00,223.00,217.00,218.00,-3.11,899.00,196123.00,-1
2018-07-03,222.00,222.00,214.00,217.00,-0.46,340.00,73980.00,-1
2018-07-04,215.00,218.00,211.00,217.00,0.00,230.00,49490.00,0
2018-07-05,219.00,231.00,219.00,231.00,6.45,420.00,93960.00,1
2018-07-08,235.00,243.00,227.00,231.00,0.00,2710.00,629960.00,0
2018-07-09,229.00,230.00,222.00,230.00,-0.43,240.00,54290.00,-1
2018-07-10,230.00,230.00,220.00,225.00,-2.17,1060.00,239130.00,-1
2018-07-11,225.00,232.00,222.00,232.00,3.11,300.00,67190.00,1
2018-07-12,236.00,236.00,215.00,219.00,-5.60,3970.00,878310.00,-1
2018-07-15,215.00,222.00,213.00,220.00,0.46,690.00,150350.00,1
2018-07-16,220.00,222.00,218.00,220.00,0.00,260.00,57180.00,0
2018-07-17,218.00,221.00,218.00,220.00,0.00,234.00,51352.00,0
2018-07-18,220.00,223.00,218.00,223.00,1.36,240.00,53000.00,1
2018-07-19,222.00,223.00,220.00,223.00,0.00,350.00,77910.00,0
2018-07-22,220.00,232.00,220.00,232.00,4.04,550.00,124160.00,1
2018-07-23,230.00,236.00,227.00,232.00,0.00,840.00,194470.00,0
2018-07-24,232.00,232.00,226.00,228.00,-1.72,726.00,166680.00,-1
2018-07-25,225.00,234.00,225.00,228.00,0.00,709.00,163646.00,0
2018-07-26,228.00,230.00,228.00,230.00,0.88,380.00,86800.00,1
2018-07-29,226.00,234.00,226.00,234.00,1.74,180.00,41520.00,1
2018-07-30,230.00,234.00,229.00,232.00,-0.85,530.00,122000.00,-1
2018-07-31,229.00,233.00,229.00,233.00,0.43,1320.00,303940.00,1
2018-08-01,229.00,233.00,225.00,230.00,-1.29,210.00,48100.00,-1
2018-08-02,231.00,232.00,224.00,224.00,-2.61,280.00,63270.00,-1
2018-08-05,225.00,226.00,223.00,224.00,0.00,190.00,42650.00,0
2018-08-06,227.00,230.00,224.00,230.00,2.68,1650.00,375840.00,1
2018-08-07,231.00,231.00,224.00,224.00,-2.61,400.00,91190.00,-1
2018-08-08,220.00,224.00,220.00,222.00,-0.89,200.00,44330.00,-1
2018-08-09,222.00,224.00,219.00,220.00,-0.90,1490.00,328310.00,-1
2018-08-12,217.00,220.00,217.00,220.00,0.00,200.00,43870.00,0
2018-08-13,220.00,224.00,217.00,221.00,0.45,200.00,43970.00,1
2018-08-14,220.00,224.00,220.00,222.00,0.45,310.00,68550.00,1
2018-08-15,222.00,226.00,219.00,226.00,1.80,190.00,42120.00,1
2018-08-16,222.00,225.00,221.00,223.00,-1.33,568.00,127032.00,-1
2018-08-19,219.00,223.00,219.00,220.00,-1.35,200.00,44140.00,-1
2018-08-20,218.00,222.00,217.00,221.00,0.45,180.00,39500.00,1
2018-08-21,218.00,225.00,214.00,221.00,0.00,630.00,140110.00,0
2018-08-22,217.00,220.00,217.00,220.00,-0.45,170.00,37220.00,-1
2018-08-23,217.00,224.00,217.00,224.00,1.82,350.00,76710.00,1
2018-08-26,220.00,225.00,217.00,225.00,0.45,380.00,84270.00,1
2018-08-28,221.00,221.00,217.00,220.00,-2.22,130.00,28460.00,-1
2018-08-29,216.00,220.00,216.00,220.00,0.00,1010.00,221480.00,0
2018-08-30,217.00,221.00,217.00,217.00,-1.36,240.00,52560.00,-1
2018-09-02,216.00,224.00,216.00,224.00,3.23,200.00,43990.00,1
2018-09-03,220.00,221.00,218.00,221.00,-1.34,110.00,24170.00,-1
2018-09-04,217.00,221.00,217.00,220.00,-0.45,160.00,35000.00,-1
2018-09-05,217.00,227.00,217.00,227.00,3.18,380.00,84220.00,1
2018-09-06,231.00,231.00,221.00,228.00,0.44,380.00,85310.00,1
2018-09-09,228.00,229.00,221.00,223.00,-2.19,370.00,82830.00,-1
2018-09-10,219.00,223.00,219.00,223.00,0.00,110.00,24220.00,0
2018-09-11,220.00,225.00,218.00,219.00,-1.79,960.00,211420.00,-1
2018-09-12,216.00,220.00,216.00,216.00,-1.37,70.00,15260.00,-1
2018-09-13,213.00,217.00,213.00,215.00,-0.46,130.00,27930.00,-1
2018-09-16,212.00,224.00,212.00,220.00,2.33,220.00,48110.00,1
2018-09-17,216.00,219.00,216.00,219.00,-0.45,190.00,41440.00,-1
2018-09-18,215.00,224.00,215.00,224.00,2.28,300.00,65270.00,1
2018-09-20,220.00,220.00,214.00,220.00,-1.79,260.00,56740.00,-1
2018-09-23,216.00,222.00,212.00,222.00,0.91,1514.00,324752.00,1
2018-09-25,218.00,218.00,218.00,218.00,-1.80,183.00,39894.00,-1
2018-09-26,215.00,216.00,211.00,216.00,-0.92,253.00,53955.00,-1
2018-09-27,212.00,215.00,212.00,215.00,-0.46,302.00,64586.00,-1
2018-09-30,212.00,212.00,207.00,212.00,-1.40,512.00,107140.00,-1
2018-10-01,208.00,214.00,208.00,214.00,0.94,371.00,77725.00,1
2018-10-02,210.00,213.00,210.00,213.00,-0.47,502.00,105823.00,-1
2018-10-03,213.00,213.00,209.00,211.00,-0.94,255.00,53825.00,-1
2018-10-04,207.00,208.00,205.00,207.00,-1.90,611.00,126057.00,-1
2018-10-07,204.00,204.00,200.00,203.00,-1.93,634.00,128571.00,-1
2018-10-08,205.00,205.00,200.00,201.00,-0.99,560.00,113054.00,-1
2018-10-09,204.00,210.00,198.00,199.00,-1.00,611.00,123668.00,-1
2018-10-10,196.00,199.00,196.00,198.00,-0.50,339.00,66825.00,-1
2018-10-11,195.00,198.00,194.00,198.00,0.00,242.00,47468.00,0
2018-10-14,196.00,196.00,195.00,195.00,-1.52,240.00,46895.00,-1
2018-10-15,198.00,205.00,196.00,196.00,0.51,208.00,41393.00,1
2018-10-21,194.00,194.00,190.00,190.00,-3.06,599.00,114464.00,-1
2018-10-22,188.00,193.00,188.00,189.00,-0.53,1455.00,277144.00,-1
