published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,715.0,724.2,700.7,724.2,1.29,1631.0,1160015.0,1
2025-12-09,738.6,738.6,710.0,715.1,-3.18,2430.0,1737243.3,-1
2025-12-10,701.2,742.5,701.2,733.9,4.66,5226.0,3816551.9,1
2025-12-11,747.0,747.0,723.5,729.9,-2.29,704.0,511329.0,-1
2025-12-14,715.4,732.0,709.0,717.9,0.35,4925.0,3525346.2,1
2025-12-15,717.0,720.0,705.0,720.0,0.42,581.0,413442.2,1
2025-12-16,710.1,722.0,710.0,716.0,0.83,1091.0,784306.0,1
2025-12-17,713.0,729.0,710.0,717.0,0.56,3524.0,2517782.5,1
2025-12-18,711.0,720.0,709.0,714.0,0.42,1935.0,1376593.0,1
2025-12-21,710.0,713.9,709.0,713.9,0.55,1511.0,1072725.9,1
2025-12-22,709.1,721.9,699.7,709.0,-0.01,919.0,654305.9,-1
2025-12-23,696.0,712.0,696.0,712.0,2.3,2291.0,1621659.0,1
2025-12-24,703.0,713.0,695.0,713.0,1.42,2311.0,1617233.9,1
2025-12-28,712.0,719.0,703.0,719.0,0.98,2948.0,2081028.6,1
2025-12-29,705.3,717.9,705.3,716.0,1.52,90.0,63749.0,1
2025-12-31,716.0,728.9,706.0,718.0,0.28,453.0,323764.0,1
2026-01-01,705.2,716.0,690.0,709.0,0.54,3648.0,2546013.5,1
2026-01-04,695.0,700.0,686.0,700.0,0.72,2393.0,1659715.2,1
2026-01-05,686.3,709.8,686.3,703.0,2.43,3268.0,2304236.5,1
2026-01-06,689.0,729.0,689.0,715.0,3.77,2829.0,2013929.8,1
2026-01-07,705.1,722.9,702.4,709.0,0.55,1484.0,1053095.4,1
2026-01-08,700.0,707.0,695.2,706.0,0.86,719.0,503618.3,1
2026-01-12,693.0,720.0,693.0,709.9,2.44,1062.0,743872.0,1
2026-01-13,697.3,720.0,697.3,718.9,3.1,2021.0,1427982.9,1
2026-01-14,718.0,725.0,713.0,721.9,0.54,2400.0,1726760.0,1
2026-01-18,710.0,730.0,710.0,730.0,2.82,1943.0,1399089.1,1
2026-01-20,718.0,739.0,717.2,730.0,1.67,2229.0,1623876.8,1
2026-01-21,718.0,735.0,718.0,733.0,2.09,3191.0,2311689.8,1
2026-01-22,718.4,806.0,718.4,799.0,11.22,13718.0,10425076.4,1
2026-01-25,784.0,830.0,753.1,801.9,2.28,7435.0,5895123.3,1
2026-01-26,786.0,833.0,770.0,792.0,0.76,11839.0,9288888.7,1
2026-01-27,807.8,807.8,760.0,769.9,-4.69,5642.0,4328393.8,-1
2026-01-28,754.6,777.0,744.8,777.0,2.97,3897.0,2969110.6,1
2026-01-29,761.5,837.0,750.1,835.0,9.65,6626.0,5148308.2,1
2026-02-01,851.7,851.7,751.5,757.0,-11.12,33610.0,25599306.7,-1
2026-02-02,741.9,765.0,730.1,761.9,2.7,5187.0,3884612.0,1
2026-02-03,746.7,799.0,732.1,799.0,7.0,7873.0,5929209.9,1
2026-02-04,783.1,783.1,737.2,766.0,-2.18,19082.0,14197202.1,-1
2026-02-05,750.7,780.0,735.7,773.0,2.97,7089.0,5373654.4,1
2026-02-08,757.6,780.0,750.0,763.7,0.81,6215.0,4707701.1,1
2026-02-09,748.5,778.0,734.0,747.0,-0.2,3941.0,2919499.5,-1
2026-02-10,732.1,760.0,732.1,744.0,1.63,3818.0,2830528.5,1
2026-02-11,758.8,758.8,732.0,739.8,-2.5,1555.0,1149201.2,-1
2026-02-12,726.0,738.9,720.0,725.1,-0.12,2636.0,1919409.4,-1
2026-02-16,711.1,739.0,711.1,725.0,1.95,2402.0,1724460.0,1
2026-02-17,716.1,725.0,709.0,709.0,-0.99,2620.0,1868916.0,-1
2026-02-22,723.1,723.1,694.9,704.0,-2.64,2379.0,1662584.0,-1
2026-02-23,718.0,718.0,692.1,709.9,-1.13,1220.0,863145.0,-1
2026-02-24,723.9,723.9,698.0,720.0,-0.54,1910.0,1346347.1,-1
2026-02-25,707.0,715.0,700.0,715.0,1.13,1004.0,708336.5,1
2026-02-26,715.0,720.0,690.0,716.9,0.27,2540.0,1788121.5,1
2026-03-01,703.0,714.0,695.0,705.1,0.3,645.0,452906.5,1
2026-03-03,710.0,722.0,705.1,722.0,1.69,1390.0,990283.0,1
2026-03-09,736.4,740.0,736.4,740.0,0.49,30.0,22128.0,1
2026-03-10,754.8,769.0,730.0,752.0,-0.37,6441.0,4785919.0,-1
2026-03-11,737.0,751.7,734.1,747.0,1.36,1670.0,1238325.0,1
2026-03-12,734.0,750.0,734.0,740.0,0.82,2579.0,1905549.0,1
2026-03-15,730.0,740.0,715.0,721.5,-1.16,5935.0,4289314.7,-1
2026-03-16,707.1,723.6,707.1,716.0,1.26,3051.0,2179979.3,1
2026-03-17,718.0,724.0,711.1,720.0,0.28,872.0,628173.0,1
2026-03-19,725.0,727.9,708.6,722.0,-0.41,10709.0,7681936.2,-1
2026-03-22,730.0,730.0,709.0,725.0,-0.68,6574.0,4721621.0,-1
2026-03-23,715.0,733.0,711.1,717.0,0.28,2912.0,2101000.8,1
