published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1070.1,1092.0,1070.1,1092.0,2.05,157.0,170586.3,1
2025-12-09,1074.1,1076.1,1074.1,1076.1,0.19,75.0,80657.5,1
2025-12-10,1076.0,1076.0,1074.0,1075.4,-0.06,95.0,102122.5,-1
2025-12-11,1092.0,1092.0,1092.0,1092.0,0.0,25.0,27300.0,0
2025-12-14,1074.6,1075.1,1070.5,1070.5,-0.38,275.0,295395.0,-1
2025-12-16,1064.4,1064.4,1064.4,1064.4,0.0,25.0,26610.0,0
2025-12-17,1065.3,1065.3,1065.3,1065.3,0.0,50.0,53265.0,0
2025-12-18,1075.0,1075.0,1075.0,1075.0,0.0,25.0,26875.0,0
2025-12-21,1075.0,1080.0,1075.0,1080.0,0.47,235.0,253675.0,1
2025-12-22,1080.0,1080.0,1080.0,1080.0,0.0,25.0,27000.0,0
2025-12-24,1076.1,1080.0,1076.1,1080.0,0.36,75.0,80816.0,1
2025-12-28,1079.0,1080.0,1079.0,1080.0,0.09,60.0,64775.0,1
2025-12-29,1080.0,1080.0,1080.0,1075.1,-0.45,5.0,5375.5,-1
2025-12-31,1082.0,1096.0,1082.0,1083.0,0.09,200.0,217235.0,1
2026-01-05,1083.0,1100.0,1077.0,1085.0,0.18,125.0,136125.0,1
2026-01-06,1085.1,1085.1,1085.1,1085.1,0.0,42.0,45574.2,0
2026-01-07,1085.0,1085.0,1080.1,1080.1,-0.45,100.0,108255.0,-1
2026-01-08,1077.1,1077.1,1077.1,1077.1,0.0,50.0,53855.0,0
2026-01-12,1080.0,1080.0,1075.0,1075.0,-0.46,75.0,80750.0,-1
2026-01-14,1075.0,1080.0,1070.0,1075.0,0.0,105.0,112875.0,0
2026-01-18,1055.0,1058.0,1055.0,1058.0,0.28,75.0,79275.0,1
2026-01-20,1036.9,1057.7,1036.9,1051.5,1.41,550.0,580475.0,1
2026-01-21,1040.0,1060.0,1040.0,1060.0,1.92,75.0,79000.0,1
2026-01-25,1053.1,1053.1,1053.1,1053.1,0.0,25.0,26327.5,0
2026-01-26,1054.0,1060.0,1054.0,1060.0,0.57,175.0,185212.5,1
2026-01-28,1060.0,1060.0,1055.0,1056.2,-0.36,75.0,79280.0,-1
2026-01-29,1058.0,1059.9,1058.0,1059.9,0.18,375.0,397272.5,1
2026-02-01,1060.0,1060.0,1055.0,1055.0,-0.47,300.0,317750.0,-1
2026-02-02,1055.0,1055.0,1055.0,1055.0,0.0,25.0,26375.0,0
2026-02-03,1049.0,1049.0,1049.0,1049.0,0.0,25.0,26225.0,0
2026-02-04,1050.0,1050.0,1050.0,1050.0,0.0,25.0,26250.0,0
2026-02-05,1060.0,1060.0,1050.0,1050.0,-0.94,50.0,52750.0,-1
2026-02-08,1046.3,1055.0,1046.3,1055.0,0.83,50.0,52532.5,1
2026-02-09,1050.5,1051.3,1050.5,1051.3,0.08,50.0,52545.0,1
2026-02-10,1051.3,1051.3,1051.3,1051.3,0.0,20.0,21026.0,0
2026-02-11,1050.0,1051.3,1050.0,1051.3,0.12,75.0,78782.5,1
2026-02-12,1051.0,1051.0,1051.0,1051.0,0.0,100.0,105100.0,0
2026-02-16,1051.0,1051.0,1040.2,1040.2,-1.03,75.0,78555.0,-1
2026-02-17,1050.0,1058.0,1050.0,1058.0,0.76,125.0,132050.0,1
2026-02-23,1058.0,1058.0,1058.0,1058.0,0.0,50.0,52900.0,0
2026-02-25,1049.1,1060.0,1049.1,1060.0,1.04,125.0,131620.0,1
2026-02-26,1052.1,1052.1,1052.1,1052.1,0.0,25.0,26302.5,0
2026-03-03,1055.0,1056.0,1055.0,1056.0,0.09,50.0,52775.0,1
2026-03-10,1035.3,1056.0,1035.3,1056.0,2.0,75.0,78587.5,1
2026-03-11,1055.0,1056.0,1055.0,1055.0,0.0,125.0,131910.0,0
2026-03-12,1055.0,1065.0,1055.0,1065.0,0.95,160.0,170125.0,1
2026-03-15,1066.0,1066.0,1055.3,1055.3,-1.0,50.0,53032.5,-1
2026-03-16,1068.0,1068.0,1065.0,1065.0,-0.28,75.0,80025.0,-1
2026-03-19,1066.0,1066.0,1066.0,1066.0,0.0,100.0,106600.0,0
2026-03-22,1055.0,1070.0,1055.0,1070.0,1.42,383.0,404815.0,1
2026-03-23,1055.0,1055.0,1055.0,1055.0,0.0,25.0,26375.0,0
2026-03-24,1045.0,1065.0,1045.0,1065.0,1.91,425.0,451025.0,1
2026-03-25,1043.8,1070.0,1043.7,1070.0,2.51,125.0,132437.5,1
2026-03-26,1078.0,1078.0,1078.0,1078.0,0.0,25.0,26950.0,0
2026-04-05,1056.5,1056.5,1056.5,1056.5,0.0,50.0,52825.0,0
2026-04-06,1037.0,1045.0,1036.5,1045.0,0.77,75.0,78072.5,1
2026-04-07,1060.0,1081.0,1059.5,1059.5,-0.05,255.0,272807.5,-1
2026-04-09,1060.0,1060.0,1060.0,1060.0,0.0,50.0,53000.0,0
2026-04-15,1060.0,1060.0,1060.0,1060.0,0.0,50.0,53000.0,0
2026-04-16,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2026-04-20,1055.3,1057.0,1055.3,1057.0,0.16,50.0,52807.5,1
2026-04-21,1042.0,1056.1,1042.0,1055.1,1.26,70.0,73737.5,1
2026-04-22,1055.0,1057.0,1055.0,1057.0,0.19,65.0,68607.5,1
2026-04-24,1057.0,1057.1,1057.1,1057.1,0.01,15.0,15856.5,1
2026-04-27,1057.1,1113.0,1080.0,1078.0,1.98,366.0,400290.0,1
2026-04-29,1078.0,1078.0,1078.0,1056.0,-2.04,2.0,2112.0,-1
2026-04-30,1070.0,1070.0,1070.0,1070.0,0.0,50.0,53500.0,0
2026-05-05,1070.0,1070.0,1070.0,1123.5,5.0,1.0,1123.5,1
