published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,15188.0,15190.0,15000.1,15005.1,-1.2,610.0,9229434.0,-1
2025-12-09,15248.0,15249.0,14710.1,14710.1,-3.53,180.0,2699890.0,-1
2025-12-10,14850.0,14900.0,14850.0,14900.0,0.34,20.0,297500.0,1
2025-12-11,15100.0,15100.0,14750.0,15000.0,-0.66,80.0,1192980.0,-1
2025-12-14,15261.0,15261.0,15000.0,15000.0,-1.71,90.0,1352794.0,-1
2025-12-15,15190.0,15190.0,14887.0,14890.0,-1.97,69.0,1036430.0,-1
2025-12-16,14999.0,15099.0,14999.0,15045.0,0.31,135.0,2026390.0,1
2025-12-17,15299.0,15299.0,14752.1,14752.1,-3.57,40.0,600442.0,-1
2025-12-18,14999.0,15000.0,14998.0,15000.0,0.01,110.0,1649940.0,1
2025-12-21,14705.1,14989.0,14700.0,14710.0,0.03,369.0,5433543.0,1
2025-12-22,14710.0,14715.1,14700.1,14700.6,-0.06,73.0,1073578.3,-1
2025-12-23,14420.0,14550.1,14420.0,14550.0,0.9,233.0,3371070.3,1
2025-12-24,14550.0,15137.8,14550.0,14940.0,2.68,168.0,2466097.0,1
2025-12-28,14700.0,15100.0,14641.2,15050.0,2.38,371.0,5548593.5,1
2025-12-29,14905.0,15000.0,14832.0,14970.0,0.44,535.0,7990600.0,1
2025-12-31,15000.0,15000.0,14841.0,14841.0,-1.06,230.0,3448410.0,-1
2026-01-01,14553.0,14948.0,14550.1,14948.0,2.71,120.0,1775731.0,1
2026-01-04,14655.1,15070.0,14655.1,14781.0,0.86,70.0,1037421.0,1
2026-01-05,14978.0,15000.0,14955.0,15000.0,0.15,427.0,6396931.0,1
2026-01-06,15000.0,15000.0,14999.0,15000.0,0.0,140.0,2099980.0,0
2026-01-07,15195.0,15195.0,14788.0,14794.0,-2.64,90.0,1352421.0,-1
2026-01-08,14794.0,14900.0,14794.0,14900.0,0.72,146.0,2165867.0,1
2026-01-12,15000.0,15100.0,14750.0,14760.1,-1.6,506.0,7542284.0,-1
2026-01-13,15055.0,15055.0,14850.0,14850.0,-1.36,572.0,8538791.0,-1
2026-01-14,14875.0,15000.0,14860.0,14980.0,0.71,207.0,3095755.0,1
2026-01-18,14999.0,15000.0,14730.0,15000.0,0.01,202.0,3024411.0,1
2026-01-20,15248.8,15250.0,14945.0,15013.0,-1.55,320.0,4807236.0,-1
2026-01-21,15200.0,15200.0,14900.0,14900.0,-1.97,70.0,1047210.0,-1
2026-01-22,14805.1,14990.0,14800.1,14990.0,1.25,70.0,1040142.0,1
2026-01-25,14800.0,15038.9,14800.0,15022.0,1.5,250.0,3748844.0,1
2026-01-26,15000.0,15179.9,14980.0,15000.0,0.0,100.0,1501699.0,0
2026-01-27,15000.0,15000.0,14933.0,14934.0,-0.44,230.0,3440811.0,-1
2026-01-28,14901.1,15028.0,14860.0,15028.0,0.85,1090.0,16341731.0,1
2026-01-29,14902.0,15000.0,14902.0,15000.0,0.66,1196.0,17850159.0,1
2026-02-01,15000.0,15050.0,14886.0,14900.0,-0.67,440.0,6592930.0,-1
2026-02-02,15120.0,15120.0,14900.0,14999.9,-0.79,149.0,2230165.5,-1
2026-02-03,14811.0,15149.0,14810.0,14861.0,0.34,450.0,6734800.0,1
2026-02-04,14816.0,15000.0,14816.0,15000.0,1.24,100.0,1490800.0,1
2026-02-05,14860.0,15049.0,14832.0,14910.0,0.34,140.0,2094490.0,1
2026-02-08,14999.0,15005.0,14950.0,15005.0,0.04,144.0,2159439.0,1
2026-02-09,15005.0,15150.0,15005.0,15005.0,0.0,240.0,3615980.0,0
2026-02-10,14860.0,15200.0,14858.0,15060.0,1.35,701.0,10550160.0,1
2026-02-11,15190.0,15190.0,15010.0,15016.0,-1.15,430.0,6461780.0,-1
