published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,375.0,401.5,373.0,385.0,2.67,65424.0,24953409.8,1
2025-12-09,378.0,392.0,377.0,379.0,0.26,80488.0,30663598.3,1
2025-12-10,381.0,382.0,368.8,372.0,-2.36,31667.0,11812575.5,-1
2025-12-11,366.1,373.0,361.7,365.0,-0.3,47054.0,17204464.1,-1
2025-12-14,364.0,370.0,358.0,369.5,1.51,23890.0,8740743.6,1
2025-12-15,366.7,372.5,363.3,369.9,0.87,29601.0,10898641.0,1
2025-12-16,363.0,377.0,362.5,367.4,1.21,41174.0,15069549.1,1
2025-12-17,372.6,375.0,370.0,372.0,-0.16,44341.0,16501276.2,-1
2025-12-18,372.0,376.0,357.7,367.0,-1.34,72010.0,26452817.6,-1
2025-12-21,359.7,366.0,348.0,354.0,-1.58,228290.0,81481438.3,-1
2025-12-22,350.0,355.0,347.0,347.6,-0.69,128516.0,44925241.2,-1
2025-12-23,350.0,370.0,350.0,366.0,4.57,175636.0,63505205.6,1
2025-12-24,360.0,370.9,360.0,368.0,2.22,114956.0,42096839.1,1
2025-12-28,369.0,369.0,358.0,365.0,-1.08,174016.0,63034438.2,-1
2025-12-29,363.0,366.7,353.0,357.0,-1.65,145332.0,51915289.5,-1
2025-12-31,351.1,365.0,351.1,359.0,2.25,73967.0,26685978.5,1
2026-01-01,354.1,364.9,353.0,355.9,0.51,65861.0,23505164.7,1
2026-01-04,350.0,357.9,350.0,354.8,1.37,47676.0,16836199.7,1
2026-01-05,350.0,365.1,350.0,361.0,3.14,124557.0,44661522.5,1
2026-01-06,354.0,379.2,354.0,370.0,4.52,208080.0,77683346.3,1
2026-01-07,362.6,383.0,362.6,379.0,4.52,193176.0,73075889.0,1
2026-01-08,372.0,380.0,372.0,372.6,0.16,122478.0,46049691.6,1
2026-01-12,380.0,380.0,366.0,367.0,-3.42,121005.0,45032940.0,-1
2026-01-13,359.7,375.0,359.7,365.1,1.5,165850.0,61038512.5,1
2026-01-14,357.8,377.0,357.8,368.9,3.1,91937.0,33700172.1,1
2026-01-18,361.6,379.7,361.6,373.6,3.32,107237.0,40129355.7,1
2026-01-20,366.2,382.0,366.2,378.0,3.22,203155.0,76889522.7,1
2026-01-21,370.5,405.9,370.5,398.8,7.64,396172.0,156105313.8,1
2026-01-22,390.9,404.0,387.0,397.0,1.56,177856.0,70303946.8,1
2026-01-25,389.1,404.5,387.0,397.9,2.26,215390.0,85605010.1,1
2026-01-26,397.9,412.0,392.2,408.9,2.76,322935.0,129231564.1,1
2026-01-27,400.8,437.0,400.8,425.0,6.04,656245.0,278705057.0,1
2026-01-28,425.0,457.0,425.0,455.1,7.08,684355.0,307331760.1,1
2026-01-29,464.2,464.2,432.2,436.0,-6.07,370756.0,164941282.1,-1
2026-02-01,436.0,436.0,413.7,416.0,-4.59,331732.0,139834004.4,-1
2026-02-02,407.7,428.5,407.7,424.3,4.07,206026.0,87106098.9,1
2026-02-03,415.9,441.2,415.9,424.0,1.95,198275.0,85326193.5,1
2026-02-04,415.6,431.0,414.0,420.0,1.06,205528.0,86577445.7,1
2026-02-05,411.6,426.0,411.6,421.0,2.28,208120.0,87864924.8,1
2026-02-08,422.0,432.9,415.0,415.0,-1.66,180215.0,76192298.9,-1
2026-02-09,416.0,422.0,402.1,406.0,-2.4,181473.0,74262055.7,-1
2026-02-10,400.0,414.1,394.0,396.0,-1.0,160726.0,64531408.9,-1
2026-02-11,388.1,411.0,388.1,399.0,2.81,88875.0,35384438.1,1
2026-02-12,391.1,420.0,391.1,410.0,4.83,163746.0,67310119.2,1
2026-02-16,401.8,418.4,401.8,413.5,2.91,101246.0,41841587.8,1
2026-02-17,413.5,415.0,397.0,401.0,-3.02,118989.0,48012405.9,-1
2026-02-22,401.0,401.0,388.0,388.3,-3.17,102655.0,40217802.6,-1
2026-02-23,384.2,395.0,379.6,380.0,-1.09,83672.0,32131318.4,-1
2026-02-24,380.0,388.0,380.0,387.9,2.08,46712.0,17993932.8,1
2026-02-25,380.2,399.0,380.2,393.5,3.5,51018.0,20023977.5,1
2026-02-26,385.7,399.8,385.7,392.0,1.63,62372.0,24341542.4,1
2026-03-01,390.0,392.0,383.0,390.0,0.0,56219.0,21771614.1,0
2026-03-03,390.0,400.0,390.0,400.0,2.56,77265.0,30693192.9,1
2026-03-09,408.0,428.4,408.0,428.4,5.0,70.0,29333.0,1
2026-03-10,435.0,435.0,413.0,418.0,-3.91,242660.0,102316392.7,-1
2026-03-11,425.5,425.5,408.0,410.0,-3.64,141276.0,58633504.5,-1
2026-03-12,415.0,419.0,407.0,412.8,-0.53,122304.0,50497464.3,-1
2026-03-15,404.6,420.1,404.6,414.9,2.55,130532.0,54163270.2,1
2026-03-16,406.7,419.8,406.7,410.0,0.81,95567.0,39392326.5,1
2026-03-17,401.8,417.9,401.8,411.0,2.29,140278.0,57611681.1,1
2026-03-19,402.8,428.8,402.8,423.0,5.01,452416.0,190292132.3,1
2026-03-22,420.0,427.9,414.0,417.0,-0.71,192499.0,80527234.4,-1
2026-03-23,408.7,420.0,408.7,415.2,1.59,100851.0,41915616.6,1
2026-03-24,406.9,435.0,406.9,435.0,6.91,335646.0,143923947.4,1
2026-03-25,435.0,441.9,421.0,424.0,-2.53,235073.0,100899136.5,-1
2026-03-26,424.0,429.0,420.0,427.3,0.78,127090.0,54026034.3,1
