published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-09-12,158.00,162.00,158.00,158.00,-1.86,28131.00,4486298.00,-1
2019-09-15,158.00,159.00,152.00,154.00,-2.53,56655.00,8812910.00,-1
2019-09-16,152.00,159.00,151.00,155.00,0.65,38818.00,6026696.00,1
2019-09-17,155.00,170.00,153.00,167.00,7.74,73396.00,11517294.00,1
2019-09-18,168.00,172.00,162.00,169.00,1.20,78420.00,13065398.00,1
2019-09-19,168.00,169.00,164.00,165.00,-2.37,27410.00,4554790.00,-1
2019-09-22,163.00,163.00,155.00,155.00,-6.06,32550.00,5104320.00,-1
2019-09-23,155.00,161.00,153.00,154.00,-0.65,27512.00,4285448.00,-1
2019-09-24,153.00,156.00,153.00,155.00,0.65,14940.00,2311310.00,1
2019-09-25,153.00,159.00,153.00,157.00,1.29,23697.00,3716505.00,1
2019-09-26,155.00,161.00,155.00,157.00,0.00,29355.00,4626660.00,0
2019-09-29,155.00,161.00,155.00,156.00,-0.64,25010.00,3919780.00,-1
2019-09-30,156.00,161.00,156.00,160.00,2.56,10185.00,1607130.00,1
2019-10-01,160.00,161.00,158.00,159.00,-0.63,14012.00,2233706.00,-1
2019-10-02,159.00,162.00,157.00,158.00,-0.63,14100.00,2249340.00,-1
2019-10-03,161.00,161.00,158.00,160.00,1.27,18535.00,2961030.00,1
2019-10-10,158.00,162.00,158.00,161.00,0.63,5720.00,921630.00,1
2019-10-14,163.00,163.00,158.00,158.00,-1.86,6600.00,1045780.00,-1
2019-10-15,160.00,161.00,159.00,159.00,0.63,8600.00,1374390.00,1
2019-10-16,159.00,163.00,159.00,161.00,1.26,15173.00,2449539.00,1
2019-10-17,161.00,167.00,158.00,167.00,3.73,17962.00,2937949.00,1
2019-10-20,167.00,167.00,161.00,166.00,-0.60,20430.00,3342590.00,-1
2019-10-21,166.00,166.00,163.00,165.00,-0.60,12250.00,2014510.00,-1
2019-10-22,165.00,174.00,163.00,169.00,2.42,22444.00,3751298.00,1
2019-10-23,169.00,180.00,167.00,174.00,2.96,26193.00,4571307.00,1
2019-10-24,175.00,182.00,172.00,180.00,3.45,63175.00,11303825.00,1
2019-10-31,181.00,184.00,172.00,175.00,-2.78,22420.00,3936640.00,-1
2019-11-03,175.00,177.00,170.00,171.00,-2.29,23491.00,4061574.00,-1
2019-11-04,171.00,174.00,169.00,172.00,0.58,14780.00,2515120.00,1
2019-11-05,171.00,173.00,170.00,171.00,-0.58,10196.00,1746556.00,-1
2019-11-06,170.00,173.00,170.00,172.00,0.58,13085.00,2243640.00,1
2019-11-07,172.00,172.00,169.00,171.00,-0.58,9850.00,1672980.00,-1
2019-11-10,170.00,172.00,167.00,172.00,0.58,23095.00,3906770.00,1
2019-11-11,175.00,176.00,168.00,170.00,-1.16,23960.00,4057100.00,-1
2019-11-12,167.00,170.00,167.00,168.00,-1.18,16365.00,2748740.00,-1
