published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,223.5,225.0,222.0,223.5,0.0,45661.0,10197510.1,0
2025-12-09,222.1,226.0,221.2,223.0,0.41,33233.0,7444003.7,1
2025-12-10,222.2,224.0,221.5,223.0,0.36,51533.0,11461177.4,1
2025-12-11,223.0,224.8,221.6,221.7,-0.58,36778.0,8180210.4,-1
2025-12-14,222.0,224.0,219.1,220.9,-0.5,51429.0,11325811.8,-1
2025-12-15,222.9,223.0,220.0,222.0,-0.4,33444.0,7408634.4,-1
2025-12-16,220.5,224.8,220.5,224.8,1.95,22759.0,5087940.5,1
2025-12-17,223.0,225.5,221.5,223.1,0.04,30023.0,6719936.0,1
2025-12-18,224.0,224.0,220.3,221.4,-1.16,57506.0,12733282.7,-1
2025-12-21,220.0,222.9,220.0,221.0,0.45,44139.0,9719976.5,1
2025-12-22,221.0,221.0,218.3,218.9,-0.95,23811.0,5212782.9,-1
2025-12-23,217.5,219.8,216.0,219.4,0.87,41815.0,9091278.5,1
2025-12-24,216.4,221.0,216.2,219.5,1.43,42320.0,9263778.2,1
2025-12-28,221.0,224.1,219.6,223.4,1.09,51428.0,11461478.3,1
2025-12-29,225.0,226.3,220.7,224.0,-0.44,34072.0,7641470.4,-1
2025-12-31,224.0,227.0,222.2,224.0,0.0,37964.0,8549659.7,0
2026-01-01,222.0,225.0,221.0,221.9,-0.05,40422.0,8980144.5,-1
2026-01-04,221.0,221.0,218.5,218.5,-1.13,49856.0,10951389.7,-1
2026-01-05,218.5,221.7,218.0,219.1,0.27,82683.0,18135454.3,1
2026-01-06,219.2,224.9,219.2,223.0,1.73,48148.0,10697489.9,1
2026-01-07,220.0,223.0,220.0,220.1,0.05,23896.0,5264563.3,1
2026-01-08,220.0,223.0,219.0,220.5,0.23,39774.0,8794738.7,1
2026-01-12,220.5,222.0,219.0,221.0,0.23,31135.0,6863508.1,1
2026-01-13,221.0,222.0,219.0,220.1,-0.41,36972.0,8146667.5,-1
2026-01-14,221.0,221.4,219.0,220.8,-0.09,69129.0,15203872.8,-1
2026-01-18,220.8,224.5,219.2,224.4,1.63,111924.0,24892396.6,1
2026-01-20,227.0,241.7,226.1,233.8,3.0,227803.0,53094677.5,1
2026-01-21,236.0,240.0,230.3,235.5,-0.21,146437.0,34478805.5,-1
2026-01-22,232.0,239.7,232.0,237.5,2.37,102852.0,24316472.2,1
2026-01-25,237.0,248.0,237.0,245.0,3.38,242110.0,59207435.5,1
2026-01-26,245.0,246.0,239.0,244.0,-0.41,200443.0,48588126.2,-1
2026-01-27,245.9,246.9,234.1,237.0,-3.62,215388.0,51931026.6,-1
2026-01-28,234.0,240.1,232.0,239.0,2.14,117415.0,27817143.7,1
2026-01-29,241.0,255.0,240.0,246.5,2.28,416129.0,103827720.8,1
2026-02-01,246.5,254.9,243.1,246.5,0.0,171897.0,42524642.1,0
2026-02-02,245.0,249.0,241.2,244.0,-0.41,91794.0,22446481.8,-1
2026-02-03,240.1,246.9,236.1,239.0,-0.46,128138.0,30630400.0,-1
2026-02-04,236.0,245.0,236.0,239.7,1.57,85266.0,20320886.2,1
2026-02-05,237.0,263.6,237.0,263.6,11.22,894684.0,231470572.9,1
2026-02-08,268.8,289.9,268.8,289.9,7.85,1658725.0,477492501.2,1
2026-02-09,295.6,318.8,284.29,316.3,7.0,2517995.0,771918685.8,1
2026-02-10,320.0,332.0,304.0,305.0,-4.69,1229636.0,388623785.2,-1
2026-02-11,310.0,335.5,301.0,334.5,7.9,2030944.0,654766572.7,1
2026-02-12,340.0,342.0,320.0,322.9,-5.03,1271708.0,419792598.6,-1
2026-02-16,320.0,336.0,306.0,329.0,2.81,2014126.0,650322163.7,1
2026-02-17,335.0,343.2,323.4,324.0,-3.28,1599384.0,533614842.7,-1
2026-02-22,324.0,328.0,295.0,297.0,-8.33,1213582.0,376027758.1,-1
2026-02-23,301.0,309.8,281.0,289.0,-3.99,1091227.0,321953408.8,-1
2026-02-24,294.7,300.0,290.0,297.0,0.78,389242.0,114643533.9,1
2026-02-25,291.1,305.9,291.1,299.4,2.85,493119.0,148011701.3,1
2026-02-26,293.5,304.0,289.1,291.0,-0.85,447312.0,131469637.4,-1
2026-03-01,290.3,302.0,285.0,301.0,3.69,655403.0,193047110.2,1
2026-03-03,305.0,315.0,300.0,311.3,2.07,892830.0,277497422.7,1
