published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-12-07,138.00,139.00,135.00,139.00,0.00,2740.00,379060.00,0
2014-12-08,139.00,141.00,141.00,141.00,0.00,500.00,70500.00,0
2014-12-09,141.00,147.00,143.00,147.00,0.00,150.00,21750.00,0
2014-12-10,147.00,147.00,145.00,147.00,0.00,250.00,36350.00,0
2014-12-15,147.00,150.00,145.00,145.00,0.00,2150.00,313650.00,0
2014-12-16,145.00,145.00,143.00,143.00,0.00,600.00,85900.00,0
2014-12-22,143.00,143.00,143.00,143.00,0.00,120.00,17160.00,0
2014-12-23,143.00,142.00,140.00,140.00,0.00,130.00,18360.00,0
2015-01-05,140.00,138.00,138.00,138.00,0.00,50.00,6900.00,0
2015-01-06,138.00,136.00,134.00,134.00,0.00,650.00,88200.00,0
2015-01-12,134.00,132.00,132.00,132.00,0.00,110.00,14520.00,0
2015-01-14,132.00,130.00,130.00,130.00,0.00,60.00,7800.00,0
2015-01-18,130.00,132.00,132.00,132.00,0.00,1000.00,132000.00,0
2015-01-19,132.00,134.00,134.00,134.00,0.00,300.00,40200.00,0
2015-01-22,134.00,136.00,136.00,136.00,0.00,300.00,40800.00,0
2015-01-25,136.00,138.00,138.00,138.00,0.00,500.00,69000.00,0
2015-01-26,138.00,146.00,140.00,146.00,0.00,440.00,62920.00,0
2015-01-27,146.00,150.00,148.00,150.00,0.00,890.00,131920.00,0
2015-01-29,150.00,161.00,153.00,161.00,0.00,1560.00,241060.00,0
2015-02-02,161.00,170.00,164.00,164.00,0.00,4010.00,663450.00,0
2015-02-03,164.00,161.00,161.00,161.00,0.00,550.00,88550.00,0
2015-02-04,161.00,160.00,157.00,157.00,0.00,1500.00,238500.00,0
2015-02-08,157.00,154.00,154.00,154.00,0.00,2000.00,308000.00,0
2015-02-09,154.00,151.00,151.00,151.00,0.00,100.00,15100.00,0
2015-02-10,151.00,149.00,147.00,147.00,0.00,6300.00,927100.00,0
2015-02-18,147.00,149.00,149.00,149.00,0.00,350.00,52150.00,0
2015-02-23,149.00,150.00,150.00,150.00,0.00,3000.00,450000.00,0
2015-02-25,150.00,153.00,153.00,153.00,0.00,130.00,19890.00,0
2015-03-01,153.00,156.00,156.00,156.00,0.00,120.00,18720.00,0
2015-03-04,156.00,159.00,156.00,156.00,0.00,2940.00,458943.00,0
2015-03-09,156.00,165.00,159.00,165.00,0.00,150.00,24300.00,0
2015-03-10,165.00,163.00,162.00,163.00,0.00,12500.00,2027500.00,0
2015-03-11,163.00,166.00,166.00,166.00,0.00,540.00,89640.00,0
2015-03-15,166.00,182.00,169.00,182.00,0.00,1000.00,181270.00,0
