published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,483.4,491.0,480.2,486.9,0.72,71745.0,34874861.0,1
2025-12-09,488.0,493.7,482.0,488.4,0.08,62719.0,30709962.4,1
2025-12-10,490.0,495.3,488.0,489.9,-0.02,60328.0,29608353.4,-1
2025-12-11,486.3,495.9,486.3,491.0,0.97,45736.0,22507601.9,1
2025-12-14,494.8,494.8,485.3,487.0,-1.58,46778.0,22824588.4,-1
2025-12-15,482.0,491.0,482.0,488.0,1.24,25401.0,12406270.4,1
2025-12-16,490.0,492.0,486.5,488.0,-0.41,50292.0,24573210.1,-1
2025-12-17,490.0,500.0,488.0,494.1,0.84,57322.0,28351815.3,1
2025-12-18,498.9,500.0,490.0,492.0,-1.38,168885.0,83642329.9,-1
2025-12-21,490.0,490.2,475.0,478.0,-2.45,92451.0,44413895.8,-1
2025-12-22,471.0,475.0,467.0,467.5,-0.74,86615.0,40723466.6,-1
2025-12-23,465.0,472.0,462.0,466.3,0.28,31752.0,14818312.8,1
2025-12-24,475.6,475.6,466.1,467.0,-1.81,22752.0,10625811.6,-1
2025-12-28,470.0,479.9,469.0,475.6,1.19,42943.0,20350406.7,1
2025-12-29,484.9,484.9,472.1,472.3,-2.6,27673.0,13169702.4,-1
2025-12-31,481.7,481.7,472.2,476.0,-1.18,37483.0,17841459.1,-1
2026-01-01,480.0,480.0,474.1,475.9,-0.85,42147.0,20030816.5,-1
2026-01-04,476.1,477.0,473.0,476.0,-0.02,60619.0,28738665.1,-1
2026-01-05,466.5,466.5,457.2,465.4,-0.24,66915.0,30938073.9,-1
2026-01-06,465.0,470.0,462.4,466.0,0.22,28158.0,13130017.5,1
2026-01-07,475.3,475.3,460.0,461.1,-2.99,41260.0,19080787.4,-1
2026-01-08,451.9,467.8,451.9,467.0,3.34,50532.0,23395827.8,1
2026-01-12,460.2,467.5,460.2,464.0,0.83,28756.0,13344694.8,1
2026-01-13,464.0,470.0,462.5,463.7,-0.06,46595.0,21648161.7,-1
2026-01-14,463.7,466.0,462.0,463.6,-0.02,28405.0,13175634.5,-1
2026-01-18,463.0,469.0,462.3,466.0,0.65,57801.0,26901369.9,1
2026-01-20,466.0,477.8,466.0,476.8,2.32,85579.0,40716721.1,1
2026-01-21,482.8,482.8,474.5,476.0,-1.41,40538.0,19291179.8,-1
2026-01-22,474.0,477.0,472.0,475.0,0.21,33963.0,16128769.1,1
2026-01-25,475.0,485.1,465.6,483.0,1.68,42615.0,20450022.6,1
2026-01-26,485.0,485.0,475.1,481.0,-0.82,52313.0,25051788.2,-1
2026-01-27,481.0,481.0,469.0,470.0,-2.29,68256.0,32324501.8,-1
